pole,prefix_weighted_MSE,kappa
0.02,0.00015109210559240707,0.008052078471124047
0.020495029992028162,0.00014956719135653863,0.008085512971003071
0.021002312718706707,0.00014801595696275165,0.008119700216787143
0.021522151453592424,0.0001464383804080109,0.008154653682733094
0.02205485697671747,0.00014483447298235718,0.00819038683175073
0.022600747760385804,0.0001432042817560868,0.008226913093585843
0.023160150159568516,0.00014154789218925737,0.008264245841312188
0.02373339860701164,0.00013986543086616661,0.00830239836605216
0.024320835813173146,0.00013815706835697728,0.008341383849847787
0.024922812971108824,0.00013642302220833006,0.00838121533660286
0.025539689966429194,0.000134663560064234,0.008421905701019448
0.02617183559245335,0.00013287900291799384,0.00846346761545341
0.026819627770688092,0.00013106972849529294,0.008505913514616424
0.02748345377676419,0.00012923617476773072,0.008549255558056948
0.0281637104719651,0.0001273788435953998,0.008593505590355722
0.028860804540486115,0.00012549830449601476,0.008638675098979226
0.029575152732566272,0.00012359519853712982,0.008684775169741057
0.030307182113637986,0.00012167024234678567,0.008731816439829884
0.031057330319643497,0.00011972423223659264,0.00877980904837392
0.03182604581867097,0.0001177580484298663,0.008828762584523062
0.0326137881790662,0.00011577265938584274,0.008878686033044186
0.03342102834418076,0.0001137691262092544,0.00892958771744139
0.034248248913920414,0.00011174860713274485,0.008981475240630173
0.03509594443326224,0.0001097123620575365,0.009034355423215751
0.03596462168791319,0.00010766175713565026,0.009088234239447384
0.036854800007286366,0.00010559826937460697,0.009143116750946919
0.03776701157497669,0.00010352349124317712,0.009199007038335864
0.038701801746921116,0.00010143913525405466,0.009255908130917208
0.039659729377433804,9.934703849667453e-05,0.009313821934599845
0.04064136715331133,9.724916709055517e-05,0.009372749158289641
0.04164730193620719,9.514762052652832e-05,0.009432689239009974
0.042678135113480946,9.304463586032948e-05,0.00949364026605396
0.04373448295773113,9.094259171977238e-05,0.009555598904516151
0.0448169769952272,8.884401208384233e-05,0.009618560318594128
0.0459262643834609,8.67515697887217e-05,0.009682518095101348
0.047063008298042296,8.466808971291976e-05,0.00974746416767891
0.04822788832917235,8.25965515906113e-05,0.009813388742246597
0.04942160088792864,8.05400923995981e-05,0.009880280224283375
0.050644859622607154,7.850200826764383e-05,0.009948125148580593
0.05189839584536951,7.648575583874958e-05,0.010016908112160692
0.05318295896944989,7.449495303895591e-05,0.010086611711104332
0.05449931695718393,7.253337917971611e-05,0.010157216482077533
0.055848256779126706,7.060497433601588e-05,0.010228700849392218
0.0572305848845346,6.871383793587355e-05,0.010301041078476344
0.058647127683492534,6.686422649833937e-05,0.010374211236660859
0.060098732040974226,6.506055045799393e-05,0.010448183162221647
0.06158626578313153,6.330737001610979e-05,0.010522926442629876
0.06311061821611495,6.16093899613203e-05,0.010598408402977835
0.06467270065773574,5.9971453406770264e-05,0.010674594105541854
0.06627344698228771,5.8398534395631024e-05,0.010751446361432354
0.06791381417885374,5.689572933313653e-05,0.01082892575525154
0.06959478292343173,5.546824721066176e-05,0.010906990683636623
0.07131735816522114,5.412139859610988e-05,0.010985597408504915
0.07308256972742112,5.286058337468254e-05,0.011064700125741398
0.0748914729228993,5.1691277235279835e-05,0.011144251049972341
0.0767451491850993,5.061901691017958e-05,0.01122420051595263
0.07864470671456429,4.964938418894224e-05,0.011304497096962088
0.08059128114146268,4.878798874203479e-05,0.011385087740451423
0.0825860362045126,4.8040449804933115e-05,0.011465917921006699
0.08463016444671051,4.7412376789397195e-05,0.011546931810513056
0.08672488792828036,4.6909348905147904e-05,0.01162807246519165
0.08887145895726935,4.653689389171118e-05,0.011709282028967139
0.09107116083822675,4.6300465976913075e-05,0.011790501952390951
0.09332530863941393,4.620542319461822e-05,0.011871673226109034
0.09563524997900373,4.625700420987787e-05,0.011952736627621014
0.0980023658307396,4.6460304814063976e-05,0.012033632979834482
0.10042807134953621,4.682025426558745e-05,0.012114303419681909
0.10291381671751444,4.7341591663057665e-05,0.012194689674839821
0.10546108801097741,4.8028842546815026e-05,0.012274734346376173
0.1080714080888452,4.888629593142397e-05,0.012354381194960668
0.1107463375030799,4.9917981975585735e-05,0.012433575428104204
0.11348747543164481,5.1127650496783534e-05,0.01251226398575823
0.11629646063455597,5.2518750535604966e-05,0.01259039582150348
0.11917497243359738,5.4094411168982245e-05,0.012667922176496881
0.1221247317162854,5.585742376241374e-05,0.01274479684332767
0.12514750196468316,5.7810225838717e-05,0.012820976416963755
0.12824509030967926,5.9954886724996126e-05,0.012896420530046793
0.1314193486113618,6.229309512051126e-05,0.012971092069921853
0.13467217456613328,6.482614870638399e-05,0.01304495737496471
0.13800551284122772,6.755494589374218e-05,0.013117986407994057
0.1414213562373095,7.047997978056958e-05,0.013190152904826693
0.1449217468798479,7.360133435972527e-05,0.01326143449634468
0.1485087774399798,7.691868299163227e-05,0.013331812802792553
0.15218459238559112,8.043128912604714e-05,0.013401273499400958
0.15595138926336355,8.413800922826208e-05,0.013469806352836233
0.15981142001255477,8.803729783702838e-05,0.013537405228393645
0.16376699231129602,9.21272146549489e-05,0.013604068068278732
0.16782047095621286,9.640543354757746e-05,0.013669796841746297
0.17197427927619371,0.00010086925330569597,0.013734597468282263
0.1762309005811509,0.00010551561000647888,0.01379847971541215
0.18059287964664109,0.00011034109079420377,0.013861457073088605
0.18506282423523213,0.00011534194888979205,0.013923546606948337
0.1896434066555259,0.00012051411963120862,0.013984768793022838
0.19433736535976986,0.00012585323734375906,0.014045147336733368
0.19914750658101096,0.00013135465284031209,0.014104708979194485
0.20407670601077232,0.00013701345135660445,0.014163483293988168
0.2091279105182546,0.00014282447073586413,0.01422150247764448
0.2143041399120906,0.00014878231968923656,0.014278801137084974
0.21960848874570482,0.00015488139597427442,0.014335416077234993
0.22504412816735994,0.0001611159043518537,0.014391386091908653
0.2306143078159937,0.0001674798742021496,0.014446751760905572
0.23632235776398025,0.0001739671767021543,0.014501555256042855
0.24217169050797935,0.00018057154148980512,0.01455584015857887
0.2481658030090599,0.0001872865727627573,0.014609651290176653
0.2543082787833218,0.00019410576478240795,0.014663034559208402
0.26060279004426207,0.00020102251677518276,0.01471603682382987
0.26705309989816844,0.00020803014724340724,0.014768705772853033
0.27366306459385287,0.00021512190771585263,0.014821089825040629
0.2804366358280677,0.00022229099598362068,0.01487323804703074
0.28737786310798635,0.00022953056887985352,0.014925200089690388
0.29449089617215735,0.0002368337546711152,0.014977026142301926
0.3017799874713808,0.0002441936651345975,0.015028766903614689
0.3092494947109918,0.0002516034073984713,0.015080473568440663
0.3169038834560665,0.000259056095621724,0.01513219782817596
0.324747729801114,0.00026654486258660925,0.01518399188335428
0.33278572310584464,0.00027406287126978363,0.01523590846612614
0.34102266879865323,0.00028160332644888795,0.015288000870391264
0.3494634912494944,0.00028915948638941473,0.015340322987202198
0.3581132367138629,0.0002967246746429296,0.015392929343008182
0.36697707634964505,0.00030429229197270226,0.015445875138309077
0.3760603093086394,0.00031185582840646315,0.015499216284359357
0.38536836590459755,0.0003194088753997126,0.015553009435676427
0.39490681085968066,0.0003269451380767715,0.015607312016274464
0.40468134663126737,0.0003344584475010301,0.015662182237764593
0.41469781682110846,0.0003419427729115832,0.015717679107713736
0.42496220966886117,0.0003493922338508715,0.015773862426937235
0.4354806616320934,0.0003568011120968762,0.01583079277472013
0.44625946105490133,0.00036416386330538706,0.01588853148128341
0.4573050519273263,0.00037147512826195457,0.01594714058714581
0.4686240377378274,0.00037872974363987495,0.016006682789372475
0.48022318542110576,0.0003859227521603747,0.01606722137501954
0.49210942940364316,0.0003930494120533779,0.016128820142394855
0.5042898757493768,0.00040010520572220256,0.016191543311037105
0.5167718064079816,0.0004070858475228881,0.016255455421563085
0.5295626835683077,0.0004139872905781523,0.0163206212267573
0.5426701541195695,0.0004208057325576235,0.016387105575437648
0.5561020542229561,0.0004275376203683364,0.01645497329077778
0.5698664139963981,0.00043417965371364813,0.01652428904484127
0.5839714623152857,0.0004407287874931769,0.016595117231131513
0.5984256317320162,0.0004471822330314705,0.016667521836947103
0.613237563517304,0.00045353745813763975,0.016741566317300866
0.628416112826271,0.0004597921860129794,0.016817313472061567
0.6439703539924091,0.00046594439303728516,0.016894825327861063
0.6599095859525708,0.0004719923054769399,0.01697416302616782
0.6762433378062412,0.0004779343951701348,0.01705538671872471
0.6929813745124076,0.0004837693742539092,0.017138555471377905
0.7101337027274347,0.0004894961890066939,0.017223727177094892
0.7277105767874396,0.0004951140128870539,0.01731095847874263
0.7457225048387343,0.0005006222388543049,0.017400304701984528
0.7641802551200112,0.0005060204710605955,0.017491819798414646
0.7830948624000185,0.0005113085160060112,0.01758555629883294
0.8024776345745772,0.0005164863732486356,0.01768156527635965
0.8223401594268892,0.0005215542257608624,0.017779896318880117
0.8426943115551657,0.0005265124300208291,0.01788059751014588
0.8635522594717322,0.0005313615059246661,0.017983715418689924
0.8849264728778423,0.0005361021266009197,0.018089295093581155
0.9068297301185536,0.0005407351082034017,0.018197380065934556
0.9292751258221285,0.0005452613997529815,0.018308012354996864
0.9522760787285133,0.0005496820730926202,0.018421232477572082
0.9758463397115925,0.0005539983130132546,0.01853707945951399
1.0,0.0005582114076016938,0.018655590847984228
