time_s,delayed_power_perturbation_pct,SOURCE_FROZEN_1STATE,PREFIX_IDENTIFIED_1STATE,STATIC_GAIN_NEGCONTROL,D13_SHAPE_PREFIX_GAIN_DIAGNOSTIC,observed_lowpass_g,LP_SOURCE_FROZEN_1STATE,LP_PREFIX_IDENTIFIED_1STATE,LP_STATIC_GAIN_NEGCONTROL,LP_D13_SHAPE_PREFIX_GAIN_DIAGNOSTIC
0.5,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.52,-0.0005778793187678488,5.6572751060151536e-06,6.861168193184659e-06,5.663217323924918e-06,1.0532446890876806e-05,1.8502293022738342e-06,3.3229706408741733e-09,4.030113445218629e-09,3.326460981238712e-09,6.186549379176743e-09
0.54,-0.0006902388693291739,6.745375518483543e-06,8.182371923388643e-06,6.764340919425904e-06,1.1043995402541757e-05,6.894041065868344e-06,2.333853763728874e-08,2.8305992233997626e-08,2.337002991706568e-08,4.2561158405372304e-08
0.56,-0.00080259841989061,7.831193317669644e-06,9.50110265370456e-06,7.865464514927977e-06,1.2164892537870657e-05,1.4356739017545165e-05,6.494511394980208e-08,7.877302721385359e-08,6.506931935416113e-08,1.143070072424295e-07
0.58,-0.0009149579704519351,8.914733292029533e-06,1.0817365013036208e-05,8.966588110428963e-06,1.3524303103387383e-05,2.3503461735048208e-05,1.299891724910955e-07,1.576765370593963e-07,1.3031808279990723e-07,2.2196365763458212e-07
0.6,-0.003247210134615708,3.172812111978269e-05,3.848797567229925e-05,3.1822659319233935e-05,5.54348116602407e-05,3.3683886213467745e-05,2.328432561127096e-07,2.824540083880565e-07,2.3355317827042833e-07,3.906134303655016e-07
0.62,-0.010741583728015258,0.00010502936004167542,0.00012739672372490287,0.00010526752053454953,0.00018556142116775014,4.450160998021607e-05,4.662152880436655e-07,5.65552350308083e-07,4.6765930743696383e-07,7.883098955239565e-07
0.64,-0.01823595732141481,0.0001781768278779829,0.0002161390543514328,0.00017871238174986512,0.00029956046047871634,5.595198863574726e-05,1.0430910488366074e-06,1.2653173810606476e-06,1.0461200518854565e-06,1.7849069771363855e-06
0.66,-0.025730330914814248,0.00025117084720915574,0.0003047152790483411,0.00025215724296517964,0.00040691981727280564,6.810993500451557e-05,2.185923982427026e-06,2.651635658822498e-06,2.1923438712497745e-06,3.7267724546571738e-06
0.6799999999999999,-0.03322470450821369,0.00032401173993893865,0.0003931257087290305,0.0003256021041804941,0.0005114081075189953,8.104182613060182e-05,4.096588113228027e-06,4.969495733159628e-06,4.109605341920229e-06,6.902796768544888e-06
0.7,-0.029891104466470475,0.00029069702756712976,0.0003528099908161373,0.00029293282377141066,0.0004171717754797869,9.494298648626422e-05,6.895092854363638e-06,8.36465543926236e-06,6.919652376522229e-06,1.1447041350315715e-05
0.72,-0.0226435352817278,0.00021913555164731682,0.00026609913164489263,0.00022190664576093242,0.0002796079089176045,0.00011058860769634648,1.0421901057239509e-05,1.264386981335295e-05,1.0464644719107203e-05,1.6993787942473704e-05
0.74,-0.015395966096985125,0.0001477241971442783,0.00017955057593997708,0.00015088046775045422,0.0001636807312423108,0.00012906109599633174,1.4380294659756121e-05,1.7447476089418547e-05,1.4449082081836201e-05,2.30047845965384e-05
0.76,-0.00814839691224234,7.646264913382396e-05,9.316401990535459e-05,7.985428973997493e-05,5.657708760373495e-05,0.00015140500722503816,1.8475106309943662e-05,2.241761050322411e-05,1.8578393407885096e-05,2.9014522396811986e-05
0.78,-0.0020385534760728463,1.6488606681216124e-05,2.04473919896186e-05,1.9977824065513895e-05,-2.60558918808164e-05,0.00017856245347272156,2.2441769697776006e-05,2.7233441240839143e-05,2.258802097327424e-05,3.464221670389957e-05
0.8,-0.0021509130266341714,1.755398516375333e-05,2.1743165326933396e-05,2.107894766101488e-05,3.4051407615569646e-06,0.0002113136110563074,2.609958387985487e-05,3.167577618657626e-05,2.629680492085623e-05,3.9666473114378874e-05
0.8200000000000001,-0.0022632725771956075,1.8617128698994297e-05,2.3036513264406475e-05,2.2180071256516954e-05,1.5996132878708685e-05,0.00025014598947860404,2.943036412417029e-05,3.572247413905769e-05,2.968589283463753e-05,4.41476850958785e-05
0.8400000000000001,-0.0023756321277569326,1.967804197540157e-05,2.4327440341844926e-05,2.328119485201794e-05,2.188450979802052e-05,0.00029543604389025227,3.2452891022788125e-05,3.939622078244401e-05,3.277339826193822e-05,4.8163573662180665e-05
0.86,-0.0024879916783183686,2.0736729671606583e-05,2.5615951090563603e-05,2.4382318447520013e-05,2.5107862704840103e-05,0.000347507321918967,3.518547323982408e-05,4.271913476393534e-05,3.557700176567381e-05,5.1760663045519665e-05
0.88,-0.00045878576430291584,8.278761945987481e-07,1.475217177515614e-06,4.496100490168575e-06,-1.1762671446606472e-05,0.0004065935700656169,3.763360813554803e-05,4.569780230495719e-05,3.8101597596531416e-05,5.494968405489478e-05
0.9,0.003111573517135424,-3.412666818611177e-05,-4.091846335464565e-05,-3.0493420467927156e-05,-7.145377823044072e-05,0.0004726829105631067,3.974626109961959e-05,4.827024906224613e-05,4.02955001996998e-05,5.7634777914194274e-05
0.9199999999999999,0.006681932798573764,-6.900788504446915e-05,-8.323279233422651e-05,-6.548294142602289e-05,-0.00012489144346780137,0.0005455238742008026,4.1431339059145476e-05,5.032469096720121e-05,4.20658152586585e-05,5.965823447833797e-05
0.94,0.010252292080011993,-0.00010381592820669515,-0.00012546791828970487,-0.00010047246238411754,-0.0001757335641991296,0.0006248185908482316,4.259745749017976e-05,5.1750178212701457e-05,4.332016435461807e-05,6.088051724999152e-05
0.96,0.013822651361450333,-0.0001385509511763187,-0.0001676239894715502,-0.00013546198334221326,-0.0002254331488398405,0.0007102711544444537,4.316270935769483e-05,5.244723050331762e-05,4.397546460505346e-05,6.118636747124471e-05
0.98,0.017393010642885565,-0.00017321310713481588,-0.00020970115385269926,-0.00017045150430027852,-0.00027456762257410135,0.0008014363972651165,4.305417618530586e-05,5.232724672292755e-05,4.39574591225987e-05,6.047748620887121e-05
1.0,0.020963369924320685,-0.0002078025489423801,-0.00025169955912919,-0.0002054410252583427,-0.00032336670680695986,0.0008972693957792659,4.220744788715433e-05,5.13119250901432e-05,4.320025521855063e-05,5.866921272245304e-05
1.02,0.024533729205755916,-0.0002423194291385079,-0.0002936193527205735,-0.00024043054621640796,-0.00037192204497466273,0.0009965672673609106,4.056615230592542e-05,4.933269494906783e-05,4.164587131434836e-05,5.5688799791066165e-05
1.04,0.028104088487191148,-0.0002767638999426958,-0.00033546068177046,-0.00027542006717447325,-0.00042027044689561815,0.0010981931833673009,3.8081495290688444e-05,4.633016120940144e-05,3.924379341597645e-05,5.14743337909155e-05
1.06,0.02851574212893393,-0.00028021327832694544,-0.00033972034259817445,-0.0002794542728635525,-0.0004108562761651012,0.0012010760254892359,3.472997550096703e-05,4.227559104439822e-05,3.5968724438902846e-05,4.600773775943198e-05
1.08,0.02471514242878503,-0.0002424186516285573,-0.0002939598950325181,-0.0002422083958020933,-0.00033288149523032624,0.001304114713349572,3.0588553029101855e-05,3.7262085684958643e-05,3.1895884900021604e-05,3.94499730594475e-05
1.1,0.020914542728636132,-0.00020470331036738921,-0.00024828510085943175,-0.00020496251874063407,-0.00026935670201365944,0.0014061250464935547,2.5842920960406668e-05,3.15146397536417e-05,2.7209504134995742e-05,3.2134399241642703e-05
1.12,0.017113943028487233,-0.0001670670882187252,-0.00020269579975479166,-0.00016771664167917487,-0.0002116930475649869,0.0015059849689617725,2.068874130148823e-05,2.527038952823887e-05,2.210418082729141e-05,2.4371790149253794e-05
1.1400000000000001,0.013313343328338334,-0.00012950981920676458,-0.00015719183169456518,-0.00013047076461771568,-0.00015647935665646432,0.0016026711267723536,1.5306895146481687e-05,1.8748598870871558e-05,1.6760128112726918e-05,1.642612455147844e-05
1.1600000000000001,0.009512743628188103,-9.20313377038771e-05,-0.00011177303695423338,-9.32248875562434e-05,-0.0001023605578544889,0.001695674242854922,9.864061591200445e-06,1.2151357184969349e-05,1.1343722061779056e-05,8.53095952792762e-06
1.1800000000000002,0.005712143928037872,-5.463147842991163e-05,-6.643925610827767e-05,-5.597901049477114e-05,-4.879807927205102e-05,0.0017863052331744335,4.513298553385491e-06,5.664279850436785e-06,6.0080532857106445e-06,8.96453039637321e-07
1.2000000000000002,0.0019115442278875294,-1.731007645142709e-05,-2.1190330029571558e-05,-1.873313343329779e-05,4.42240973047013e-06,0.0018766562766936725,-6.053766601062254e-07,-5.427914814195549e-07,8.934795090938677e-07,-6.287330094626306e-06
1.22,-0.0018890554722628128,1.9933032819018645e-05,2.3973900111158208e-05,1.8512743628175565e-05,5.7386478867629546e-05,0.001968767138037942,-5.364409021808237e-06,-6.315091138132271e-06,-3.871822876518419e-06,-1.284859293271689e-05
1.24,-0.00462282313899165,4.6654029717332433e-05,5.6387083113741395e-05,4.5303666762118164e-05,9.068444931688112e-05,0.0020644613804847215,-9.654266089458623e-06,-1.1519676477339883e-05,-8.17745112955799e-06,-1.8643996425579428e-05
1.26,-0.004735182689552975,4.76561272797157e-05,5.761558533295179e-05,4.640479035761915e-05,7.883292098884452e-05,0.0021649335165802525,-1.3415297780997708e-05,-1.60840725678845e-05,-1.19627072453401e-05,-2.361640333935142e-05
1.28,-0.004847542240114411,4.865612264529823e-05,5.884178806890989e-05,4.7505913953121226e-05,7.490857766654616e-05,0.0022700657036002713,-1.6659612389099968e-05,-2.0022817246114646e-05,-1.5238601701406496e-05,-2.7826428101847206e-05
1.3,-0.004959901790675736,4.9654020224059063e-05,6.0065695625734886e-05,4.860703754862221e-05,7.412924062138787e-05,0.0023794505767823137,-1.9414601375640367e-05,-2.336898743789585e-05,-1.8031469624858252e-05,-3.133772221883088e-05
1.32,-0.005072261341237172,5.0649824416730286e-05,6.128731229949492e-05,4.970816114412428e-05,7.459587366861038e-05,0.0024926992377892446,-2.170712347475696e-05,-2.6155021751708015e-05,-2.0367170377569566e-05,-3.419874139500096e-05
1.3399999999999999,-0.01312091758174716,0.00012933763981851115,0.00015673438968167151,0.00012858499230112216,0.00022020155964485417,0.002609732774493276,-2.3517819375507648e-05,-2.8357312963744807e-05,-2.2225353133743725e-05,-3.6366354871016454e-05
1.3599999999999999,-0.0243146112754411,0.00023864941144081635,0.0002893438793416051,0.00023828319049932277,0.0004022221702071245,0.002731849531500981,-2.4633881146989764e-05,-2.971763344413202e-05,-2.339197460092713e-05,-3.744740814741057e-05
1.38,-0.03550830496913504,0.00034773186920653693,0.0004217051534949037,0.00034798138869752336,0.0005673268672022673,0.0028614507851579506,-2.474816761501585e-05,-2.9863289704822887e-05,-2.3558112262153597e-05,-3.6928947679338035e-05
1.4,-0.04670199866282898,0.0004565854941694885,0.000553818676745857,0.000457679586895724,0.0007253636929042838,0.0030009483131575743,-2.3565402073464992e-05,-2.8435893702609785e-05,-2.2426075534109337e-05,-3.43678279683116e-05
1.42,-0.05732823038968027,0.0005596554741976308,0.0006789474299822771,0.0005618166578188666,0.0008699021387120362,0.0031525235423213683,-2.0822857379064722e-05,-2.5116453222447644e-05,-1.973013750424913e-05,-2.9397711438796628e-05
