figure,initial_collective_deg,time_s,CT_digitized,pixel_x,pixel_y,pixel_uncertainty_CT,CT_model_appendix,CT_model_quasisteady
8,2.0,0.023465703971119134,0.0029187817258883248,464.5,297.5,5.076142131979695e-05,0.0006025630861873553,0.0006025630861873551
8,2.0,0.05415162454873646,0.004390862944162437,473.0,268.5,5.076142131979695e-05,0.0006025630861873553,0.0006025630861873551
8,2.0,0.08844765342960288,0.006243654822335026,482.5,232.0,5.076142131979695e-05,0.0006025630861873553,0.0006025630861873551
8,2.0,0.12093862815884476,0.007411167512690355,491.5,209.0,5.076142131979695e-05,0.0013838444437375783,0.0010238731973024806
8,2.0,0.15703971119133575,0.006472081218274112,501.5,227.5,5.076142131979695e-05,0.0024226838797421985,0.001856962269535551
8,2.0,0.18772563176895307,0.006116751269035534,510.0,234.5,5.076142131979695e-05,0.0031836050578487136,0.0026368742664562273
8,2.0,0.22382671480144403,0.00616751269035533,520.0,233.5,5.076142131979695e-05,0.003190454456157109,0.0029625995195353056
8,2.0,0.2581227436823105,0.006421319796954315,529.5,228.5,5.076142131979695e-05,0.0030302201252098843,0.0029625995195353056
8,2.0,0.2870036101083033,0.006472081218274112,537.5,227.5,5.076142131979695e-05,0.00298670019092396,0.0029625995195353056
8,2.0,0.3231046931407942,0.0065482233502538074,547.5,226.0,5.076142131979695e-05,0.0029692134978404573,0.0029625995195353056
8,2.0,0.3592057761732852,0.0064467005076142125,557.5,228.0,5.076142131979695e-05,0.0029644124514601176,0.0029625995195353056
8,2.0,0.3935018050541516,0.006319796954314721,567.0,230.5,5.076142131979695e-05,0.0029631295140987637,0.0029625995195353056
8,2.0,0.4259927797833935,0.006218274111675127,576.0,232.5,5.076142131979695e-05,0.00296276480623905,0.0029625995195353056
8,2.0,0.4602888086642599,0.00616751269035533,585.5,233.5,5.076142131979695e-05,0.0029626478343805166,0.0029625995195353056
8,2.0,0.4927797833935018,0.006218274111675127,594.5,232.5,5.076142131979695e-05,0.0029626145867739525,0.0029625995195353056
8,2.0,0.5252707581227437,0.006269035532994924,603.5,231.5,5.076142131979695e-05,0.002962604218322912,0.0029625995195353056
8,2.0,0.5595667870036101,0.0061928934010152285,613.0,233.0,5.076142131979695e-05,0.002962600893020189,0.0029625995195353056
8,2.0,0.5902527075812274,0.00616751269035533,621.5,233.5,5.076142131979695e-05,0.0029625999765071475,0.0029625995195353056
