theta_rad,e,delta_CT
0.10471975511966,-0.01,0.00133790758129024
0.109083078249646,-0.01,0.00133236310352511
0.113446401379631,-0.01,0.00132576107287289
0.117809724509617,-0.01,0.00131872489557855
0.122173047639603,-0.01,0.0013112908478
0.126536370769589,-0.01,0.00130354175286063
0.130899693899575,-0.01,0.00129644379239274
0.135263017029561,-0.01,0.00129021544399529
0.139626340159546,-0.01,0.00128448541166978
0.143989663289532,-0.01,0.001279086866564
0.148352986419518,-0.01,0.00127499448031514
0.152716309549504,-0.01,0.00127245563658046
0.15707963267949,-0.01,0.00127067933980407
0.161442955809475,-0.01,0.00126863723002404
0.165806278939461,-0.01,0.00126659363411873
0.170169602069447,-0.01,0.00126409100990008
0.174532925199433,-0.01,0.00126058961799554
0.178896248329419,-0.01,0.00125608301065703
0.183259571459405,-0.01,0.0012507540375156
0.18762289458939,-0.01,0.00124417315643476
0.191986217719376,-0.01,0.00123487872073831
0.10471975511966,-0.0095,0.00127281272597261
0.109083078249646,-0.0095,0.0012676174543217
0.113446401379631,-0.0095,0.00126138125656956
0.117809724509617,-0.0095,0.00125473817376591
0.122173047639603,-0.0095,0.00124770777671026
0.126536370769589,-0.0095,0.00124034490651153
0.130899693899575,-0.0095,0.00123322804816673
0.135263017029561,-0.0095,0.00122701489259039
0.139626340159546,-0.0095,0.00122140491407377
0.143989663289532,-0.0095,0.00121612912932411
0.148352986419518,-0.0095,0.00121208033715855
0.152716309549504,-0.0095,0.00120964620076825
0.15707963267949,-0.0095,0.0012079786420579
0.161442955809475,-0.0095,0.00120603732934246
0.165806278939461,-0.0095,0.00120407009942393
0.170169602069447,-0.0095,0.00120176742604067
0.174532925199433,-0.0095,0.00119847040206226
0.178896248329419,-0.0095,0.00119420305882076
0.183259571459405,-0.0095,0.00118932582825529
0.18762289458939,-0.0095,0.00118338166147987
0.191986217719376,-0.0095,0.00117481446625088
0.10471975511966,-0.009,0.00120753603496348
0.109083078249646,-0.009,0.00120268312145628
0.113446401379631,-0.009,0.00119681139872969
0.117809724509617,-0.009,0.0011905511714592
0.122173047639603,-0.009,0.00118392168407105
0.126536370769589,-0.009,0.00117699216734759
0.130899693899575,-0.009,0.00116995128103023
0.135263017029561,-0.009,0.00116375125050777
0.139626340159546,-0.009,0.00115823525658694
0.143989663289532,-0.009,0.00115309167863968
0.148352986419518,-0.009,0.00114908686068821
0.152716309549504,-0.009,0.00114675761020767
0.15707963267949,-0.009,0.00114520065994021
0.161442955809475,-0.009,0.00114335833992777
0.165806278939461,-0.009,0.00114147051909258
0.170169602069447,-0.009,0.00113935484523555
0.174532925199433,-0.009,0.00113626501912789
0.178896248329419,-0.009,0.00113220434833377
0.183259571459405,-0.009,0.00112775567846384
0.18762289458939,-0.009,0.00112240043715187
0.191986217719376,-0.009,0.00111456066897218
0.10471975511966,-0.0085,0.00114207930160969
0.109083078249646,-0.0085,0.00113756214397767
0.113446401379631,-0.0085,0.00113204756326952
0.117809724509617,-0.0085,0.00112616149116059
0.122173047639603,-0.0085,0.00111993552344788
0.126536370769589,-0.0085,0.0011134282547279
0.130899693899575,-0.0085,0.00110661285819118
0.135263017029561,-0.0085,0.00110041523183803
0.139626340159546,-0.0085,0.00109497612704721
0.143989663289532,-0.0085,0.00108997297368465
0.148352986419518,-0.0085,0.00108601392065453
0.152716309549504,-0.0085,0.00108378999004556
0.15707963267949,-0.0085,0.00108234173920713
0.161442955809475,-0.0085,0.00108059978741185
0.165806278939461,-0.0085,0.00107879975709181
0.170169602069447,-0.0085,0.00107685097073296
0.174532925199433,-0.0085,0.001073970916727
0.178896248329419,-0.0085,0.00107012059457178
0.183259571459405,-0.0085,0.00106602974369184
0.18762289458939,-0.0085,0.00106123871712588
0.191986217719376,-0.0085,0.00105411494536421
0.10471975511966,-0.008,0.0010764339030115
0.109083078249646,-0.008,0.0010722478164556
0.113446401379631,-0.008,0.00106708809754491
0.117809724509617,-0.008,0.00106157770625138
0.122173047639603,-0.008,0.0010557437198032
0.126536370769589,-0.008,0.00104965617605081
0.130899693899575,-0.008,0.0010432073352076
0.135263017029561,-0.008,0.00103701118110124
0.139626340159546,-0.008,0.001031631538463
0.143989663289532,-0.008,0.00102677486698743
0.148352986419518,-0.008,0.00102286062060086
0.152716309549504,-0.008,0.00102073930259413
0.15707963267949,-0.008,0.00101939818092444
0.161442955809475,-0.008,0.00101776001926656
0.165806278939461,-0.008,0.00101605482126441
0.170169602069447,-0.008,0.00101425455815111
0.174532925199433,-0.008,0.00101158865819698
0.178896248329419,-0.008,0.0010079486324594
0.183259571459405,-0.008,0.00100414776949696
0.18762289458939,-0.008,0.000999883698071495
0.191986217719376,-0.008,0.00099347902205655
0.10471975511966,-0.0075,0.0010105996074399
0.109083078249646,-0.0075,0.00100674604322701
0.113446401379631,-0.0075,0.0010019336710338
0.117809724509617,-0.0075,0.000996793560052758
0.122173047639603,-0.0075,0.00099134965530093
0.126536370769589,-0.0075,0.000985672456212701
0.130899693899575,-0.0075,0.000979669282820621
0.135263017029561,-0.0075,0.000973538249369815
0.139626340159546,-0.0075,0.000968192453938812
0.143989663289532,-0.0075,0.000963487248101402
0.148352986419518,-0.0075,0.000959632502861583
0.152716309549504,-0.0075,0.000957601732665728
0.15707963267949,-0.0075,0.000956368392373944
0.161442955809475,-0.0075,0.00095483712336271
0.165806278939461,-0.0075,0.000953230135150722
0.170169602069447,-0.0075,0.0009515635703759
0.174532925199433,-0.0075,0.000949116199388256
0.178896248329419,-0.0075,0.000945689417772407
0.183259571459405,-0.0075,0.000942102811289435
0.18762289458939,-0.0075,0.000938343554876627
0.191986217719376,-0.0075,0.000932652023945043
0.10471975511966,-0.007,0.000944580910902735
0.109083078249646,-0.007,0.000941055577430808
0.113446401379631,-0.007,0.000936584034234978
0.117809724509617,-0.007,0.000931807647536315
0.122173047639603,-0.007,0.000926749512152919
0.126536370769589,-0.007,0.000921480371999387
0.130899693899575,-0.007,0.000915913548212575
0.135263017029561,-0.007,0.000909995223947583
0.139626340159546,-0.007,0.000904670907163146
0.143989663289532,-0.007,0.000900104706882361
0.148352986419518,-0.007,0.000896337643219371
0.152716309549504,-0.007,0.000894379665606228
0.15707963267949,-0.007,0.000893253298748416
0.161442955809475,-0.007,0.000891833357765669
0.165806278939461,-0.007,0.000890325526702108
0.170169602069447,-0.007,0.000888778320813985
0.174532925199433,-0.007,0.000886552549591503
0.178896248329419,-0.007,0.000883340357399877
0.183259571459405,-0.007,0.000879964888879228
0.18762289458939,-0.007,0.000876611850105749
0.191986217719376,-0.007,0.000871632869900189
0.10471975511966,-0.0065,0.000878371380069202
0.109083078249646,-0.0065,0.000875165161836735
0.113446401379631,-0.0065,0.000871037227651135
0.117809724509617,-0.0065,0.000866623660533679
0.122173047639603,-0.0065,0.000861945226128518
0.126536370769589,-0.0065,0.000857071972558804
0.130899693899575,-0.0065,0.000851937771299085
0.135263017029561,-0.0065,0.000846384134828226
0.139626340159546,-0.0065,0.000841077081853499
0.143989663289532,-0.0065,0.000836632524276881
0.148352986419518,-0.0065,0.000832971773034161
0.152716309549504,-0.0065,0.000831067025817489
0.15707963267949,-0.0065,0.000830052282523707
0.161442955809475,-0.0065,0.000828742013413103
0.165806278939461,-0.0065,0.000827336073470008
0.170169602069447,-0.0065,0.00082589188661965
0.174532925199433,-0.0065,0.000823893020118437
0.178896248329419,-0.0065,0.000820899693260897
0.183259571459405,-0.0065,0.00081774025989948
0.18762289458939,-0.0065,0.000814696617107856
0.191986217719376,-0.0065,0.000810421707034784
0.10471975511966,-0.006,0.000811971833175791
0.109083078249646,-0.006,0.000809087217803609
0.113446401379631,-0.006,0.000805293964472697
0.117809724509617,-0.006,0.000801234424401033
0.122173047639603,-0.006,0.000796935330984128
0.126536370769589,-0.006,0.000792447465475641
0.130899693899575,-0.006,0.000787748889643354
0.135263017029561,-0.006,0.000782663996602768
0.139626340159546,-0.006,0.000777410746183854
0.143989663289532,-0.006,0.000773060454225645
0.148352986419518,-0.006,0.000769522479828005
0.152716309549504,-0.006,0.000767664964916498
0.15707963267949,-0.006,0.000766756912028457
0.161442955809475,-0.006,0.000765557432988351
0.165806278939461,-0.006,0.000764256909245304
0.170169602069447,-0.006,0.000762906004011613
0.174532925199433,-0.006,0.00076113183294549
0.178896248329419,-0.006,0.000758366248955681
0.183259571459405,-0.006,0.000755424538907474
0.18762289458939,-0.006,0.000752615733339018
0.191986217719376,-0.006,0.000749011687848002
0.10471975511966,-0.0055,0.000745380129880227
0.109083078249646,-0.0055,0.000742812049586124
0.113446401379631,-0.0055,0.000739351282532249
0.117809724509617,-0.0055,0.00073564421434589
0.122173047639603,-0.0055,0.000731714185728515
0.126536370769589,-0.0055,0.000727619262212769
0.130899693899575,-0.0055,0.000723341688236023
0.135263017029561,-0.0055,0.00071871139047943
0.139626340159546,-0.0055,0.000713668363424248
0.143989663289532,-0.0055,0.000709392186617832
0.148352986419518,-0.0055,0.000705985975337944
0.152716309549504,-0.0055,0.000704177837692006
0.15707963267949,-0.0055,0.000703373853888867
0.161442955809475,-0.0055,0.000702279216323153
0.165806278939461,-0.0055,0.000701085730866427
0.170169602069447,-0.0055,0.000699830310161905
0.174532925199433,-0.0055,0.000698268226125457
0.178896248329419,-0.0055,0.000695735693926156
0.183259571459405,-0.0055,0.000693019070081881
0.18762289458939,-0.0055,0.00069040973003146
0.191986217719376,-0.0055,0.000687409529899553
0.10471975511966,-0.005,0.00067859606693944
0.109083078249646,-0.005,0.000676339422336382
0.113446401379631,-0.005,0.00067320961656085
0.117809724509617,-0.005,0.000669851994668264
0.122173047639603,-0.005,0.000666286881457799
0.126536370769589,-0.005,0.000662578238770696
0.130899693899575,-0.005,0.000658712538360097
0.135263017029561,-0.005,0.000654539487077152
0.139626340159546,-0.005,0.000649853290271789
0.143989663289532,-0.005,0.000645628559286046
0.148352986419518,-0.005,0.000642362819177243
0.152716309549504,-0.005,0.000640602585182625
0.15707963267949,-0.005,0.00063990168407326
0.161442955809475,-0.005,0.000638913181677017
0.165806278939461,-0.005,0.000637828108613762
0.170169602069447,-0.005,0.000636666687602911
0.174532925199433,-0.005,0.000635298292926755
0.178896248329419,-0.005,0.000633007059113389
0.183259571459405,-0.005,0.000630521348216848
0.18762289458939,-0.005,0.000628125217715622
