mode,rhsRow,stateColumn,forwardMinusBackwardAtH,forwardMinusBackwardAtHalfH,persistentMismatch
dynamic,1,1,4.18896581814033e-06,2.09448292368651e-06,0
dynamic,3,1,-0.00591947912350103,-0.00592211210217404,1
dynamic,5,1,6.74793673870102e-07,3.37396833989057e-07,0
dynamic,1,2,3.65427592795753e-06,1.82713846754324e-06,0
dynamic,3,2,-0.00592220421579744,-0.0059234746392273,1
dynamic,5,2,8.3660787746385e-08,4.18303183398765e-08,0
dynamic,1,3,2.04363720571036e-06,1.02181884397497e-06,0
dynamic,3,3,1.15719522000846e-05,5.78597731271113e-06,0
dynamic,5,3,5.24455173926908e-08,2.62227280430701e-08,0
quasisteady,1,1,4.18896522241157e-06,2.09448223193864e-06,0
quasisteady,3,1,-0.00593056616344256,-0.00592765561547518,1
quasisteady,5,1,6.74792636471419e-07,3.37396374361712e-07,0
quasisteady,1,2,3.65780881880209e-06,1.82890489745465e-06,0
quasisteady,3,2,-0.00593331262643915,-0.0059290288433355,1
quasisteady,5,2,8.3130854120717e-08,4.1565353853842e-08,0
quasisteady,1,3,2.04358221843207e-06,1.02179089812187e-06,0
quasisteady,3,3,6.24983294980619e-06,3.12491708123752e-06,0
quasisteady,5,3,5.24537654810468e-08,2.62269199108702e-08,0
