mode,case,rhsCalls,odeSeconds,modelSeconds,flapSeconds,rotorSeconds,bladeLoadCalls,flapSolveCalls,diagnosticCalls,diagnosticSeconds,diagnosticBladeCalls
dynamic,zero,362,2.760094,2.612509,2.076433,2.271327,18824,724,61,0.472266,3172
dynamic,ch1_0.2deg,494,3.727227,3.604146,2.871198,3.130322,25688,988,61,0.467433,3172
dynamic,ch1_0.1deg,482,3.602423,3.47274,2.777475,3.028138,25064,964,61,0.458579,3172
dynamic,ch2_0.2deg,452,3.268247,3.186859,2.572614,2.801757,23504,904,61,0.444093,3172
dynamic,ch2_0.1deg,434,3.161431,3.085087,2.490196,2.711577,22568,868,61,0.443975,3172
quasisteady,zero,362,19.773172,19.69186,18.026772,19.325578,177380,13032,61,3.378075,29890
quasisteady,ch1_0.2deg,476,26.140877,26.030138,23.810357,25.528178,231160,16944,61,3.52305,29538
quasisteady,ch1_0.1deg,470,25.670142,25.570737,23.40948,25.096108,230300,16920,61,3.345876,29890
quasisteady,ch2_0.2deg,452,24.775412,24.674569,22.558266,24.19355,221480,16272,61,3.374741,29890
quasisteady,ch2_0.1deg,434,23.759465,23.665347,21.651527,23.217217,212660,15624,61,3.321477,29890
