model,amplitude_deg,output,signalRMS,differenceToQuasisteadyRMS,differenceToQuasisteadyPeak
dynamic,0.2,q,2.20020384183386e-06,8.12362875739387e-09,1.3252654041444e-08
dynamic,0.2,inertialAccelerationDown,0.14221936015253,0.00475464956134752,0.0203859790682861
dynamic,0.2,thrustLeft,447.399926390729,13.3167288015008,57.1178355968041
dynamic,0.2,viLeft,0.0652164994565238,0.0102444707614053,0.0432006004417396
quasisteady,0.2,q,2.19738962763792e-06,0,0
quasisteady,0.2,inertialAccelerationDown,0.143248455680534,0,0
quasisteady,0.2,thrustLeft,450.360313207616,0,0
quasisteady,0.2,viLeft,0.0678100266372209,0,0
pp_mean,0.2,q,2.19821063885772e-06,3.24467044923261e-09,5.28407198501726e-09
pp_mean,0.2,inertialAccelerationDown,0.142723858653443,0.00218189799327398,0.0117919492440366
pp_mean,0.2,thrustLeft,448.867145282657,6.11172773523521,33.0375604302717
pp_mean,0.2,viLeft,0.0668510775075478,0.0046769579048503,0.02507106307905
cf_mean,0.2,q,2.19896289105882e-06,5.15766402670593e-09,8.34727227263846e-09
cf_mean,0.2,inertialAccelerationDown,0.142504770978832,0.00330100335747706,0.0162827562341239
cf_mean,0.2,thrustLeft,448.233694516556,9.24606104690872,45.6205412858762
cf_mean,0.2,viLeft,0.066217241181906,0.00708567952527384,0.0345491501089619
dynamic,0.1,q,6.63818172015493e-07,1.8827317960856e-09,2.90716977093801e-09
dynamic,0.1,inertialAccelerationDown,0.07122264667244,0.00238866577289486,0.0102336560151404
dynamic,0.1,thrustLeft,223.949417586673,6.69331997297801,28.6813599541638
dynamic,0.1,viLeft,0.0327364098159643,0.00513126661759773,0.0216390148231689
quasisteady,0.1,q,6.63107382098774e-07,0,0
quasisteady,0.1,inertialAccelerationDown,0.0717380056564766,0,0
quasisteady,0.1,thrustLeft,225.432661544371,0,0
quasisteady,0.1,viLeft,0.0340406164950259,0,0
pp_mean,0.1,q,6.63305918267977e-07,7.62705485178579e-10,1.16393680140744e-09
pp_mean,0.1,inertialAccelerationDown,0.0714730812150133,0.00109819207350536,0.00592357180249626
pp_mean,0.1,thrustLeft,224.678234351305,3.07745968827574,16.6011769971519
pp_mean,0.1,viLeft,0.033557192709778,0.00234862683308355,0.0125678885172178
cf_mean,0.1,q,6.63487246666432e-07,1.20444812077782e-09,1.81451147460542e-09
cf_mean,0.1,inertialAccelerationDown,0.0713623712532149,0.0016615773638817,0.00817703962011729
cf_mean,0.1,thrustLeft,224.358044121805,4.6561233193573,22.9170823730492
cf_mean,0.1,viLeft,0.0332379201292472,0.00355790475288915,0.0173130873389447
