model,amplitude_deg,maxCrossflowRatio,normalMomentumFluxOmissionBound
pp_mean,0.2,5.05321820571944e-06,1.27673427385844e-11
pp_mean,0.1,1.06132642069392e-06,5.63105118089879e-13
pp_mean,-0.2,7.71346475482726e-06,2.9748647989436e-11
pp_mean,-0.1,2.12526284452011e-06,2.25841567669249e-12
cf_mean,0.2,5.04730530163938e-06,1.27375887615244e-11
cf_mean,0.1,1.06015097902162e-06,5.61994895065254e-13
cf_mean,-0.2,7.70720136113819e-06,2.97004643101673e-11
cf_mean,-0.1,2.12337210265229e-06,2.25419682919892e-12
