model,amplitude_deg,heaveRMS,linearAbsRMS,linearNRMSE,stepChangeNRMSE,accelerationMin,accelerationMax,thrustPeakAbs,inflowPeakAbs,inflowSelfDerivative,inflowSelfTimeScale
pp_mean,0.2,0.142723858653443,0.000464446551225227,0.00325416195727289,1.43612814751551e-06,-0.168878649229364,0,524.135126152596,0.12420067366811,-43.7226590506542,0.0228714360405543
pp_mean,0.1,0.0714730812150133,0.000115898514292685,0.00162156874060077,1.43389474225703e-06,-0.084537075347051,0,262.35667048721,0.062309936785617,-43.7226590506542,0.0228714360405543
pp_mean,-0.2,0.143435511439722,0.000270449215828906,0.00188551086906091,1.42900282277985e-06,0,0.169630338038512,526.386633106154,0.125884378201807,-43.7226590506542,0.0228714360405543
pp_mean,-0.1,0.0716511191374115,6.80703878788393e-05,0.000950025466431234,1.43033181617964e-06,0,0.0847250151519468,262.919585536882,0.0627308583133015,-43.7226590506542,0.0228714360405543
cf_mean,0.2,0.142504770978832,0.000459044913270514,0.00322125996285907,1.43281451443322e-06,-0.168591278781982,0,522.985346214264,0.122707178953085,-27.9767788321398,0.0357439291349438
cf_mean,0.1,0.0713623712532149,0.000114541025443157,0.00160506193154277,1.43060621899706e-06,-0.0843957318755345,0,261.779220753502,0.0615654854321726,-27.9767788321398,0.0357439291349438
cf_mean,-0.2,0.143208031474439,0.000268476152061763,0.00187472831863961,1.42577830399755e-06,0,0.169365626858409,525.217199413291,0.124409755546541,-27.9767788321398,0.0357439291349438
cf_mean,-0.1,0.071538307853127,6.75738124919879e-05,0.000944582203855332,1.42708788033996e-06,0,0.0845893333348874,262.337219173081,0.0619911239657718,-27.9767788321398,0.0357439291349438
