pointId,inputName,initialRollAccelerationPerRad,initialPitchAccelerationPerRad,initialYawAccelerationPerRad,maxAngularAccelerationPerRad,finiteReal
B15_V020,collective,-1.6496211754073e-11,0.0588348043694851,-1.48411554107664e-12,0.0588348043694851,1
B15_V020,diffCollective,-85.626539087117,-1.52246760730672e-13,-6.55370954877286,85.626539087117,1
B15_V020,cyclicLong,2.47385938424273e-11,-0.790379073741826,2.80849273366617e-12,0.790379073741826,1
B15_V020,diffCyclic,1.69044235597905,0,-3.43270108792288,3.43270108792288,1
B15_V020,lateralCyclic,0.442286601915013,1.52246754526817e-13,0.0525988414304399,0.442286601915013,1
B15_V020,aileron,0.135456948991412,0,0.00297531921728347,0.135456948991412,1
B15_V020,elevator,0,-0.347843567793082,0,0.347843567793082,1
B15_V020,rudder,0.00393731745713712,0,-0.0516265768079983,0.0516265768079983,1
B15_V020,betaSymCommand,0,0.267835318707782,0,0.267835318707782,1
B15_V020,betaDiffCommand,0,0,0,0,1
B45_V035,collective,-3.66927645073715e-14,0.24518388580502,-8.14780290220616e-13,0.24518388580502,1
B45_V035,diffCollective,-83.814660760634,0,-21.5016154941976,83.814660760634,1
B45_V035,cyclicLong,-3.66927645073729e-14,-0.800227045315688,-8.14780290220616e-13,0.800227045315688,1
B45_V035,diffCyclic,8.62497294307246,1.53592977532063e-13,-1.73857153438574,8.62497294307246,1
B45_V035,lateralCyclic,0.342124741798114,-3.07185952996173e-13,0.124308295451023,0.342124741798114,1
B45_V035,aileron,0.127402966521259,0,0.0135933860349491,0.127402966521259,1
B45_V035,elevator,0,-1.03433777443353,0,1.03433777443353,1
B45_V035,rudder,0.0148028683781662,0,-0.160695120726108,0.160695120726108,1
B45_V035,betaSymCommand,0,0.270203623831649,0,0.270203623831649,1
B45_V035,betaDiffCommand,0,0,0,0,1
B75_V080,collective,-2.14225598368432e-12,-2.30347846688423,-1.67444709730522e-12,2.30347846688423,1
B75_V080,diffCollective,-55.9681266617745,0,-46.0874639307997,55.9681266617745,1
B75_V080,cyclicLong,-1.66248426129392e-12,-0.0044284822189141,-2.48377450919249e-12,0.0044284822189141,1
B75_V080,diffCyclic,-0.0201513340299774,-3.09926447860495e-13,-0.102063150888214,0.102063150888214,1
B75_V080,lateralCyclic,0.0457578503474342,0,0.038458420592835,0.0457578503474342,1
B75_V080,aileron,3.03623253197328,0,0.119448660210918,3.03623253197328,1
B75_V080,elevator,0,-6.05562686920006,0,6.05562686920006,1
B75_V080,rudder,0.102758079822761,0,-0.848794701574714,0.848794701574714,1
B75_V080,betaSymCommand,0,0.272614185574024,0,0.272614185574024,1
B75_V080,betaDiffCommand,0,0,0,0,1
