omega_rad_s,real_response,imag_response,magnitude_dB,phase_unwrapped_deg
0.1,-0.00466473812892517,-0.00489072303603329,-43.4028385308496,-133.645217849543
0.102692803405654,-0.00479486953230246,-0.00489514846237785,-43.2833432017633,-134.407085273076
0.105458118713123,-0.00492515461152279,-0.00489611151413442,-43.1669123939932,-135.169432538787
0.108297898525369,-0.00505540954982776,-0.00489360794572853,-43.0535475619749,-135.931723343755
0.111214148025112,-0.00518545070037391,-0.00488764571220534,-42.9432458344061,-136.693421717774
0.114208926390702,-0.00531509562025486,-0.00487824489954464,-42.8360000304285,-137.453993914426
0.117284348250112,-0.00544416409014537,-0.00486543755123452,-42.7317986999981,-138.212910283284
0.12044258517409,-0.00557247910751647,-0.00484926739385846,-42.6306261879627,-138.969647107353
0.123685867209516,-0.00569986784190767,-0.00482978946602466,-42.5324627210881,-139.723688390371
0.127016484454047,-0.00582616254150603,-0.00480706965643215,-42.4372845170114,-140.474527579413
0.130436788673168,-0.00595120138124831,-0.00478118415818896,-42.3450639138591,-141.221669209217
0.133949194960785,-0.00607482924380324,-0.00475221884764455,-42.2557695190493,-141.964630455876
0.137556183444535,-0.00619689842607256,-0.00472026859694786,-42.1693663756095,-142.702942588864
0.141260301037017,-0.00631726926523442,-0.00468543653027614,-42.085816144183,-143.436152311894
0.14506416323418,-0.00643581067980416,-0.00464783323419032,-42.0050772987772,-144.163822984657
0.148970455962133,-0.00655240062266527,-0.00460757593285485,-41.9271053342114,-144.885535719149
0.1529819374737,-0.00666692644449125,-0.00456478763892097,-41.8518529831744,-145.600890345996
0.157101440296028,-0.00677928516740189,-0.00451959629072031,-41.7792704407763,-146.309506247798
0.161331873230651,-0.00688938367004351,-0.00447213388606897,-41.7093055944951,-147.0110230582
0.165676223407412,-0.00699713878652534,-0.00442253562246002,-41.6419042574591,-147.705101226914
0.170137558393686,-0.00710247732276091,-0.00437093905274965,-41.5770104030775,-148.391422452415
0.174719028360408,-0.00720533599473788,-0.00431748326464626,-41.5145663991274,-149.069689985356
0.179423868306423,-0.00730566129405974,-0.00426230809141904,-41.4545132395218,-149.739628807008
0.184255400342735,-0.00740340928676366,-0.0042055533602833,-41.3967907721152,-150.400985688064
0.189217036038266,-0.00749854535191745,-0.00414735818391955,-41.3413379210539,-151.053529134114
0.194312278828782,-0.0075910438668405,-0.00408786029956955,-41.2880929023328,-151.697049224829
0.199544726490688,-0.00768088784598423,-0.00402719545914771,-41.2369934313856,-152.331357354532
0.204918073681433,-0.00776806854055876,-0.00396549687283255,-41.1879769217012,-152.956285882276
0.210436114548327,-0.00785258500591655,-0.00390289470767711,-41.1409806736253,-153.571687699862
0.216102745407611,-0.00793444364351613,-0.00383951564191465,-41.0959420526694,-154.177435726409
0.221921967495659,-0.00801365772400509,-0.00377548247484757,-41.0527986568063,-154.77342233811
0.227897889794277,-0.00809024689759865,-0.00371091379150187,-41.0114884723813,-155.359558741771
0.234034731932072,-0.00816423669750385,-0.00364592368061052,-40.9719500184085,-155.935774300511
0.240336827163952,-0.00823565804166689,-0.00358062150396041,-40.9341224791526,-156.502015819767
0.246808625430864,-0.00830454673761584,-0.00351511171469804,-40.8979458250122,-157.058246801397
0.253454696501915,-0.00837094299464856,-0.00344949372183629,-40.8633609218302,-157.604446673272
0.260279733201109,-0.00843489094708648,-0.00338386179793536,-40.8303096288481,-158.140610001296
0.267288554720976,-0.00849643819179179,-0.00331830502673858,-40.7987348856025,-158.666745690318
0.274486110025427,-0.00855563534263574,-0.0032529072874229,-40.7685807881345,-159.182876179866
0.281877481344239,-0.00861253560411856,-0.00318774727206667,-40.7397926549348,-159.689036640152
0.289467887761649,-0.00866719436588102,-0.00312289853293642,-40.7123170830988,-160.185274173209
0.29726268890157,-0.00871966881942042,-0.00305842955624251,-40.6861019951982,-160.671647023561
0.305267388712051,-0.00877001759793073,-0.00299440385910253,-40.6610966774041,-161.148223802263
0.31348763935164,-0.00881830043983165,-0.00293088010657422,-40.6372518094124,-161.615082727679
0.321929245180406,-0.00886457787623371,-0.00286791224577002,-40.6145194867331,-162.072310885874
0.330598166858421,-0.00890891094230733,-0.00280554965423584,-40.5928532359067,-162.520003513068
0.339500525554615,-0.00895136091228106,-0.00274383729996215,-40.5722080232066,-162.958263302144
0.348642607268964,-0.0089919890575878,-0.00268281591059089,-40.5525402573802,-163.387199734836
0.358030867271064,-0.00903085642750454,-0.0026225221495819,-40.5338077869639,-163.806928440857
0.367671934658232,-0.00906802365148979,-0.0025629887973043,-40.5159698926938,-164.217570584869
0.377572617036344,-0.00910355076231028,-0.00250424493521769,-40.4989872755117,-164.619252281947
0.387739905326716,-0.00913749703896228,-0.00244631613150279,-40.4828220406436,-165.012104041856
0.398180978702435,-0.00916992086833063,-0.00238922462668902,-40.4674376782051,-165.396260242285
0.408903209657601,-0.00920087962448691,-0.00233298951800526,-40.4527990407612,-165.771858630918
0.41991416921309,-0.00923042956450554,-0.0022776269413495,-40.438872318243,-166.139039856066
0.431221632262485,-0.00925862573966922,-0.00222315024993088,-40.4256250105951,-166.497947025423
0.442833583061967,-0.00928552192094218,-0.00216957018878486,-40.4130258985059,-166.848725292358
0.45475822086804,-0.00931117053760735,-0.00211689506449691,-40.4010450125401,-167.191521469065
0.467003965727067,-0.00933562262799152,-0.00206513090959398,-40.3896536009722,-167.526483665774
0.479579464420706,-0.00935892780123721,-0.00201428164117453,-40.3788240965935,-167.853760955177
0.492493596571445,-0.00938113420912146,-0.00196434921344868,-40.3685300827398,-168.17350306114
0.505755480912549,-0.00940228852696709,-0.00191533376394989,-40.3587462587652,-168.485860070747
0.519374481726845,-0.00942243594274101,-0.00186723375325922,-40.3494484051655,-168.790982168681
0.533360215458885,-0.0094416201534851,-0.00182004609815299,-40.3406133485337,-169.089019392938
0.547722557505166,-0.00945988336827725,-0.00177376629814599,-40.3322189265107,-169.380121410833
0.562471649187201,-0.00947726631697294,-0.00172838855545461,-40.3242439528749,-169.664437314312
0.577617904912354,-0.00949380826402955,-0.00168390588844954,-40.316668182901,-169.942115433524
0.593172019527502,-0.00950954702676741,-0.00164031023870549,-40.3094722790968,-170.213303167678
0.609144975870727,-0.00952451899747136,-0.00159759257178704,-40.3026377774178,-170.478146832193
0.625548052526345,-0.00953875916878481,-0.00155574297193579,-40.2961470540421,-170.736791521191
0.642392831788778,-0.00955230116189509,-0.00151475073084452,-40.2899832927783,-170.989380984404
0.659691207840865,-0.00956517725705277,-0.00147460443072065,-40.284130453165,-171.236057517597
0.677455395152405,-0.0095774184260096,-0.00143529202185326,-40.2785732393138,-171.476961865643
0.695697937104857,-0.00958905436599957,-0.00139680089490688,-40.2732970695351,-171.712233137421
0.714431714848283,-0.00960011353492429,-0.00135911794817074,-40.2682880467794,-171.94200873173
0.733669956396791,-0.00961062318743901,-0.00132222964999537,-40.26353292992,-172.166424273477
0.753426245968905,-0.00962060941166755,-0.00128612209664891,-40.2590191058924,-172.385613559401
0.773714533579449,-0.00963009716630468,-0.00125078106582455,-40.254734562706,-172.599708512654
0.794549144889718,-0.0096391103178919,-0.00121619206602755,-40.2506678633312,-172.808839145582
0.815944791322904,-0.00964767167807814,-0.00118234038206607,-40.2468081204664,-173.013133530091
0.837916580451906,-0.00965580304070032,-0.00114921111686489,-40.2431449721808,-173.212717775019
0.860480026666856,-0.00966352521854007,-0.00111678922981477,-40.2396685584292,-173.407716009964
0.883651062129915,-0.00967085807963216,-0.00108505957186351,-40.236369498427,-173.598250375056
0.907446048025049,-0.00967782058301831,-0.0010540069175471,-40.2332388688762,-173.784441016174
0.931881786110742,-0.00968443081385567,-0.00102361599415188,-40.2302681830272,-173.966406085187
0.956975530583803,-0.00969070601780401,-0.000993871508190269,-40.2274493705604,-174.144261744755
