omega_rad_s,real_response,imag_response,magnitude_dB,phase_unwrapped_deg
0.3,0.28577280200913,-0.0482385648474425,-10.7575662999121,-9.58123095234369
0.30833210289607,0.285713703561266,-0.0496314996875708,-10.7522669467305,-9.85454808567727
0.316895618921043,0.285650089473698,-0.0510676224954183,-10.7466791860376,-10.1360771801738
0.325696975268256,0.285581564379805,-0.0525485095665057,-10.740787980167,-10.4260999470898
0.334742777637836,0.285507693692284,-0.0540758117803956,-10.7345775915861,-10.7249105749344
0.344039815194486,0.285427999324374,-0.0556512590540193,-10.7280315618478,-11.0328164817444
0.35359506566297,0.285341954912474,-0.0572766650761857,-10.721132691724,-11.3501391237337
0.363415700565126,0.28524898047935,-0.0589539323358171,-10.7138630229045,-11.6772148649517
0.373509090602313,0.28514843646946,-0.0606850574555048,-10.7062038217092,-12.0143959129722
0.383882811187367,0.285039617079319,-0.062472136840545,-10.6981355653412,-12.3620513260357
0.394544648130186,0.284921742796115,-0.064317372651577,-10.6896379312924,-12.7205680975054
0.405502603481235,0.28479395204681,-0.0662230791061546,-10.6806897906168,-13.0903523239568
0.416764901537335,0.284655291847703,-0.068191689110853,-10.6712692059026,-13.471830463707
0.428339995014267,0.284504707330521,-0.0702257612206203,-10.6613534349102,-13.8654506931046
0.440236571390804,0.28434103000561,-0.0723279869157511,-10.6509189409959,-14.2716843684297
0.452463559428942,0.284162964605295,-0.0745011981787647,-10.6399414116246,-14.6910276018105
0.465030135875222,0.283969074330997,-0.0767483753431877,-10.6283957864766,-15.1240029601217
0.477945732348175,0.283757764305838,-0.0790726551733003,-10.6162562968956,-15.5711612963977
0.491220042417051,0.28352726301016,-0.0814773391176842,-10.603496518697,-16.0330837238502
0.504863028877154,0.283275601450401,-0.0839659016592072,-10.5900894406731,-16.51038374311
0.518884931227241,0.283000589781876,-0.0865419986589915,-10.5760075514934,-17.0037095338009
0.533296273354594,0.282699791073184,-0.0892094755609024,-10.5612229481196,-17.5137464219624
0.548107871433531,0.282370491863992,-0.0919723752848673,-10.5457074693331,-18.0412195351396
0.563330842043299,0.282009669129006,-0.0948349455903628,-10.5294328585261,-18.5868966571036
0.578976610511414,0.281613953219012,-0.0978016456338473,-10.5123709605428,-19.1515912940912
0.595056919488745,0.281179586305563,-0.100877151373568,-10.4944939580809,-19.7361659640889
0.611583837762741,0.280702375809594,-0.104066359389413,-10.4757746539945,-20.3415357199288
0.62856976931545,0.280177642247305,-0.107374388581235,-10.4561868067867,-20.9686719156984
0.646027462633102,0.27960016088046,-0.110806579082665,-10.4357055276594,-21.6186062240361
0.663970020274256,0.278964096515326,-0.114368487574664,-10.4143077487062,-22.2924349090918
0.682410908703692,0.278262930758119,-0.118065877998993,-10.3919727732195,-22.9913233560547
0.701363968399425,0.277489381009731,-0.121904706450827,-10.368682920632,-23.7165108528718
0.720843424240426,0.276635310475146,-0.125891098765657,-10.3444242803449,-24.4693156127514
