theta_rad,e,DIRECT_C81,OPERATING_TANGENT,CLASSICAL_LUT_COARSE,CLASSICAL_LUT_FINE,D11_SMALL_ANGLE
0.140866707468787,0.00464101615137754,-0.00057774206235794,-0.000567441599329017,-0.000577706071494329,-0.000577731087338651,-0.000703602567270449
0.177013659817914,-0.000717967697244912,8.35704736231162e-05,8.36689046603436e-05,8.35606368858542e-05,8.35682035140711e-05,0.000108847695961763
0.125894149567324,-0.00607695154586736,0.000745794983324653,0.000761680393544273,0.00074577432006225,0.000745787219423062,0.000921297959193974
0.162041101916451,0.00856406460551018,-0.00103711922226857,-0.00101234191165898,-0.00103719689765374,-0.00103715681772635,-0.00129835743857914
0.110921591665862,0.00320508075688771,-0.000413586407633354,-0.000410306268761416,-0.00041354811594239,-0.000413591280158092,-0.000485907175346923
0.147068544014989,-0.00215390309173472,0.000257597098310191,0.00025993618429958,0.000257641732759014,0.000257630669335094,0.000326543087885286
0.183215496364116,-0.00751288694035718,0.000860514210744573,0.000870613758286467,0.000860513529215169,0.00086051392843844,0.0011389933511175
0.132095986113527,0.00712812921102035,-0.000906716499225469,-0.000885070078903916,-0.000906710156851215,-0.000906714282537173,-0.00108066204665561
0.168242938462654,0.00176914536239789,-0.000208702093963059,-0.000207940330772478,-0.000208706562488168,-0.000208701731786483,-0.000268211783423397
0.117123428212064,-0.00358983848622458,0.00045011678567358,0.00045601716791604,0.000450096216784292,0.00045010960846275,0.000544238479808816
0.153270380561191,-0.00894882233484701,0.0010488626588384,0.00106482868632267,0.00104885171868064,0.00104886040278869,0.00135668874304102
0.189417332910318,0.00569219381653056,-0.000662325625479978,-0.000655937180910271,-0.000662369681910776,-0.000662332148543492,-0.000862966654732091
0.138297822659729,0.000333209967908061,-4.09869049497538e-05,-4.09358767856201e-05,-4.10134861032705e-05,-4.09937951864499e-05,-5.05163914998717e-05
0.174444775008856,-0.00502577388071437,0.000582216108467677,0.00058724674978475,0.00058221460285002,0.000582215661320801,0.000761933871732336
0.123325264758266,0.00961524227066313,-0.00124807138034912,-0.00121016569311826,-0.00124801402736106,-0.00124805064877363,-0.00145772152604077
0.159472217107393,0.0042562584220407,-0.000509378585249989,-0.000504078974179875,-0.000509595315421254,-0.000509395033137721,-0.00064527126280856
0.108352706856804,-0.00110272542658173,0.000141047573075732,0.000141402275075431,0.000141032339319771,0.000141040620864734,0.000167179000423648
0.144499659205931,-0.00646170927520423,0.00076788064785195,0.000784212540377551,0.000767918037222079,0.000767889761299262,0.000979629263655867
0.180646611555058,0.00817930687617334,-0.000965871510588179,-0.000949984285606104,-0.000965889788492672,-0.000965873919057841,-0.00124002613411725
0.129527101304469,0.00282032302755084,-0.000355237562342737,-0.000351580894454492,-0.000355248006465677,-0.000355241302635763,-0.000427575870885029
0.165674053653596,-0.00253866082107152,0.000297736971118749,0.000299089623383626,0.000297732236977344,0.000297734663369686,0.000384874392347168
0.114554543403006,-0.00789764466969402,0.000980330492894568,0.00100647284262908,0.000980292044622167,0.000980319056715847,0.00119732465557939
0.150701495752133,0.00674337148168348,-0.000829744366947007,-0.000806380843808995,-0.00082967018510661,-0.000829740147748774,-0.00102233074219372
0.186848448101261,0.00138438763306112,-0.000160233851811648,-0.000159885848079419,-0.000160245155511673,-0.000160238618457089,-0.00020988047896152
0.135728937850671,-0.00397459621556138,0.000483347082802665,0.000490644672511604,0.000483322335939919,0.000483337277934537,0.000602569784270699
0.171875890199798,-0.00933358006418388,0.00107644134600624,0.00109378945690742,0.00107643370047553,0.0010764385920585,0.00141502004750292
0.120756379949209,0.00530743608719362,-0.000681487413406361,-0.000670801499086832,-0.000681493310900128,-0.000681486898344679,-0.000804635350270186
0.156903332298335,-5.15477614287363e-05,6.11622827286981e-06,6.11570730315381e-06,6.11090984897795e-06,6.11358212284165e-06,7.81491296201116e-06
0.105783822047746,-0.00541053161005124,0.000684293238664139,0.000695506703737306,0.000684204166251868,0.000684268088462953,0.00082026517619423
0.141930774396873,0.00923048454132626,-0.00116516148181015,-0.00112609865946623,-0.00116509955399447,-0.00116515862945303,-0.00139939022157887
0.178077726746,0.0038715006927039,-0.000454100028191485,-0.000450766173186419,-0.000454124021728982,-0.000454109615549805,-0.000586939958346677
0.126958216495411,-0.0014874831559186,0.000185132841491906,0.000186136760425341,0.000185128156677636,0.000185130763519256,0.000225510304885542
0.163105168844537,-0.0068464670045411,0.000798813469327345,0.000808673757214547,0.000798785608315983,0.000798807209631599,0.00103796056811776
0.111985658593948,0.00779454914683655,-0.0010170657814171,-0.000996653027766707,-0.00101703787832375,-0.00101704871594029,-0.00118169482965537
0.148132610943075,0.00243556529821404,-0.000296309661344892,-0.000293181768135173,-0.000296311321865866,-0.000296308499464914,-0.000369244566423146
0.184279563292203,-0.00292341855040846,0.000336831950282017,0.000338443373977893,0.000336833089246438,0.000336832390909312,0.000443205696809073
0.133160053041613,-0.00828240239903096,0.000996998519132333,0.00102670262001037,0.000997077106004434,0.000997001127586619,0.00125565596004129
0.16930700539074,0.00635861375234668,-0.000756997799365304,-0.00074674460194354,-0.000757093362762178,-0.000757026190014591,-0.000963999437731834
0.118187495140151,0.000999629903724326,-0.000127186869870659,-0.00012680471341334,-0.000127181847171775,-0.000127182634409906,-0.000151549174499637
0.154334447489277,-0.00435935394489832,0.000514330027420794,0.000518291490479869,0.000514310066331182,0.000514326331341219,0.000660901088732604
