theta_report_deg,points_per_segment,derivative_step,b,raw_CT,static_CT,alpha_min_deg,alpha_max_deg,mach_min,mach_max
6,64,0.0001,0.128604939903783,0.00213652084213787,0.009208,-4.2616777136767,11.7433553293619,0.0767127714178766,0.689804170391777
6,64,5e-05,0.128562352048776,0.00213652084213787,0.009208,-4.2616777136767,11.7433553293619,0.0767127714178766,0.689804170391777
6,64,1e-05,0.128567450741624,0.00213652084213787,0.009208,-4.2616777136767,11.7433553293619,0.0767127714178766,0.689804170391777
6.45799945840901,64,0.0001,0.127737146256694,0.00272707932959862,0.00961066971108423,-3.8874122529065,11.8645975576744,0.0773323061711457,0.689873343280507
6.45799945840901,64,5e-05,0.127730794617148,0.00272707932959862,0.00961066971108423,-3.8874122529065,11.8645975576744,0.0773323061711457,0.689873343280507
6.45799945840901,64,1e-05,0.127730794394058,0.00272707932959862,0.00961066971108423,-3.8874122529065,11.8645975576744,0.0773323061711457,0.689873343280507
7,64,0.0001,0.12620934920306,0.00342284633812677,0.010104,-3.4456197747521,12.0084570814119,0.0780846285437897,0.689958080904991
7,64,5e-05,0.126208467370759,0.00342284633812677,0.010104,-3.4456197747521,12.0084570814119,0.0780846285437897,0.689958080904991
7,64,1e-05,0.126200756721869,0.00342284633812677,0.010104,-3.4456197747521,12.0084570814119,0.0780846285437897,0.689958080904991
8,64,0.0001,0.122368534619935,0.00469400880043928,0.011063,-2.63358160830877,12.2756499585285,0.0795267293910693,0.690122775221132
8,64,5e-05,0.122262040530927,0.00469400880043928,0.011063,-2.63358160830877,12.2756499585285,0.0795267293910693,0.690122775221132
8,64,1e-05,0.122264160021517,0.00469400880043928,0.011063,-2.63358160830877,12.2756499585285,0.0795267293910693,0.690122775221132
9,64,0.0001,0.118660417882982,0.00596406111303713,0.012035,-1.81586024275999,12.5815588568816,0.0809621718786919,0.690289662001824
9,64,5e-05,0.118656995662242,0.00596406111303713,0.012035,-1.81586024275999,12.5815588568816,0.0809621718786919,0.690289662001824
9,64,1e-05,0.118649039521296,0.00596406111303713,0.012035,-1.81586024275999,12.5815588568816,0.0809621718786919,0.690289662001824
10,64,0.0001,0.116802729655989,0.00721138195328801,0.013089,-1.81935152956167,12.8767029216765,0.0824904878605039,0.690470582124062
