load_convention,memory,b,fast_pole,slow_pole,constant_gain_amplitude_lower_bound,normalized_complex_max
D11_SMALL_ANGLE,PP_mean,0.151605283050266,-48.9552069604623,-0.211665697858354,0.235409654015518,0.402574877264073
D11_SMALL_ANGLE,CF_TN3044,0.151605283050266,-31.4756058322915,-0.21056973001122,0.235239681449453,0.398489887515656
OPERATING_C81_ROOT_EXTENDED,PP_mean,0.127761785224489,-46.1771944519456,-0.189107375060835,0.192537544927895,0.34636572638133
OPERATING_C81_ROOT_EXTENDED,CF_TN3044,0.127761785224489,-29.6691667994215,-0.188257082577944,0.192547993271039,0.342418248110484
OPERATING_C81_NO_ROOT,PP_mean,0.126246298651645,-46.0007171622607,-0.187581104942213,0.189499645855056,0.34215054697973
OPERATING_C81_NO_ROOT,CF_TN3044,0.126246298651645,-29.5544427794006,-0.186746117412674,0.189521702714737,0.338214060876492
