theta_rad,e,delta_CT
0.10471975511966,-0.01,0.00124951567906129
0.106901416684653,-0.01,0.00124634500544418
0.109083078249646,-0.01,0.00124290836666974
0.111264739814638,-0.01,0.00123916546697646
0.113446401379631,-0.01,0.00123529076986753
0.115628062944624,-0.01,0.00123132865531659
0.117809724509617,-0.01,0.00122727714971239
0.11999138607461,-0.01,0.00122312697532039
0.122173047639603,-0.01,0.00121889730210965
0.124354709204596,-0.01,0.00121460957129005
0.126536370769589,-0.01,0.00121028318987734
0.128718032334582,-0.01,0.00120615124489551
0.130899693899575,-0.01,0.00120222740379272
0.133081355464568,-0.01,0.00119848515418242
0.135263017029561,-0.01,0.00119489196364501
0.137444678594553,-0.01,0.00119140181246623
0.139626340159546,-0.01,0.00118792841505527
0.141808001724539,-0.01,0.0011844821840658
0.143989663289532,-0.01,0.00118118392125534
0.146171324854525,-0.01,0.00117811605787641
0.148352986419518,-0.01,0.0011753091938755
0.150534647984511,-0.01,0.00117280461127786
0.152716309549504,-0.01,0.00117064438201842
0.154897971114497,-0.01,0.00116862805184562
0.15707963267949,-0.01,0.00116655987327832
0.159261294244483,-0.01,0.00116446833245382
0.161442955809475,-0.01,0.00116236152874848
0.163624617374468,-0.01,0.00116022747828791
0.165806278939461,-0.01,0.0011580877550448
0.167987940504454,-0.01,0.00115595343832974
0.170169602069447,-0.01,0.00115382048147758
0.17235126363444,-0.01,0.00115168310817176
0.174532925199433,-0.01,0.00114954741423214
0.176714586764426,-0.01,0.00114744749367732
0.178896248329419,-0.01,0.00114535590660246
0.181077909894412,-0.01,0.00114309080891463
0.183259571459405,-0.01,0.00114070212178578
0.185441233024398,-0.01,0.00113809309620284
0.18762289458939,-0.01,0.00113493190786261
0.189804556154383,-0.01,0.00113115024059444
0.191986217719376,-0.01,0.00112668579482074
0.10471975511966,-0.00975,0.00121914628194776
0.106901416684653,-0.00975,0.00121607431400372
0.109083078249646,-0.00975,0.00121273796619759
0.111264739814638,-0.00975,0.00120909751095046
0.113446401379631,-0.00975,0.0012053276819726
0.115628062944624,-0.00975,0.00120147481463424
0.117809724509617,-0.00975,0.00119753231985473
0.11999138607461,-0.00975,0.00119349496345236
0.122173047639603,-0.00975,0.00118937788502463
0.124354709204596,-0.00975,0.00118520530555798
0.126536370769589,-0.00975,0.00118096248692282
0.128718032334582,-0.00975,0.00117684713321415
0.130899693899575,-0.00975,0.00117294562579134
0.133081355464568,-0.00975,0.00116922780156106
0.135263017029561,-0.00975,0.00116566374472468
0.137444678594553,-0.00975,0.00116222063844889
0.139626340159546,-0.00975,0.00115880622420192
0.141808001724539,-0.00975,0.00115541691004844
0.143989663289532,-0.00975,0.001152163726534
0.146171324854525,-0.00975,0.00114914304278218
0.148352986419518,-0.00975,0.00114638577412555
0.150534647984511,-0.00975,0.00114393231864747
0.152716309549504,-0.00975,0.00114182297486588
0.154897971114497,-0.00975,0.0011398597721732
0.15707963267949,-0.00975,0.0011378463134937
0.159261294244483,-0.00975,0.00113580787641964
0.161442955809475,-0.00975,0.00113375538896746
0.163624617374468,-0.00975,0.00113167246409714
0.165806278939461,-0.00975,0.00112957890679854
0.167987940504454,-0.00975,0.0011274891111087
0.170169602069447,-0.00975,0.0011254001790661
0.17235126363444,-0.00975,0.00112330718799284
0.174532925199433,-0.00975,0.00112121643908003
0.176714586764426,-0.00975,0.00111916120508422
0.178896248329419,-0.00975,0.00111713804854221
0.181077909894412,-0.00975,0.00111498446496109
0.183259571459405,-0.00975,0.00111268145266242
0.185441233024398,-0.00975,0.00111020500364771
0.18762289458939,-0.00975,0.00110719821629426
0.189804556154383,-0.00975,0.00110357685244342
0.191986217719376,-0.00975,0.00109927983720834
0.10471975511966,-0.0095,0.00118873282561797
0.106901416684653,-0.0095,0.00118575829274938
0.109083078249646,-0.0095,0.00118252264707475
0.111264739814638,-0.0095,0.00117898467849773
0.113446401379631,-0.0095,0.00117531949398711
0.115628062944624,-0.0095,0.00117157345626901
0.117809724509617,-0.0095,0.00116774072214383
0.11999138607461,-0.0095,0.0011638165761841
0.122173047639603,-0.0095,0.0011598100925144
0.124354709204596,-0.0095,0.00115575398098735
0.126536370769589,-0.0095,0.00115162489495283
0.128718032334582,-0.0095,0.0011475281599134
0.130899693899575,-0.0095,0.00114364665728901
0.133081355464568,-0.0095,0.00113995346887022
0.135263017029561,-0.0095,0.00113641761742458
0.137444678594553,-0.0095,0.00113301812903244
0.139626340159546,-0.0095,0.00112966021418512
0.141808001724539,-0.0095,0.00112633185435575
0.143989663289532,-0.0095,0.00112312351070073
0.146171324854525,-0.0095,0.00112014938582612
0.148352986419518,-0.0095,0.00111744155648509
0.150534647984511,-0.0095,0.00111503811126048
0.152716309549504,-0.0095,0.00111298053870732
0.154897971114497,-0.0095,0.00111107107649337
0.15707963267949,-0.0095,0.00110911144677152
0.159261294244483,-0.0095,0.0011071261860762
0.161442955809475,-0.0095,0.00110512776244062
0.163624617374468,-0.0095,0.00110309745792928
0.165806278939461,-0.0095,0.0011010504316901
0.167987940504454,-0.0095,0.00109900532922354
0.170169602069447,-0.0095,0.0010969612631812
0.17235126363444,-0.0095,0.00109491298385443
0.174532925199433,-0.0095,0.00109286745755237
0.176714586764426,-0.0095,0.00109085660115208
0.178896248329419,-0.0095,0.00108888416090297
0.181077909894412,-0.0095,0.00108684175304543
0.183259571459405,-0.0095,0.00108462815440678
0.185441233024398,-0.0095,0.00108227642705895
0.18762289458939,-0.0095,0.00107942372552475
0.189804556154383,-0.0095,0.00107596350204813
0.191986217719376,-0.0095,0.0010718320263858
0.10471975511966,-0.00925,0.00115827344885427
0.106901416684653,-0.00925,0.00115539704614641
0.109083078249646,-0.00925,0.00115226184589209
0.111264739814638,-0.00925,0.00114882615695295
0.113446401379631,-0.00925,0.00114526528817121
0.115628062944624,-0.00925,0.00114162562607256
0.117809724509617,-0.00925,0.00113790225446243
0.11999138607461,-0.00925,0.00113409081431071
0.122173047639603,-0.00925,0.00113019525661687
0.124354709204596,-0.00925,0.00112625386899821
0.126536370769589,-0.00925,0.00112224499311298
0.128718032334582,-0.00925,0.00111819320255463
0.130899693899575,-0.00925,0.00111433012454656
0.133081355464568,-0.00925,0.00111066218365994
0.135263017029561,-0.00925,0.00110715342804056
0.137444678594553,-0.00925,0.00110379236809405
0.139626340159546,-0.00925,0.00110049163036446
0.141808001724539,-0.00925,0.00109722561268764
0.143989663289532,-0.00925,0.00109406267601713
0.146171324854525,-0.00925,0.00109113525427554
0.148352986419518,-0.00925,0.00108847548187483
0.150534647984511,-0.00925,0.00108612243334695
0.152716309549504,-0.00925,0.00108411709730486
0.154897971114497,-0.00925,0.0010822613767322
0.15707963267949,-0.00925,0.00108035514237957
0.159261294244483,-0.00925,0.00107842302015499
0.161442955809475,-0.00925,0.00107647876464457
0.163624617374468,-0.00925,0.00107450193690703
0.165806278939461,-0.00925,0.00107250220926969
0.167987940504454,-0.00925,0.00107050244295787
0.170169602069447,-0.00925,0.00106850316444089
0.17235126363444,-0.00925,0.0010664995961602
0.174532925199433,-0.00925,0.00106449980857703
0.176714586764426,-0.00925,0.00106253363595023
0.178896248329419,-0.00925,0.00106060542519835
0.181077909894412,-0.00925,0.00105866297007089
0.183259571459405,-0.00925,0.00105654431447552
0.185441233024398,-0.00925,0.00105430758118488
0.18762289458939,-0.00925,0.00105160796588467
0.189804556154383,-0.00925,0.00104830675972665
0.191986217719376,-0.00925,0.00104434172063078
0.10471975511966,-0.009,0.00112777122860365
0.106901416684653,-0.009,0.00112499127862731
0.109083078249646,-0.009,0.00112195491209475
0.111264739814638,-0.009,0.00111862041796392
0.113446401379631,-0.009,0.00111516362810644
0.115628062944624,-0.009,0.00111163127829682
0.117809724509617,-0.009,0.00110801674979679
0.11999138607461,-0.009,0.00110431649116945
0.122173047639603,-0.009,0.00110053351545826
0.124354709204596,-0.009,0.00109670451301609
0.126536370769589,-0.009,0.00109281705451226
0.128718032334582,-0.009,0.00108884007304546
0.130899693899575,-0.009,0.00108499784278925
0.133081355464568,-0.009,0.00108135329655834
0.135263017029561,-0.009,0.00107787122614921
0.137444678594553,-0.009,0.00107454472167833
0.139626340159546,-0.009,0.0010713005635873
0.141808001724539,-0.009,0.00106809620443027
0.143989663289532,-0.009,0.00106498055686429
0.146171324854525,-0.009,0.0010620996173569
0.148352986419518,-0.009,0.001059488517494
0.150534647984511,-0.009,0.00105718571320602
0.152716309549504,-0.009,0.00105523283768775
0.154897971114497,-0.009,0.00105343014983313
0.15707963267949,-0.009,0.00105157702192483
0.159261294244483,-0.009,0.00104969886066231
0.161442955809475,-0.009,0.00104780854837171
0.163624617374468,-0.009,0.00104588555694159
0.165806278939461,-0.009,0.00104393405473992
0.167987940504454,-0.009,0.00104197964391093
0.170169602069447,-0.009,0.00104002619738501
0.17235126363444,-0.009,0.00103806741915509
0.174532925199433,-0.009,0.00103611363278224
0.176714586764426,-0.009,0.00103419242008789
0.178896248329419,-0.009,0.00103230880455334
0.181077909894412,-0.009,0.00103044589439945
0.183259571459405,-0.009,0.00102842681647998
0.185441233024398,-0.009,0.00102629904562295
0.18762289458939,-0.009,0.00102375045438684
0.189804556154383,-0.009,0.0010206101835712
0.191986217719376,-0.009,0.00101681001982392
0.10471975511966,-0.00875,0.00109722516005807
0.106901416684653,-0.00875,0.00109454158976784
0.109083078249646,-0.00875,0.00109160343399473
0.111264739814638,-0.00875,0.00108836997123099
0.113446401379631,-0.00875,0.00108501559005505
0.115628062944624,-0.00875,0.00108158833764027
0.117809724509617,-0.00875,0.00107808262469838
0.11999138607461,-0.00875,0.00107449484373832
0.122173047639603,-0.00875,0.00107082271785099
0.124354709204596,-0.00875,0.0010671068181612
0.126536370769589,-0.00875,0.00106333786519031
0.128718032334582,-0.00875,0.00105947040345299
0.130899693899575,-0.00875,0.00105564844648871
0.133081355464568,-0.00875,0.0010520255710912
0.135263017029561,-0.00875,0.00104857129990052
0.137444678594553,-0.00875,0.00104527590153414
0.139626340159546,-0.00875,0.00104208619925063
0.141808001724539,-0.00875,0.00103894228506684
0.143989663289532,-0.00875,0.0010358776517703
0.146171324854525,-0.00875,0.00103304318375369
0.148352986419518,-0.00875,0.00103048012481439
0.150534647984511,-0.00875,0.00102822785366201
0.152716309549504,-0.00875,0.00102632709490284
0.154897971114497,-0.00875,0.00102457639468291
0.15707963267949,-0.00875,0.00102277686825794
0.159261294244483,-0.00875,0.00102095327256583
0.161442955809475,-0.00875,0.00101911626818145
0.163624617374468,-0.00875,0.00101724745933226
0.165806278939461,-0.00875,0.00101534553644343
0.167987940504454,-0.00875,0.00101343719800487
0.170169602069447,-0.00875,0.00101152931002756
0.17235126363444,-0.00875,0.00100961574484057
0.174532925199433,-0.00875,0.0010077086018663
0.176714586764426,-0.00875,0.00100583309303469
