amplitude_deg,method,velocity_relative_RMSE,acceleration_relative_RMSE,single_run_seconds
0.1,DIRECT,0,0,6.2276118
0.1,LUT,0.000149855600293071,0.000149575360716044,0.0614701
0.1,SCHEDULED_RHS,8.35833751660661e-05,0.000103315256234094,0.0770363
0.3,DIRECT,0,0,5.4225141
0.3,LUT,8.6864820277824e-05,9.4879122271309e-05,0.0730772
0.3,SCHEDULED_RHS,0.000103720907219195,0.000142303193024464,0.0537607
