time_s,value,read_lower,read_upper,pixel_x,pixel_y,ink_groups,selected_stroke_width_px
0.3211407400318578,0.0022277515363213762,0.0004326992091105966,0.008507016836305727,830.0,2283.0,2.0,2.0
0.41249974366160913,0.0019994394733782173,-1.9823502471096608e-05,0.008502915422001324,833.0,2283.5,2.0,3.0
0.5035511412185336,0.0010984954645192335,-0.0009207675113303024,0.008050392710419631,836.0,2285.5,2.0,3.0
0.5947050741330635,0.00042176210429900607,-0.0013732902229119956,0.008046291296115228,839.0,2287.0,2.0,2.0
0.6862691484780363,0.0006418713386331376,-0.08074796125530637,0.0026611343144826733,842.0,2286.5,2.0,3.0
0.7785509703262683,0.002431455113438119,-0.08075206266961077,0.004450718089287655,845.0,2282.5,2.0,3.0
0.8706277214592824,0.00377261759096581,0.001753354615116274,0.005791880566815346,848.0,2279.5,1.0,3.0
0.9623968665194731,0.004441148122577454,0.0026460957953666746,0.00847830693617513,851.0,2278.0,2.0,2.0
1.0535507994340065,0.0037644147623570046,-0.08076436691252376,0.008025784224593437,854.0,2279.5,3.0,3.0
1.144499661633322,0.0026392601048594866,-0.08076846832682816,0.008021682810289034,857.0,2282.0,3.0,4.0
1.2373966956272113,0.005774107771496562,0.0003916850660667917,0.007569160098707341,860.0,2275.0,2.0,2.0
1.3290633053297896,0.0062184276544694495,0.0021812688408717733,0.010255586468066904,863.0,2274.0,1.0,12.0
1.4226780868269415,0.010922749861577152,0.007558222993895745,0.014287276729258782,866.0,2263.5,1.0,9.0
1.5150624440327825,0.01293654428502089,0.010693070660532598,0.01518001790950896,869.0,2259.0,1.0,4.0
1.60580623551688,0.011362968330245637,0.005307913678900265,0.013382231306095395,872.0,2262.5,2.0,3.0
1.695934814855324,0.008444128483638735,0.005303812264595862,0.011584444702681608,875.0,2269.0,1.0,8.0
1.7861659295513768,0.0057494992856703675,-0.08034875692968146,0.009786658099267822,878.0,2275.0,2.0,12.0
1.8753716906713365,0.000812763601315103,-0.08080127964126316,0.009334135387686128,881.0,2286.0,3.0,10.0
1.965090128579341,-0.0030029188398468243,-0.005919024410250941,-8.681326944248529e-05,884.0,2294.5,1.0,7.0
2.0552187079177813,-0.005921758686453948,-0.008165232310942018,-0.0036782850619656565,887.0,2301.0,1.0,4.0
2.1462701054747058,-0.006822702695312932,-0.009066176319801002,0.010667095036605014,890.0,2303.0,2.0,4.0
2.2384493919653288,-0.005257329569146485,-0.008173435139550602,0.012456678811409995,893.0,2299.5,2.0,7.0
2.3310388198863947,-0.0027951138484254567,-0.005487008770191039,0.012452577397105593,896.0,2294.0,2.0,6.0
2.4233206417346267,-0.0010055300736204753,-0.0032490036981085452,0.012896897280078702,899.0,2290.0,2.0,4.0
2.515602463582862,0.0007840537011845061,-0.0019078412205810766,0.0034759486229500886,902.0,2286.0,1.0,6.0
2.608807103649575,0.004591533313737628,0.0003301638515014174,0.008852902775973838,905.0,2277.5,1.0,13.0
2.704267521583695,0.01333164719634139,0.006155539301802458,0.020507755090880323,908.0,2258.0,1.0,26.0
2.799420333444985,0.021399129133029327,0.015119863833044976,0.02767839443301368,911.0,2240.0,1.0,22.0
2.8951883574519286,0.030811874961549246,0.0236357670670102,0.037987982856088176,914.0,2219.0,1.0,26.0
2.9896234218099558,0.03730988235776633,0.025425350841815183,0.04022598792817045,917.0,2204.5,2.0,7.0
3.0805722840092713,0.03618472770026859,0.026766513319342874,0.03887662262203406,920.0,2207.0,2.0,6.0
3.1708033987053206,0.033490098502300225,0.03124662487781193,0.03573357212678829,923.0,2213.0,1.0,4.0
3.2614446548318092,0.03169231189888644,0.029448838274398256,0.03393578552337462,926.0,2217.0,1.0,4.0
3.3517783048854675,0.029221893349556605,0.025857366481875085,0.03258642021723812,929.0,2222.5,1.0,9.0
3.442214490296738,0.02697568544886564,0.0249564224730161,0.03258231880293383,932.0,2227.5,2.0,3.0
3.5339836353569254,0.02764421598047717,0.02540074235598899,0.03347505998318412,935.0,2226.0,2.0,4.0
3.625752780417116,0.028312746512088816,0.02629348353623939,0.03436780116343441,938.0,2224.5,2.0,3.0
3.7172143194044764,0.028308645097784524,0.025840960824657585,0.030776329370911352,941.0,2224.5,1.0,5.0
3.8112392423320642,0.03390980989944692,0.028078965896739968,0.039740653902153866,944.0,2212.0,1.0,20.0
3.9045464177563893,0.037941500160638575,0.034801183941595815,0.04108181637968156,947.0,2203.0,1.0,8.0
3.996623168889407,0.03928266263816638,0.0370391890136782,0.041526136262654445,950.0,2200.0,1.0,4.0
4.088699920022421,0.04062382511569396,0.03793193019392849,0.04331572003745954,953.0,2197.0,1.0,6.0
4.181904560089137,0.04443130472824708,0.04106677786056556,0.047795831595928595,956.0,2188.5,1.0,9.0
4.274699058725421,0.04734194174624551,0.04509846812175722,0.049585415370733577,959.0,2182.0,1.0,4.0
4.366673274500826,0.04845889357513444,0.04643963059928491,0.05047815655098398,962.0,2179.5,1.0,3.0
4.458442419561013,0.04912742410674609,0.037018681942156295,0.050922476433956865,965.0,2178.0,2.0,2.0
4.549493817117938,0.0482264800978871,0.037463001825129294,0.05091837501965257,968.0,2180.0,2.0,6.0
4.639930002529205,0.045980272197195915,0.03790732170810229,0.048223745821684094,971.0,2185.0,2.0,4.0
4.731186470801347,0.04552774948561422,0.03835164159107529,0.047322801812825,974.0,2186.0,2.0,2.0
4.822648009788708,0.04552364807130993,0.04372859574409904,0.04731870039852071,977.0,2186.0,1.0,2.0
4.913494336630418,0.044174282765173434,0.041930809140685255,0.04641775638966161,980.0,2189.0,1.0,4.0
5.004340663472124,0.04282491745903705,0.04102986513182627,0.04461996978624794,983.0,2192.0,1.0,2.0
5.0949819195986095,0.04102713085562337,0.039232078528412484,0.045064289669220825,986.0,2196.0,2.0,2.0
5.186751064658797,0.04169566138723502,0.03877955581683079,0.04461176695763913,989.0,2194.5,1.0,7.0
5.277187250070067,0.03944945348654383,0.03608492661886231,0.042813980354225456,992.0,2199.5,1.0,9.0
5.3677259708389435,0.03742745623449151,0.03563240390728062,0.04280987893992105,995.0,2204.0,2.0,2.0
5.459802721971961,0.03876861871201909,0.03652514508753091,0.041012092336507266,998.0,2201.0,1.0,4.0
5.5525972206082415,0.04167925573001752,0.038314728862336,0.045043782597699034,1001.0,2194.5,1.0,9.0
5.645699325317349,0.045262524693931994,0.04234641912352766,0.04817863026433611,1004.0,2186.5,1.0,7.0
5.738186217880802,0.047500529766014266,0.04054863252011398,0.0495197927418638,1007.0,2181.5,2.0,3.0
5.829955362940989,0.04816906029762591,0.04054453110580958,0.05041253392211409,1010.0,2180.0,2.0,4.0
5.922442255504439,0.05040706536970829,0.040540429691505175,0.053547381588751164,1013.0,2175.0,2.0,8.0
6.014929148067893,0.052645070441790676,0.040536328277200884,0.054888544066278744,1016.0,2170.0,2.0,4.0
6.105775474909599,0.05129570513565418,0.04860381021388871,0.05398760005741976,1019.0,2173.0,1.0,6.0
6.196314195678479,0.04927370788360186,0.047254444907752324,0.05129297085945128,1022.0,2177.5,1.0,3.0
