time_s,value,read_lower,read_upper,pixel_x,pixel_y,ink_groups,selected_stroke_width_px
0.3122702048459658,-0.6815296078923936,-0.833382813035242,-0.5296764027495523,830.0,1677.5,1.0,3.0
0.40373153074973445,-0.6820434355660154,-0.8338966407088638,-0.5301902304231741,833.0,1677.5,1.0,3.0
0.4951243462970183,-0.6994108109342605,-0.8344104683824786,-0.5644111534860424,836.0,1678.0,1.0,2.0
0.5865856722007834,-0.6999246386078752,-0.8349242960560933,-0.5649249811596572,839.0,1678.0,1.0,2.0
0.677909977391586,-0.7341455616707506,-0.8691452191189616,-0.5991459042225254,842.0,1679.0,1.0,2.0
0.7695083240083136,-0.7009522939551118,-0.8359519514033299,-0.5659526365068938,845.0,1678.0,1.0,2.0
0.8609696499120787,-0.7014661216287266,-0.8364657790769446,-0.5664664641805085,848.0,1678.0,1.0,2.0
0.9524994861723286,-0.685126401607711,-0.8369796067505594,-0.5332731964648697,851.0,1677.5,1.0,3.0
1.0440293224325785,-0.6687866815867096,-0.8037863390349206,-0.5337870241384916,854.0,1677.0,1.0,2.0
1.1354221379798588,-0.6861540569549476,-0.838007262097796,-0.5343008518121063,857.0,1677.5,1.0,3.0
1.2268149535271426,-0.7035214323231926,-0.8385210897714107,-0.5685217748749746,860.0,1678.0,1.0,2.0
1.3182762794309077,-0.7040352599968074,-0.8390349174450255,-0.5690356025485893,863.0,1678.0,1.0,2.0
1.409532074265229,-0.755109730754306,-0.9069629358971473,-0.6032565256114647,866.0,1679.5,1.0,3.0
1.5008563794560317,-0.7893306538171743,-0.9411838589600227,-0.637477448674333,869.0,1680.5,1.0,3.0
1.5921806846468307,-0.8235515768800425,-0.9754047820228909,-0.6716983717372013,872.0,1681.5,1.0,3.0
1.6835735001941146,-0.8409189522482947,-0.9759186096965057,-0.7059192948000695,875.0,1682.0,1.0,2.0
1.7750348260978797,-0.8414327799219095,-0.9764324373701204,-0.7064331224736843,878.0,1682.0,1.0,2.0
1.8664961520016483,-0.8419466075955242,-0.9769462650437423,-0.7069469501473061,881.0,1682.0,1.0,2.0
1.9576149261230036,-0.9267281737422692,-1.0785813788851177,-0.774874968599428,884.0,1684.5,1.0,3.0
2.048596679531393,-1.045216835278275,-1.2139235881157466,-0.8765100824408033,887.0,1688.0,1.0,4.0
2.1395099225833007,-1.1805590445089038,-1.3492657973463684,-1.011852291671432,890.0,1692.0,1.0,4.0
2.2306972070611337,-1.2484870629610256,-1.3834867204092438,-1.1134874055128074,893.0,1694.0,1.0,2.0
2.3219530018954586,-1.2995615337185171,-1.4514147388613656,-1.1477083285756757,896.0,1695.5,1.0,3.0
2.4130717760168103,-1.3843430998652693,-1.553049852702741,-1.2156363470277975,899.0,1698.0,1.0,4.0
2.5037109776427897,-1.5870994998744052,-1.823220443490384,-1.3509785562584264,902.0,1704.0,1.0,8.0
2.593802096416912,-1.9246842814405483,-2.2619265112242877,-1.587442051656816,905.0,1714.0,1.0,14.0
2.683619173765102,-2.3296832537851984,-2.6332183881796842,-2.0261481193907196,908.0,1726.0,1.0,12.0
