mode,inputChannel,amplitude_deg,output,nonlinearRMS,linearAbsoluteRMSerror,linearRelativeRMSerror,differenceStepAbsoluteChange,differenceStepRelativeChange,primaryChannel
dynamic,1,0.2,q,2.20020384183386e-06,1.75800308342528e-06,0.799018277306522,1.46741070383943e-09,0.000666943069518662,0
dynamic,1,0.2,theta,1.46870333277868e-06,1.01091193613628e-06,0.688302336880865,1.04430635720944e-09,0.000711039686438027,0
dynamic,1,0.2,wBody,0.213619928450266,0.00060964484209702,0.00285387625826752,2.10309348095405e-07,9.84502474189193e-07,0
dynamic,1,0.2,verticalVelocityUp,0.213619928527641,0.000609644759409172,0.00285387587015454,2.10309348095405e-07,9.84502473832599e-07,0
dynamic,1,0.2,inertialAccelerationDown,0.14221936015253,0.000471345210160915,0.0033142127039202,2.02933315632398e-07,1.42690359044474e-06,1
dynamic,1,0.2,specificForceBodyZ,0.142219360086838,0.000471345305461601,0.00331421337554746,2.02933396610171e-07,1.42690416049025e-06,0
dynamic,1,0.2,thrustLeft,447.399926390729,0.998907197079274,0.00223269414713067,0.000113076231774164,2.52740836786394e-07,0
dynamic,1,0.2,thrustRight,447.399926390728,0.998907199956033,0.00223269415356063,0.000113079130457691,2.52747315740359e-07,0
dynamic,1,0.2,viLeft,0.0652164994565238,0.000537733489321228,0.00824535959155097,1.26558184070386e-07,1.94058535991731e-06,0
dynamic,1,0.2,viRight,0.0652164994565257,0.000537733486146072,0.00824535954286435,1.26563529649311e-07,1.94066732658168e-06,0
dynamic,1,0.2,FxAeroProp,0.36000369794291,0.367842803765797,1.02177507027755,2.77430583712337e-07,7.70632594324995e-07,0
dynamic,1,0.2,FzAeroProp,853.31616052103,2.82807183202071,0.00331421337466983,0.00121759989367934,1.426903590969e-06,0
dynamic,1,0.2,My,0.0768089598186976,0.0699703830937582,0.910966419268254,4.44229967592006e-05,0.000578356963355031,0
dynamic,1,0.2,hUp,0.212465728936308,0.000560621267548125,0.00263864327839991,1.53696585533314e-07,7.23394715480863e-07,0
dynamic,1,0.1,q,6.63818172015493e-07,4.39934392819416e-07,0.662733277523394,7.33705351919714e-10,0.00110528060672402,0
dynamic,1,0.1,theta,4.83264690864791e-07,2.52857156519599e-07,0.523227045756472,5.22153178604718e-10,0.00108047036846482,0
dynamic,1,0.1,wBody,0.106962355413865,0.000151842697203283,0.0014195900662038,1.05154674047703e-07,9.83099835833195e-07,0
dynamic,1,0.1,verticalVelocityUp,0.106962355419152,0.000151842691552779,0.0014195900133066,1.05154674047703e-07,9.83099835784599e-07,0
dynamic,1,0.1,inertialAccelerationDown,0.07122264667244,0.000117665398594502,0.00165207843420445,1.01466657816199e-07,1.42464037152192e-06,1
dynamic,1,0.1,specificForceBodyZ,0.0712226466672987,0.000117665406067493,0.00165207853924808,1.01466698305086e-07,1.42464094010807e-06,0
dynamic,1,0.1,thrustLeft,223.949417586673,0.248887632716232,0.00111135646342955,5.65381158870819e-05,2.52459312001561e-07,0
dynamic,1,0.1,thrustRight,223.949417586673,0.248887634162502,0.00111135646988757,5.65395652288453e-05,2.52465783738703e-07,0
dynamic,1,0.1,viLeft,0.0327364098159643,0.000134705454322097,0.00411485117272716,6.32790920351928e-08,1.9329881435054e-06,0
dynamic,1,0.1,viRight,0.0327364098159656,0.000134705452735308,0.0041148511242553,6.32817648246557e-08,1.93306978927766e-06,0
dynamic,1,0.1,FxAeroProp,0.0883965254483227,0.092254635830461,1.04364549808458,1.38715291856168e-07,1.56923918844822e-06,0
dynamic,1,0.1,FzAeroProp,427.335880003792,0.70599243603085,0.00165207853837264,0.000608799946839669,1.42464037149014e-06,0
dynamic,1,0.1,My,0.0210658534768402,0.0175192401749941,0.831641603994578,2.22114983796003e-05,0.00105438397755969,0
dynamic,1,0.1,hUp,0.106373646946463,0.000139455059156161,0.00131099255463477,7.68482927666572e-08,7.22437323271751e-07,0
dynamic,2,0.2,q,0.00371126727749448,1.77528014209851e-06,0.000478348771284677,4.39190084977475e-09,1.18339653853758e-06,1
dynamic,2,0.2,theta,0.00350024265713061,8.14901914306758e-07,0.000232812977307919,2.6233856052367e-09,7.49486781978501e-07,0
dynamic,2,0.2,wBody,0.000273166354266693,0.000268897776387579,0.984373705573762,1.20510568798649e-08,4.41161830204734e-05,0
dynamic,2,0.2,verticalVelocityUp,1.70073284412235e-05,1.75361990256372e-05,1.03109662909383,1.20510568798659e-08,0.000708580240660005,0
dynamic,2,0.2,inertialAccelerationDown,6.68458253259742e-05,7.12962292641001e-05,1.06657714100205,1.56201825567753e-08,0.000233674765486151,0
dynamic,2,0.2,specificForceBodyZ,0.000105945516046958,0.000100291588652587,0.946633632027753,1.56198626387276e-08,0.000147432975188911,0
dynamic,2,0.2,thrustLeft,0.125328298249792,0.124557142942034,0.993846917906591,3.43148145198488e-06,2.73799413213573e-05,0
dynamic,2,0.2,thrustRight,0.125328298250509,0.124565506698936,0.993913652684825,1.66763386813448e-05,0.000133061239274245,0
dynamic,2,0.2,viLeft,0.000173504766736362,0.000171413118621187,0.987944722473513,3.47529128783346e-09,2.00299470337557e-05,0
dynamic,2,0.2,viRight,0.000173504766736264,0.00017137369310826,0.987717492331244,1.77091832308279e-08,0.000102067416152011,0
dynamic,2,0.2,FxAeroProp,101.879874440244,0.00438338561677009,4.30250394482092e-05,0.000283440919898293,2.78210904219892e-06,0
dynamic,2,0.2,FzAeroProp,0.635673096281154,0.601749532879044,0.946633633544394,9.37210953332937e-05,0.000147435994824361,0
dynamic,2,0.2,My,78.9715932344889,0.100409671303482,0.00127146569026837,0.00017788973002584,2.25257871520504e-06,0
dynamic,2,0.2,hUp,1.47427454756707e-05,1.24309286913637e-05,0.843189534261297,7.40638422927734e-09,0.000502374828453747,0
