inputChannel,amplitude_deg,output,dynamicRMS,quasisteadyRMS,differenceRMS,differencePeak
1,0.2,q,2.20020384183386e-06,2.19738962763792e-06,8.12362875739387e-09,1.3252654041444e-08
1,0.2,theta,1.46870333277868e-06,1.4619015955861e-06,7.15907677159777e-09,1.28871146245525e-08
1,0.2,wBody,0.213619928450266,0.213935336672947,0.00165957459119234,0.00306471544221187
1,0.2,verticalVelocityUp,0.213619928527641,0.213935336750243,0.00165957459108539,0.00306471544221302
1,0.2,inertialAccelerationDown,0.14221936015253,0.143248455680534,0.00475464956134752,0.0203859790682861
1,0.2,specificForceBodyZ,0.142219360086838,0.143248455613963,0.00475464956119057,0.0203859790682852
1,0.2,thrustLeft,447.399926390729,450.360313207616,13.3167288015008,57.1178355968041
1,0.2,thrustRight,447.399926390728,450.360313207618,13.3167288015021,57.1178355967786
1,0.2,viLeft,0.0652164994565238,0.0678100266372209,0.0102444707614053,0.0432006004417396
1,0.2,viRight,0.0652164994565257,0.0678100266372204,0.0102444707614042,0.0432006004417325
1,0.2,FxAeroProp,0.36000369794291,0.362912467814416,0.00362316976986174,0.00907235859470479
1,0.2,FzAeroProp,853.31616052103,859.49073368378,28.5278973671443,122.315874409716
1,0.2,My,0.0768089598186976,0.0772256798923348,0.00067649730317804,0.00159152637521373
1,0.2,hUp,0.212465728936308,0.211027904849733,0.00183275145529102,0.00240151710035405
1,0.1,q,6.63818172015493e-07,6.63107382098774e-07,1.8827317960856e-09,2.90716977093801e-09
1,0.1,theta,4.83264690864791e-07,4.82506725510024e-07,1.02044691844207e-09,1.74511707066202e-09
1,0.1,wBody,0.106962355413865,0.107118202566518,0.000833177568183407,0.0015403121520637
1,0.1,verticalVelocityUp,0.106962355419152,0.107118202571805,0.000833177568181209,0.00154031215206396
1,0.1,inertialAccelerationDown,0.07122264667244,0.0717380056564766,0.00238866577289486,0.0102336560151404
1,0.1,specificForceBodyZ,0.0712226466672987,0.071738005651246,0.00238866577287306,0.0102336560151386
1,0.1,thrustLeft,223.949417586673,225.432661544371,6.69331997297801,28.6813599541638
1,0.1,thrustRight,223.949417586673,225.43266154437,6.69331997297852,28.6813599541529
1,0.1,viLeft,0.0327364098159643,0.0340406164950259,0.00513126661759773,0.0216390148231689
1,0.1,viRight,0.0327364098159656,0.0340406164950257,0.00513126661759765,0.0216390148231689
1,0.1,FxAeroProp,0.0883965254483227,0.0891656120705456,0.000931822519398563,0.00231565487589847
1,0.1,FzAeroProp,427.335880003792,430.428033907476,14.3319946372406,61.4019360908424
