speed_kt,theta_rad,collective_rad,stick_in,flapL0,flapL1c,flapL1s,flapR0,flapR1c,flapR1s
40,0.017426209462257623,0.60695457634192362,5.6132503137076988,0.027271449481759368,-0.059283479345392971,-0.045315848899270796,0.027271449481759372,-0.059283479345392971,0.045315848899270823
60,-0.011393860056401486,0.59103840381702322,6.0749077513025114,0.025387610083054953,-0.087964090106874948,-0.02997153916479145,0.025387610083054946,-0.087964090106874962,0.02997153916479146
80,-0.047406929599356495,0.58950188990406183,6.3549025070805305,0.024106782429547276,-0.11172456683440522,-0.020345588660210585,0.024106782429547273,-0.11172456683440524,0.020345588660210578
100,-0.081974715102588913,0.60483897290957278,6.4278544549216194,0.024787243861595018,-0.13562835940462104,-0.014606981406622881,0.024787243861595018,-0.13562835940462104,0.014606981406622876
