figure,initial_collective_deg,method,points,RMSE_CT,MAE_CT,max_abs_CT,mean_digitization_scale_CT
8,2.0,CT_model_appendix,29,0.0035409177607898887,0.0034751612020699585,0.006027323068952777,5.076142131979697e-05
8,2.0,CT_model_quasisteady,29,0.003613132803153799,0.003537271275725589,0.006387294315387875,5.076142131979697e-05
9,4.0,CT_model_appendix,26,0.004572168211040876,0.004548801923488121,0.006695652758792714,5.0251256281407036e-05
9,4.0,CT_model_quasisteady,26,0.00461244930096887,0.004587644345646768,0.006695652758792714,5.0251256281407036e-05
