figure,initial_collective_deg,draws,prob_dynamic_lower_rmse,rmse_diff_median_dynamic_minus_qs,rmse_diff_p05,rmse_diff_p95
8,2.0,10000,1.0,-7.221434423622451e-05,-7.259061890284161e-05,-7.183346367836114e-05
9,4.0,10000,1.0,-4.027913349137881e-05,-4.049906156838941e-05,-4.0058737397943205e-05
