model,amplitude_deg,odeSeconds,rhsCalls,flapSolveCalls,diagnosticSeconds
pp_mean,0,2.625915,362,724,0.52747
pp_mean,0.2,3.859206,506,1012,0.4953
pp_mean,0.1,3.608791,494,988,0.515128
pp_mean,-0.2,3.762735,512,1024,0.461779
pp_mean,-0.1,3.657987,500,1000,0.455025
cf_mean,0,2.513104,362,724,0.456817
cf_mean,0.2,3.607475,500,1000,0.439769
cf_mean,0.1,3.489712,488,976,0.46278
cf_mean,-0.2,3.577125,500,1000,0.448679
cf_mean,-0.1,3.484199,488,976,0.464787
