figure,initial_collective_deg,method,points,RMSE_CT,MAE_CT,max_abs_CT,mean_digitization_scale_CT
8,2.0,CT_model_appendix,28,0.001551271728880537,0.0007733714298117322,0.00533899128620418,5.0761421319796966e-05
8,2.0,CT_model_quasisteady,28,0.003606719498428399,0.0035283059692166785,0.006387294315387875,5.0761421319796966e-05
9,4.0,CT_model_appendix,26,0.0015109878618927452,0.0011147640228009862,0.005590759677232368,5.0251256281407036e-05
9,4.0,CT_model_quasisteady,26,0.00461244930096887,0.004587644345646768,0.006695652758792714,5.0251256281407036e-05
