figure,initial_collective_deg,time_s,CT_digitized,pixel_x,pixel_y,pixel_uncertainty_CT,CT_model_appendix,CT_model_quasisteady
8,2.0,0.08844765342960288,0.006243654822335026,482.5,232.0,5.076142131979695e-05,0.001078812698139888,0.0006025630861873551
8,2.0,0.12093862815884476,0.007411167512690355,491.5,209.0,5.076142131979695e-05,0.002072176226486175,0.0010238731973024806
8,2.0,0.15703971119133575,0.006472081218274112,501.5,227.5,5.076142131979695e-05,0.0036967412790402648,0.001856962269535551
8,2.0,0.18772563176895307,0.006116751269035534,510.0,234.5,5.076142131979695e-05,0.0050635768859652866,0.0026368742664562273
8,2.0,0.22382671480144403,0.00616751269035533,520.0,233.5,5.076142131979695e-05,0.005648686454064369,0.0029625995195353056
8,2.0,0.2581227436823105,0.006421319796954315,529.5,228.5,5.076142131979695e-05,0.0057004796753653934,0.0029625995195353056
8,2.0,0.2870036101083033,0.006472081218274112,537.5,227.5,5.076142131979695e-05,0.0057382793983679495,0.0029625995195353056
8,2.0,0.3231046931407942,0.0065482233502538074,547.5,226.0,5.076142131979695e-05,0.005779475315668791,0.0029625995195353056
8,2.0,0.3592057761732852,0.0064467005076142125,557.5,228.0,5.076142131979695e-05,0.0058151645395506475,0.0029625995195353056
8,2.0,0.3935018050541516,0.006319796954314721,567.0,230.5,5.076142131979695e-05,0.005844886924976539,0.0029625995195353056
8,2.0,0.4259927797833935,0.006218274111675127,576.0,232.5,5.076142131979695e-05,0.005869905848707883,0.0029625995195353056
8,2.0,0.4602888086642599,0.00616751269035533,585.5,233.5,5.076142131979695e-05,0.005893510288159433,0.0029625995195353056
8,2.0,0.4927797833935018,0.006218274111675127,594.5,232.5,5.076142131979695e-05,0.005913597783298368,0.0029625995195353056
8,2.0,0.5252707581227437,0.006269035532994924,603.5,231.5,5.076142131979695e-05,0.005931776378048407,0.0029625995195353056
8,2.0,0.5595667870036101,0.0061928934010152285,613.0,233.0,5.076142131979695e-05,0.0059491659131043345,0.0029625995195353056
8,2.0,0.5902527075812274,0.00616751269035533,621.5,233.5,5.076142131979695e-05,0.005963353026996645,0.0029625995195353056
8,2.0,0.6299638989169675,0.006294416243654823,632.5,231.0,5.076142131979695e-05,0.005980033421287176,0.0029625995195353056
8,2.0,0.6552346570397112,0.006269035532994924,639.5,231.5,5.076142131979695e-05,0.005989772777753526,0.0029625995195353056
8,2.0,0.6913357400722022,0.00616751269035533,649.5,233.5,5.076142131979695e-05,0.00600263990283098,0.0029625995195353056
8,2.0,0.7274368231046932,0.00616751269035533,659.5,233.5,5.076142131979695e-05,0.006014406556457684,0.0029625995195353056
8,2.0,0.759927797833935,0.006116751269035534,668.5,234.5,5.076142131979695e-05,0.006024159177401346,0.0029625995195353056
8,2.0,0.7924187725631769,0.006116751269035534,677.5,234.5,5.076142131979695e-05,0.006033200116415164,0.0029625995195353056
8,2.0,0.8249097472924187,0.006218274111675127,686.5,232.5,5.076142131979695e-05,0.006041597817799883,0.0029625995195353056
8,2.0,0.8537906137184116,0.006218274111675127,694.5,232.5,5.076142131979695e-05,0.006048571138808454,0.0029625995195353056
8,2.0,0.8898916967509025,0.00616751269035533,704.5,233.5,5.076142131979695e-05,0.006056696494206219,0.0029625995195353056
8,2.0,0.9223826714801444,0.006218274111675127,713.5,232.5,5.076142131979695e-05,0.006063497111922714,0.0029625995195353056
8,2.0,0.9584837545126353,0.006116751269035534,723.5,234.5,5.076142131979695e-05,0.006070536540026749,0.0029625995195353056
8,2.0,0.9891696750902527,0.006091370558375634,732.0,235.0,5.076142131979695e-05,0.0060761287008171665,0.0029625995195353056
9,4.0,0.08844765342960288,0.008381909547738695,482.5,666.0,5.0251256281407036e-05,0.0027911498705063265,0.00168625678894598
9,4.0,0.15703971119133575,0.008758793969849247,501.5,658.5,5.0251256281407036e-05,0.005569609750442828,0.0031524410305958438
9,4.0,0.19133574007220217,0.008658291457286433,511.0,660.5,5.0251256281407036e-05,0.007142549654077705,0.004104625171144233
9,4.0,0.22202166064981949,0.008658291457286433,519.5,660.5,5.0251256281407036e-05,0.007595285641754205,0.004351498116774547
9,4.0,0.2563176895306859,0.00878391959798995,529.0,658.0,5.0251256281407036e-05,0.007673839633211986,0.004351498116774547
9,4.0,0.29061371841155237,0.008809045226130654,538.5,657.5,5.0251256281407036e-05,0.0077389061868970346,0.004351498116774547
9,4.0,0.3212996389891697,0.00878391959798995,547.0,658.0,5.0251256281407036e-05,0.007788272663782794,0.004351498116774547
9,4.0,0.3555956678700361,0.008733668341708543,556.5,659.0,5.0251256281407036e-05,0.007835627399807813,0.004351498116774547
9,4.0,0.3935018050541516,0.008809045226130654,567.0,657.5,5.0251256281407036e-05,0.007880295325628617,0.004351498116774547
