method,median,min,max
DIRECT,3.4105354,3.0109209,3.6766096
LTI_EXACT,0.0002919,0.0002592,0.0004419
LUT,0.011229,0.0095461,0.0152881
QS,0.0002486,0.0002254,0.0003188
SCHEDULED_EXACT,0.0051956,0.0047131,0.0086211
