speed_kts,speed_mps,solveReturned,solverConverged,physicalConverged,physicalBranchSupported,credible,residualNorm,status,exitflag,invalidEvaluationCount,theta_deg,collectiveControl_deg,theta75_deg,stick_in,cyclicLong_deg,theta1sRight_deg,elevator_deg,leftThrust_N,rightThrust_N,meanThrustPerRotor_lb,theta_error_vs_GTRS_deg,stick_error_vs_GTRS_in,theta1s_error_vs_GTRS_deg,elevator_error_vs_GTRS_deg,thrust_error_vs_GTRS_pct
0.01,0.00514444,1,1,1,1,1,2.93995340216879e-10,CREDIBLE_SOURCE_MAPPED_TRIM,1,0,0.767133120696642,36.3525612556505,9.96298060350068,5.50962047314994,1.52061885546705,-1.52061885546705,2.95911737303525,29733.1776704018,29733.1776704018,6684.28424707895,-0.342866879303358,0.239620473149941,-0.530618855467049,0.729117373035252,-8.85796072115663
20,10.28888,1,1,1,1,0,0.066179842609084,RESIDUAL_FAILED,1,206,0.938013867545309,36.3554264455353,9.96584579338541,5.40289014188294,1.2919104679336,-1.2919104679336,2.51405189165185,31430.0091289469,31430.0091289469,7065.7471338928,0.528013867545309,0.0228901418829377,-0.061910467933596,-0.25594810834815,-0.650908404722198
40,20.57776,1,1,1,1,1,2.60247135219537e-10,CREDIBLE_SOURCE_MAPPED_TRIM,1,3,0.998448255098302,34.7759355805431,8.38635492839327,5.6132503137077,1.74268331880149,-1.74268331880149,3.3912538081611,29440.3693367099,29440.3693367099,6618.45831505088,3.5184482550983,0.543250313707698,-1.17268331880149,2.1212538081611,8.54932050749404
60,30.86664,1,1,1,1,1,3.30822902673462e-10,CREDIBLE_SOURCE_MAPPED_TRIM,1,95,-0.652820093594495,33.8640060688643,7.4744254167144,6.07490775130251,2.73195156983875,-2.73195156983875,5.31636532293147,28376.3998081382,28376.3998081382,6379.26844984238,5.03717990640551,0.784907751302511,-1.69195156983875,2.97636532293147,7.46945192451981
80,41.15552,1,1,1,1,1,2.68913566593989e-10,CREDIBLE_SOURCE_MAPPED_TRIM,1,32,-2.71621698571695,33.7759703064885,7.38638965433858,6.35490250708053,3.33194173525494,-3.33194173525494,6.48394345452581,27724.6372511645,27724.6372511645,6232.74639825715,6.63378301428305,0.554902507080531,-1.24194173525494,1.77394345452581,0.840284659407915
100,51.4444,1,1,1,1,1,0.00191336052621557,CREDIBLE_SOURCE_MAPPED_TRIM,1,138,-4.69680520216567,34.6547204327461,8.26513978059618,6.42785445492162,3.48826770332881,-3.48826770332881,6.78815307702315,28553.2391945602,28553.2391945602,6419.0235254023,7.91319479783433,-0.512145545078381,1.00173229667119,-3.34184692297685,-6.97984074899432
