law,b_variant,method,base_grid_n,actual_grid_n,source_delay_included,frequency_lo,frequency_hi,anchor_rad_s,normalized_complex_max,normalized_complex_log_rms,normalized_gain_max_abs_db,normalized_phase_max_abs_deg,any_constant_gain_amplitude_lower_bound,magnitude_ratio_span
PP_mean,central,FULL_2,513,514,1,0.1,3,1,0.402574877264074,0.188424202117599,4.02048668666327,12.8089470072063,0.235409654015518,1.61577982314806
PP_mean,central,FULL_2,513,514,0,0.1,3,1,0.404659222117864,0.190901886298651,4.02048668666327,13.1693529971871,0.235409654015518,1.61577982314806
PP_mean,central,PHYSICAL_QS_1,513,514,1,0.1,3,1,0.410057291909235,0.19470473227612,4.08001189761248,13.5079856892483,0.237686945075693,1.62359405637962
PP_mean,central,PHYSICAL_QS_1,513,514,0,0.1,3,1,0.412208281005976,0.197367760659397,4.08001189761248,13.8683916792291,0.237686945075693,1.62359405637962
PP_mean,central,BT_V_KINEMATIC_1,513,514,1,0.1,3,1,0.410259261751433,0.194820484431061,4.08288130077033,13.514465327303,0.237850531243971,1.6241571791218
PP_mean,central,BT_V_KINEMATIC_1,513,514,0,0.1,3,1,0.412409242474962,0.197483164882416,4.08288130077033,13.8748713172838,0.237850531243971,1.6241571791218
PP_mean,left_secant,FULL_2,513,514,1,0.1,3,1,0.391171027621592,0.182029321623643,3.86205819134645,12.4531097747259,0.226340478506085,1.58511650724346
PP_mean,left_secant,FULL_2,513,514,0,0.1,3,1,0.393310343105277,0.184523902078306,3.86205819134645,12.8142143145416,0.226340478506085,1.58511650724346
PP_mean,left_secant,PHYSICAL_QS_1,513,514,1,0.1,3,1,0.398607494353317,0.188184089309643,3.91939023374384,13.139103949133,0.228517049405872,1.5924098497054
PP_mean,left_secant,PHYSICAL_QS_1,513,514,0,0.1,3,1,0.400815435765685,0.190866600413748,3.91939023374384,13.5003199781519,0.228517049405872,1.5924098497054
PP_mean,left_secant,BT_V_KINEMATIC_1,513,514,1,0.1,3,1,0.398728912234095,0.188252813899451,3.92107271472481,13.1430318445344,0.228613230611301,1.59273308717097
