figure,initial_collective_deg,method,points,RMSE_CT,MAE_CT,max_abs_CT,mean_digitization_scale_CT
8,2.0,CT_model_appendix,28,0.003531762223318689,0.003463977678644776,0.006027323068952777,5.0761421319796966e-05
8,2.0,CT_model_quasisteady,28,0.003606719498428399,0.0035283059692166785,0.006387294315387875,5.0761421319796966e-05
9,4.0,CT_model_appendix,26,0.004572168211040876,0.004548801923488121,0.006695652758792714,5.0251256281407036e-05
9,4.0,CT_model_quasisteady,26,0.00461244930096887,0.004587644345646768,0.006695652758792714,5.0251256281407036e-05
