seedIndex,seedTheta_deg,seedCollective_deg,seedStick_in,credible,residualNorm,status,exitflag,invalidEvaluationCount,theta_deg,collectiveControl_deg,stick_in
1,-4.79843564199647,34.7301074350677,6.41665172563742,1,3.11243120361957e-09,CREDIBLE_SOURCE_MAPPED_TRIM,1,9,-4.75291044059077,34.705374160535,6.42031254271081
2,0,36.3895806521499,4.8,0,0.0243723130245851,SOLVER_NOT_CONVERGED,0,87,-5.44455861159539,35.3269403695537,6.31594499878831
3,-2.79843564199647,34.7301074350677,6.91665172563742,0,0.00200125357859506,SOLVER_NOT_CONVERGED,0,51,-4.70334038323034,34.655467979901,6.42898046281454
