speed_kts,speed_mps,solveReturned,solverConverged,physicalConverged,physicalBranchSupported,credible,residualNorm,status,exitflag,invalidEvaluationCount,theta_deg,collectiveControl_deg,stick_in,theta1sRight_deg,elevator_deg,meanThrustPerRotor_lb,theta_error_vs_GTRS_deg,stick_error_vs_GTRS_in,theta1s_error_vs_GTRS_deg,elevator_error_vs_GTRS_deg,thrust_error_vs_GTRS_pct
20,10.28888,1,1,1,1,1,3.70975828612834e-09,CREDIBLE_SOURCE_MAPPED_TRIM,1,11,1.97899454332179,35.8355427544519,5.24877805324996,-0.961669505760571,1.87140448205234,6661.54882237859,1.56899454332179,-0.131221946750039,0.268330494239429,-0.898595517947663,-6.3342047798017
40,20.57776,1,1,1,1,1,2.07363563704392e-09,CREDIBLE_SOURCE_MAPPED_TRIM,1,1,0.998448229417066,34.7759355963414,5.61325029975037,-1.74268328889286,3.39125374995906,6618.45832552785,3.51844822941707,0.543250299750373,-1.17268328889286,2.12125374995906,8.54932067932688
60,30.86664,1,1,1,1,1,3.31966157320732e-09,CREDIBLE_SOURCE_MAPPED_TRIM,1,10,-0.652820158058486,33.8640061154377,6.07490774754297,-2.73195156178256,5.31636530725417,6379.26847903672,5.03717984194151,0.784907747542966,-1.69195156178256,2.97636530725417,7.46945241634735
80,41.15552,1,0,1,1,0,0.0383663659235882,SOLVER_NOT_CONVERGED,0,124,-1.01912270537346,32.8933789040333,6.50973689308117,-3.66373048112091,7.12960284414848,5809.7824064674,8.33087729462654,0.709736893081169,-1.57373048112091,2.41960284414848,-6.00289595591187
100,51.4444,1,0,1,1,0,0.00121865581624638,SOLVER_NOT_CONVERGED,0,78,-4.79843564199647,34.7301074350677,6.41665172563742,-3.46426179872656,6.74143769590804,6458.38656936687,7.81156435800353,-0.52334827436258,1.02573820127344,-3.38856230409196,-6.40941806652573
