law,b_variant,method,source_delay_included,omega_rad_s,model_shape_re,model_shape_im,source_shape_re,source_shape_im,normalized_complex_error,required_map_shape_re,required_map_shape_im
PP_mean,central,FULL_2,True,0.1,0.26771579914359056,0.3447670647504123,0.5250567056909712,0.4529718204013055,0.40257487726407276,1.5573729843430066,-0.3136127654804223
PP_mean,central,FULL_2,True,0.10066650770580945,0.2700596341469013,0.345951079815212,0.5283906212593923,0.4527941271231421,0.40173940709153977,1.5540980531347774,-0.31418161683281837
PP_mean,central,FULL_2,True,0.10133745773683796,0.27241937615801,0.3471279522772046,0.5317242463499932,0.45259421988661985,0.4008978258875342,1.550818591274136,-0.3147289420634296
PP_mean,central,FULL_2,True,0.10201287970152538,0.274795016365727,0.3482974878908884,0.5350572863546357,0.45237209852302285,0.4000501146299202,1.5475348849723767,-0.3152546777670585
PP_mean,central,FULL_2,True,0.1026928034056542,0.2771865431526652,0.34945949121955333,0.5383894465849349,0.4521277677540163,0.3991962548373357,1.5442472215816616,-0.3157587652764033
PP_mean,central,FULL_2,True,0.10337725885366464,0.27959394205230004,0.3506137656745529,0.5417204323762148,0.4518612371942834,0.39833622858217643,1.54095588949461,-0.3162411506872442
PP_mean,central,FULL_2,True,0.10406627624997893,0.282017195706453,0.3517601135558537,0.5450499491915475,0.4515725213515302,0.39747001850361935,1.5376611780432474,-0.316701784881079
PP_mean,central,FULL_2,True,0.104759886000334,0.2844562838232305,0.3528983360938729,0.5483777027257966,0.4512616396238554,0.39659760782068276,1.5343633773973744,-0.3171406235452117
PP_mean,central,FULL_2,True,0.10545811871312344,0.2869111831354573,0.35402823349260376,0.5517033990095886,0.45092861629448455,0.3957189803453188,1.53106277846243,-0.31755762719026476
PP_mean,central,FULL_2,True,0.10616100520074809,0.2893818673596453,0.3551496049740289,0.5550267445131323,0.45057348052387436,0.394834120495522,1.5277596727769387,-0.31795276116508336
PP_mean,central,FULL_2,True,0.10686857648097588,0.2918683071555263,0.35626224882382623,0.5583474462498086,0.4501962663391859,0.3939430133084625,1.524454352409599,-0.3183259956690654
PP_mean,central,FULL_2,True,0.10758086377831044,0.29437047008619344,0.3573659624383655,0.5616652118794541,0.4497970126211432,0.3930456444536276,1.52114710985611,-0.31867730576187137
PP_mean,central,FULL_2,True,0.10829789852536928,0.29688832057889375,0.35846054237299124,0.5649797498112612,0.44937576308828114,0.3921420002459632,1.5178382379358024,-0.31900667137050387
PP_mean,central,FULL_2,True,0.10901971236427056,0.2994218198865021,0.3595457843915957,0.5682907693062149,0.4489325662785989,0.3912320676590107,1.5145280296881463,-0.3193140772937828
PP_mean,central,FULL_2,True,0.10974633714802975,0.30197092604972037,0.3606214835174719,0.5715979805789946,0.44846747552863364,0.3903158343380413,1.5112167782692325,-0.3195995132041976
PP_mean,central,FULL_2,True,0.110477804941965,0.30453559386004625,0.3616874340854467,0.5749010948992601,0.44798054894997424,0.3893932886131583,1.5079047768482776,-0.31986297364712457
PP_mean,central,FULL_2,True,0.11121414802511236,0.30711577482354013,0.3627434297952822,0.578199824692252,0.4474718494032345,0.38846441951238975,1.5045923185042736,-0.32010445803745163
PP_mean,central,FULL_2,True,0.11195539889165007,0.3097114171254476,0.3637892637663455,0.5814938836386258,0.4469414444695093,0.3875292167747313,1.501279696122797,-0.32032397065356527
PP_mean,central,FULL_2,True,0.11270159025233265,0.3123224655957005,0.3648247285935345,0.5847829867734535,0.4463894064193407,0.38658767086315765,1.4979672022931096,-0.3205215206287651
PP_mean,central,FULL_2,True,0.11345275503593424,0.3149488616753544,0.365849616404443,0.5880668505843141,0.4458158121792217,0.3856397729775796,1.494655129205607,-0.3206971219400558
PP_mean,central,FULL_2,True,0.11420892639070189,0.3175905433839857,0.3668637189177703,0.5913451931084054,0.44522074329566785,0.38468551506774934,1.4913437685496866,-0.3208507933944072
PP_mean,central,FULL_2,True,0.11497013768581817,0.32024744528811006,0.3678668275029455,0.5946177340286055,0.44460428589689094,0.38372488984608893,1.4880334114121077,-0.3209825586124135
PP_mean,central,FULL_2,True,0.11573642251287392,0.32291949847064444,0.36885873324096335,0.5978841947684166,0.4439665306521081,0.38275789080045886,1.4847243481759391,-0.3210924460094492
PP_mean,central,FULL_2,True,0.1165078146873504,0.3256066305014701,0.3698392269864127,0.6011442985857203,0.443307572728527,0.38178451220682774,1.4814168684201394,-0.321180488774283
PP_mean,central,FULL_2,True,0.11728434825011182,0.32830876540912785,0.37080809943067977,0.6043977706652831,0.44262751174604376,0.38080474914186085,1.478111260819867,-0.32124672484521083
PP_mean,central,FULL_2,True,0.1180660574689072,0.331025823653688,0.3717651411663113,0.6076443382099428,0.4419264517296974,0.3798185974954081,1.4748078130475817,-0.3212911968837292
PP_mean,central,FULL_2,True,0.11885297683988293,0.33375772210084664,0.37271014275251535,0.6108837305304167,0.44120450105992415,0.3788260539828728,1.471506811674998,-0.32131395224575393
PP_mean,central,FULL_2,True,0.11964514108910466,0.336504373997271,0.37364289478178114,0.614115679133666,0.44046177242065737,0.3778271161574755,1.468208542075981,-0.32131504295045976
PP_mean,central,FULL_2,True,0.12044258517409016,0.33926568894725684,0.37456318794758936,0.6173399178097632,0.43969838274532214,0.3768217824223784,1.4649132883304457,-0.32129452564671757
PP_mean,central,FULL_2,True,0.1212453442853516,0.34204157289072007,0.37547081311319913,0.6205561827171959,0.43891445316077193,0.375810052042678,1.4616213331293098,-0.32125246157722037
PP_mean,central,FULL_2,True,0.12205345384794869,0.344831928082574,0.3763655613814782,0.6237642124665601,0.4381101089292215,0.37479192515725235,1.4583329576805897,-0.3211889165403019
PP_mean,central,FULL_2,True,0.12286694952305185,0.34763665307352976,0.37724722416575024,0.6269637482025813,0.4372854793882268,0.3737674027904481,1.4550484416166931,-0.32110396084949255
PP_mean,central,FULL_2,True,0.12368586720951603,0.35045564269235746,0.3781155932616349,0.6301545336844167,0.4364406978887693,0.37273648686360733,1.4517680629029661,-0.3209976692908686
PP_mean,central,FULL_2,True,0.12451024304546471,0.3532887880296531,0.37897046091984654,0.633336315364186,0.4355759017314985,0.3716991802064143,1.4484920977475646,-0.32087012107821755
PP_mean,central,FULL_2,True,0.12534011340988485,0.35613597642313966,0.3798116199199232,0.6365088424636823,0.4346912321011921,0.3706554865680644,1.445220820512707,-0.32072139980609504
PP_mean,central,FULL_2,True,0.12617551492423204,0.3589970914445564,0.38063886364484895,0.639671867049219,0.43378683399949325,0.3696054106282305,1.44195450362736,-0.32055159340077777
PP_mean,central,FULL_2,True,0.1270164844540468,0.36187201288815796,0.3814519861565413,0.6428251441045665,0.43286285617598275,0.3685489580078321,1.4386934175014139,-0.32036079406920986
PP_mean,central,FULL_2,True,0.12786305911058132,0.36476061676087185,0.3822507822721606,0.6459684316019416,0.43191945105765284,0.3674861352795872,1.435437830441416,-0.32014909824595467
PP_mean,central,FULL_2,True,0.12871527625243706,0.36766277527414226,0.383035047641209,0.6491014905710032,0.4309567746768393,0.3664169499783429,1.4321880085678924,-0.3199166065382302
PP_mean,central,FULL_2,True,0.12957317348721348,0.37057835683750523,0.3838045788233792,0.6522240851658253,0.4299749865976816,0.36534141061117,1.4289442157343186,-0.3196634236690626
PP_mean,central,FULL_2,True,0.13043678867316763,0.3735072260539176,0.38455917336711143,0.6553359827298064,0.4289742498411711,0.36425952666721734,1.4257067134477912,-0.319389658418635
