variant,b,a_span1_per_rad,a_span2_per_rad,a_span3_per_rad,a_span4_per_rad,root_start_R,role
central,0.15160528305026616,6.359155536021498,6.406889265863476,7.315254878362333,8.360224572714264,0.0875,REFERENCE_DERIVED_CONDITIONAL_NOT_CONFIDENCE_BOUND
left_secant,0.1461399747099108,6.3225356690669,6.161339264618557,6.885319767756371,7.964598074613123,0.0875,REFERENCE_DERIVED_CONDITIONAL_NOT_CONFIDENCE_BOUND
right_secant,0.1570705913906215,6.395775402976095,6.652439267108395,7.745189988968293,8.755851070815405,0.0875,REFERENCE_DERIVED_CONDITIONAL_NOT_CONFIDENCE_BOUND
central_no_unknown_root,0.14642463511397066,6.359155536021498,6.406889265863476,7.315254878362333,8.360224572714264,0.2,REFERENCE_DERIVED_CONDITIONAL_NOT_CONFIDENCE_BOUND
