law,b_variant,method,base_grid_n,actual_grid_n,source_delay_included,frequency_lo,frequency_hi,anchor_rad_s,normalized_complex_max,normalized_complex_log_rms,normalized_gain_max_abs_db,normalized_phase_max_abs_deg,any_constant_gain_amplitude_lower_bound,magnitude_ratio_span
PP_mean,central,FULL_2,513,514,True,0.1,3.0,1.0,0.40257487726407276,0.18842420211759875,4.020486686663267,12.808947007206333,0.23540965401551803,1.6157798231480571
PP_mean,central,FULL_2,513,514,False,0.1,3.0,1.0,0.404659222117863,0.19090188629865143,4.020486686663267,13.169352997187113,0.23540965401551822,1.6157798231480578
PP_mean,central,PHYSICAL_QS_1,513,514,True,0.1,3.0,1.0,0.4100572919092346,0.19470473227612017,4.08001189761248,13.50798568924832,0.23768694507569335,1.6235940563796176
PP_mean,central,PHYSICAL_QS_1,513,514,False,0.1,3.0,1.0,0.4122082810059755,0.1973677606593971,4.08001189761248,13.868391679229104,0.2376869450756934,1.623594056379618
PP_mean,central,BT_V_KINEMATIC_1,513,514,True,0.1,3.0,1.0,0.4102592617514326,0.19482048443106054,4.082881300770319,13.514465327302952,0.2378505312439704,1.6241571791217986
PP_mean,central,BT_V_KINEMATIC_1,513,514,False,0.1,3.0,1.0,0.4124092424749611,0.19748316488241607,4.082881300770323,13.87487131728373,0.23785053124397054,1.624157179121799
PP_mean,left_secant,FULL_2,513,514,True,0.1,3.0,1.0,0.3911710276215921,0.18202932162364263,3.862058191346459,12.453109774725869,0.2263404785060846,1.5851165072434636
PP_mean,left_secant,FULL_2,513,514,False,0.1,3.0,1.0,0.39331034310527746,0.18452390207830585,3.862058191346459,12.814214314541625,0.2263404785060849,1.5851165072434645
PP_mean,left_secant,PHYSICAL_QS_1,513,514,True,0.1,3.0,1.0,0.398607494353317,0.18818408930964256,3.919390233743841,13.139103949133006,0.2285170494058717,1.5924098497053965
PP_mean,left_secant,PHYSICAL_QS_1,513,514,False,0.1,3.0,1.0,0.4008154357656843,0.19086660041374748,3.919390233743843,13.500319978151916,0.22851704940587172,1.5924098497053967
