check,passed,value
PP_mean/right_secant/257/map_identity_not_calibration,True,1.3183970797854547e-15
PP_mean/right_secant/257/FULL_2/kinematics,True,
PP_mean/right_secant/257/FULL_2/a_equals_sv,True,9.978311076879525e-16
PP_mean/right_secant/257/FULL_2/unit_gain_invariant,True,2.306595211858756e-16
PP_mean/right_secant/257/PHYSICAL_QS_1/kinematics,True,
PP_mean/right_secant/257/PHYSICAL_QS_1/a_equals_sv,True,5.883852704908821e-16
PP_mean/right_secant/257/PHYSICAL_QS_1/unit_gain_invariant,True,2.482534153247273e-16
PP_mean/right_secant/257/BT_V_KINEMATIC_1/kinematics,True,
PP_mean/right_secant/257/BT_V_KINEMATIC_1/a_equals_sv,True,5.886512551694745e-16
PP_mean/right_secant/257/BT_V_KINEMATIC_1/unit_gain_invariant,True,2.3714374201337736e-16
PP_mean/right_secant/513/analytic_ss,True,1.105840311309878e-15
PP_mean/right_secant/513/map_identity_not_calibration,True,1.3183970797854547e-15
PP_mean/right_secant/513/FULL_2/kinematics,True,
PP_mean/right_secant/513/FULL_2/a_equals_sv,True,9.978311076879525e-16
PP_mean/right_secant/513/FULL_2/unit_gain_invariant,True,2.306595211858756e-16
PP_mean/right_secant/513/PHYSICAL_QS_1/kinematics,True,
PP_mean/right_secant/513/PHYSICAL_QS_1/a_equals_sv,True,5.883852704908821e-16
PP_mean/right_secant/513/PHYSICAL_QS_1/unit_gain_invariant,True,4.447527879066319e-16
PP_mean/right_secant/513/BT_V_KINEMATIC_1/kinematics,True,
PP_mean/right_secant/513/BT_V_KINEMATIC_1/a_equals_sv,True,5.886512551694745e-16
PP_mean/right_secant/513/BT_V_KINEMATIC_1/unit_gain_invariant,True,4.47545209131181e-16
PP_mean/central_no_unknown_root/required_map_stable_proper,True,
PP_mean/central_no_unknown_root/129/analytic_ss,True,1.161644187614707e-15
PP_mean/central_no_unknown_root/129/map_identity_not_calibration,True,1.32862558813631e-15
PP_mean/central_no_unknown_root/129/FULL_2/kinematics,True,
PP_mean/central_no_unknown_root/129/FULL_2/a_equals_sv,True,1.129531824463075e-15
PP_mean/central_no_unknown_root/129/FULL_2/unit_gain_invariant,True,2.2591401799415137e-16
PP_mean/central_no_unknown_root/129/PHYSICAL_QS_1/kinematics,True,
