advance_ratio,target_CT,theta75_deg,cyclicLong_deg,CT_model,CQ_model,CQ_over_sigma_model,beta1c_deg,beta1s_deg,physicalConverged,solutionValid,objective,status
0.125,0.006675,1.84641307459242,-0.42422360001881,0.0028974258342599,0.000251184349683871,0.00282229606386372,-0.0442865124295539,0.658927068327316,1,1,0.516404827611405,PHYSICAL_CONVERGED
0.15,0.006675,3.69627003067021,-1.19024425797938,0.00517701448149975,0.000268702298614763,0.00301912695072767,-0.00763661374572459,0.893818849918134,1,1,0.0561949142463328,PHYSICAL_CONVERGED
0.17,0.006675,3.58111839967984,-1.34831221928249,0.00521821929912673,0.000273701672452876,0.00307529969048175,5.44062715662315e-05,0.776578608014173,1,1,0.0476308703803542,PHYSICAL_CONVERGED
0.2,0.006675,3.32442108877405,-1.5295510208701,0.00512615873850234,0.000286260887085117,0.00321641446163053,6.91276385976583e-06,0.625722546020992,1,1,0.0538407769217134,PHYSICAL_CONVERGED
