name,passed,value
D04 unchanged equations at equal slopes,1,0
D04 unchanged equations at equal slopes,1,0
D04 unchanged equations at equal slopes,1,0
D04 unchanged equations at equal slopes,1,0
D04 unchanged equations at equal slopes,1,0
D04 unchanged equations at equal slopes,1,0
full workpoint equilibrium,1,3.17120691610353e-14
same physical reduced workpoint,1,0
same workpoint output,1,3.94430452610506e-31
analytical full Jacobian,1,2.9019909325674e-11
nonlinear reduction Jacobian equals Schur complement,1,6.69429478015741e-12
full and reduced local stability,1,-0.193043624045798
algebraic differential residual at off-trim state,1,4.78236863851169e-14
direct four-state RHS equals lifted common RHS,1,1.87522551831482e-14
transmitted-force balance,1,7.27595761418343e-12
DC gain matching,1,6.50781439372163e-11
independent full FRF is inside interval enclosure,1,5.52860387275765e-16
qualified interval satisfies fixed gain budget,1,5.52860387275765e-16
independent full FRF is inside interval enclosure,1,1.33659587158544e-16
qualified interval satisfies fixed gain budget,1,1.58862325797951e-16
independent full FRF is inside interval enclosure,1,6.13648331896075e-16
qualified interval satisfies fixed gain budget,1,6.13648331896075e-16
independent full FRF is inside interval enclosure,1,1.42989381684563e-16
qualified interval satisfies fixed gain budget,1,1.56998735183554e-16
independent full FRF is inside interval enclosure,1,7.74791098663579e-16
qualified interval satisfies fixed gain budget,1,7.74791098663579e-16
independent full FRF is inside interval enclosure,1,4.94675163165492e-16
qualified interval satisfies fixed gain budget,1,5.25629457363015e-16
independent full FRF is inside interval enclosure,1,5.34347762052593e-16
qualified interval satisfies fixed gain budget,1,5.3771986592933e-16
independent full FRF is inside interval enclosure,1,0
qualified interval satisfies fixed gain budget,1,0.00157596199478202
independent full FRF is inside interval enclosure,1,6.10974385218158e-16
qualified interval satisfies fixed gain budget,1,6.13274497970489e-16
independent full FRF is inside interval enclosure,1,0
qualified interval satisfies fixed gain budget,1,0.00619125704882668
independent full FRF is inside interval enclosure,1,6.19394848592518e-16
qualified interval satisfies fixed gain budget,1,6.23657149755836e-16
independent full FRF is inside interval enclosure,1,0
qualified interval satisfies fixed gain budget,1,0.0405496913774224
independent full FRF is inside interval enclosure,1,1.31241219851443e-16
qualified interval satisfies fixed gain budget,1,1.63664467946302e-16
independent full FRF is inside interval enclosure,1,0
qualified interval satisfies fixed gain budget,1,0.0173355819426023
independent full FRF is inside interval enclosure,1,1.32182425996376e-16
qualified interval satisfies fixed gain budget,1,1.53915778162804e-16
independent full FRF is inside interval enclosure,1,0
independent full FRF is inside interval enclosure,1,3.19297812354716e-16
qualified interval satisfies fixed gain budget,1,3.86090983850626e-16
independent full FRF is inside interval enclosure,1,0
full workpoint equilibrium,1,6.34241383220705e-14
same physical reduced workpoint,1,0
same workpoint output,1,9.86076131526265e-32
analytical full Jacobian,1,1.74178300551827e-11
nonlinear reduction Jacobian equals Schur complement,1,9.30365913168093e-09
full and reduced local stability,1,-0.19302690499209
algebraic differential residual at off-trim state,1,4.82608725849941e-14
direct four-state RHS equals lifted common RHS,1,1.95149923891117e-14
transmitted-force balance,1,7.27595761418343e-12
DC gain matching,1,6.50781433553723e-11
independent full FRF is inside interval enclosure,1,0
qualified interval satisfies fixed gain budget,1,3.035061638176e-06
independent full FRF is inside interval enclosure,1,0
qualified interval satisfies fixed gain budget,1,0.000229667587624525
independent full FRF is inside interval enclosure,1,0
qualified interval satisfies fixed gain budget,1,1.08363864496708e-05
independent full FRF is inside interval enclosure,1,0
qualified interval satisfies fixed gain budget,1,0.000938549380476071
independent full FRF is inside interval enclosure,1,0
qualified interval satisfies fixed gain budget,1,5.30522873105709e-05
independent full FRF is inside interval enclosure,1,0
qualified interval satisfies fixed gain budget,1,0.00734385304707835
independent full FRF is inside interval enclosure,1,0
qualified interval satisfies fixed gain budget,1,2.35645933744201e-05
independent full FRF is inside interval enclosure,1,0
qualified interval satisfies fixed gain budget,1,0.00178383728662617
independent full FRF is inside interval enclosure,1,0
