time_s,accelerationUp,hubForceDifference,linearAccelerationDelta,linearForceDifferenceDelta
0,1.67301117947155e-15,0,0,0
0.005,1.67301117947155e-15,0,0,0
0.01,1.67301117947155e-15,0,0,0
0.015,1.67301117947155e-15,0,0,0
0.02,1.67301117947155e-15,0,0,0
0.025,1.67301117947155e-15,0,0,0
0.03,1.67301117947155e-15,0,0,0
0.035,1.67301117947155e-15,0,0,0
0.04,1.67301117947155e-15,0,0,0
0.045,1.67301117947155e-15,0,0,0
0.05,1.67301117947155e-15,0,0,0
0.055,1.67301117947155e-15,0,0,0
0.06,1.67301117947155e-15,0,0,0
0.065,1.67301117947155e-15,0,0,0
0.07,2.92802758554027e-15,-3.63797880709171e-12,0,0
0.075,-4.43796919909172e-17,-3.63797880709171e-12,0,0
0.08,-1.29939609805964e-15,0,0,0
0.085,-1.29939609805964e-15,0,0,0
0.09,-1.29939609805964e-15,0,0,0
0.095,-1.29939609805964e-15,0,0,0
0.1,-1.06820886536277e-15,3.63797880709171e-12,0,0
0.105,1.90419841216842e-15,3.63797880709171e-12,0,0
0.11,1.90419841216842e-15,3.63797880709171e-12,0,0
0.115,3.15921481823714e-15,0,0,0
0.12,3.15921481823714e-15,0,0,0
0.125,3.15921481823714e-15,0,0,0
0.13,3.15921481823714e-15,0,0,0
0.135,3.15921481823714e-15,0,0,0
0.14,3.15921481823714e-15,0,0,0
0.145,4.41423122430586e-15,-3.63797880709171e-12,0,0
0.15,4.41423122430586e-15,0,0,0
0.155,2.92802758554027e-15,0,0,0
0.16,2.92802758554027e-15,0,0,0
0.165,-4.43796919909172e-17,0,0,0
0.17,-1.29939609805964e-15,0,0,0
0.175,-1.29939609805964e-15,0,0,0
0.18,-1.29939609805964e-15,0,0,0
0.185,-1.29939609805964e-15,0,0,0
0.19,-1.29939609805964e-15,0,0,0
0.195,-1.06820886536277e-15,3.63797880709171e-12,0,0
0.2,-1.06820886536277e-15,3.63797880709171e-12,0,0
0.205,3.39040205093401e-15,0,0,0
0.21,1.90419841216842e-15,3.63797880709171e-12,0,0
0.215,3.15921481823714e-15,0,0,0
0.22,3.15921481823714e-15,0,0,0
0.225,3.15921481823714e-15,0,0,0
0.23,3.15921481823714e-15,0,0,0
0.235,3.15921481823714e-15,0,0,0
0.24,3.15921481823714e-15,0,0,0
0.245,4.41423122430586e-15,-3.63797880709171e-12,0,0
0.25,4.41423122430586e-15,0,0,0
0.255,2.92802758554027e-15,0,0,0
0.26,2.92802758554027e-15,0,0,0
0.265,-4.43796919909172e-17,-3.63797880709171e-12,0,0
0.27,-1.29939609805964e-15,0,0,0
0.275,-1.29939609805964e-15,0,0,0
0.28,-1.29939609805964e-15,0,0,0
0.285,-1.29939609805964e-15,0,0,0
0.29,-1.29939609805964e-15,0,0,0
0.295,-1.06820886536277e-15,3.63797880709171e-12,0,0
0.3,4.17994773402823e-16,0,0,0
0.305,1.67301117947155e-15,0,0,0
0.31,1.67301117947155e-15,0,0,0
0.315,1.67301117947155e-15,0,0,0
0.32,1.67301117947155e-15,0,0,0
0.325,1.67301117947155e-15,0,0,0
0.33,1.67301117947155e-15,0,0,0
0.335,1.67301117947155e-15,0,0,0
0.34,1.67301117947155e-15,0,0,0
0.345,1.67301117947155e-15,0,0,0
0.35,1.67301117947155e-15,0,0,0
0.355,1.67301117947155e-15,0,0,0
0.36,1.67301117947155e-15,0,0,0
0.365,1.67301117947155e-15,0,0,0
0.37,1.67301117947155e-15,0,0,0
0.375,1.67301117947155e-15,0,0,0
0.38,1.67301117947155e-15,0,0,0
0.385,1.67301117947155e-15,0,0,0
0.39,1.67301117947155e-15,0,0,0
0.395,1.67301117947155e-15,0,0,0
0.4,1.67301117947155e-15,0,0,0
0.405,1.67301117947155e-15,0,0,0
0.41,1.67301117947155e-15,0,0,0
0.415,1.67301117947155e-15,0,0,0
0.42,1.67301117947155e-15,0,0,0
0.425,1.67301117947155e-15,0,0,0
0.43,1.67301117947155e-15,0,0,0
0.435,2.92802758554027e-15,-3.63797880709171e-12,0,0
0.44,2.92802758554027e-15,-3.63797880709171e-12,0,0
0.445,-4.43796919909172e-17,-3.63797880709171e-12,0,0
0.45,-1.29939609805964e-15,0,0,0
0.455,-1.29939609805964e-15,0,0,0
0.46,-1.29939609805964e-15,0,0,0
0.465,-1.29939609805964e-15,0,0,0
0.47,-2.55441250412836e-15,3.63797880709171e-12,0,0
0.475,1.90419841216842e-15,3.63797880709171e-12,0,0
0.48,1.90419841216842e-15,3.63797880709171e-12,0,0
0.485,3.15921481823714e-15,0,0,0
0.49,3.15921481823714e-15,0,0,0
0.495,3.15921481823714e-15,0,0,0
0.5,-4.5656715563784e-11,-3.28538590110838e-07,7.21057087970269e-10,-1.93781583242422e-07
0.505,-8.57151906028974e-08,-0.0194460248458199,-8.61410208956132e-08,-0.0194463568688584
0.51,-6.06761134545286e-07,-0.155160393325787,-6.07251844649073e-07,-0.155160757912644
0.515,-1.65783328799718e-06,-0.52161773059197,-1.65851898561352e-06,-0.521617867687449
0.52,-2.75996777395666e-06,-1.22997898986432,-2.76214407559571e-06,-1.2299790353085
0.525,-2.72066982299337e-06,-2.38662330431907,-2.72166137526388e-06,-2.38662257980177
0.53,4.12583382290577e-07,-4.09171629472985,4.10449438862071e-07,-4.09171401377032
0.535,9.30672908323832e-06,-6.43782851425567,9.30600367208603e-06,-6.43782231046461
0.54,2.72144207230529e-05,-9.50861703221381,2.72143705719224e-05,-9.50860262728328
0.545,5.77812989540627e-05,-13.3775830692466,5.77808232561628e-05,-13.3775529567212
0.55,0.000104807781727061,-18.1069186053392,0.000104806172539362,-18.1068607034852
0.555,0.000171989006052981,-23.7464548976313,0.000171984651933143,-23.7463510592047
0.56,0.000262656250793916,-30.3327254757751,0.000262646143264611,-30.3325498143177
0.565,0.000379541309564723,-37.8881556303022,0.000379520492306345,-37.8878727836097
0.57,0.000524582497696883,-46.4203896081781,0.000524543196359695,-46.4199530019416
0.575,0.000698785712640841,-55.9217655549874,0.000698716157390995,-55.9211157356923
0.58,0.000902148391375211,-66.3689467646363,0.000902031650403704,-66.368009909816
0.585,0.00113364941412133,-77.7227161586452,0.00113346184668908,-77.7214028355161
0.59,0.00139130113741207,-89.9279389249168,0.00139101064293785,-89.9261431927113
0.595,0.00167225501839022,-102.91369611054,0.00167181963608564,-102.91129513837
0.6,0.00197294983009358,-116.593589971275,0.0019723162389244,-116.590444249904
0.605,0.00228928720341851,-130.86621955764,0.0022883893980418,-130.862173849328
0.61,0.00261681858057556,-145.615822932567,0.00261557676248351,-145.610708058424
0.615,0.00295092848670312,-160.713080501791,0.00294924859073447,-160.706716124925
0.62,0.0032870008440437,-176.016072202179,0.00328477411571737,-176.008270575829
0.625,0.00362055228525025,-191.371378807624,0.00361765927263513,-191.361950211733
0.63,0.00394734024265263,-206.615319526325,0.00394364811692469,-206.604077579385
0.635,0.00426341586282674,-221.575310285196,0.00425878406153756,-221.562079402925
0.64,0.00456514792135994,-236.071334479388,0.00455943093222324,-236.055957520735
0.645,0.00484920526857304,-249.917510480635,0.00484225787113561,-249.899857232248
0.65,0.00511251098993331,-262.923743313891,0.00510419397279973,-262.90371915121
0.655,0.00535217523585264,-274.897446049774,0.00534236138172755,-274.875000380439
0.66,0.00556541755947823,-285.645316582479,0.00555399855430688,-285.620450818941
0.665,0.00574948912469481,-294.975155081196,0.00573638264754091,-294.947929595653
0.67,0.0059016043896239,-302.697707116618,0.00588676121583571,-302.668246763612
0.675,0.00601889074452829,-308.628517353605,0.00600230151662126,-308.597015157321
0.68,0.00609836238416983,-312.589778566755,0.00608006356726588,-312.556497163659
0.685,0.00613692171398408,-314.412160487729,0.00611700057753423,-314.377431040879
0.69,0.00613138968906474,-313.936603006438,0.00610998766890403,-313.900821338752
0.695,0.00607856271814714,-311.016058110792,0.00605587718988848,-310.979677953759
0.7,0.00597529273809374,-305.517165155241,0.00595157660547299,-305.480688403475
0.705,0.00581858408282578,-297.321844010836,0.00579414310685454,-297.285808067454
0.71,0.00560570010228502,-286.328791116874,0.00558088786351194,-286.293753434499
0.715,0.00533427212316512,-272.454863812207,0.00530948228255544,-272.421383838813
0.72,0.00500240250542425,-255.636338922213,0.0049780587684397,-255.60495778284
0.725,0.00460875581545165,-235.830032494279,0.00458529922619731,-235.80125074193
0.73,0.00415263157103492,-213.014268387607,0.00413050581650405,-212.988522328976
0.735,0.00363401545711095,-187.189684770779,0.00361365012253991,-187.167321865867
0.74,0.00305360629181852,-158.379868776348,0.00303539884169087,-158.361122754299
0.745,0.00241281875710476,-126.631811097788,0.00239711550328851,-126.616777428177
0.75,0.00171376364641258,-92.0161739913165,0.00170083996034207,-92.0047863766705
0.755,0.000959208068213881,-54.6273676525379,0.000949248930678287,-54.6193764048603
0.76,0.000152520645686548,-14.5834320080103,0.000145601701824528,-14.5783850099992
0.765,-0.000702394143444471,27.9742775567101,-0.000706324080416381,27.9770504383656
0.77,-0.00160116734341016,72.8816000245788,-0.00160230142591301,72.8829982521815
0.775,-0.00253903627285171,119.952271639559,-0.00253772287320913,119.953430485604
0.78,-0.00351091394998724,168.978818516629,-0.00350766509989777,168.981109626463
0.785,-0.00451144838418774,219.733632323863,-0.00450694619380526,219.738658422861
0.79,-0.00553507499562802,271.970222870194,-0.00553017305140739,271.979805710261
0.795,-0.00657605834744179,325.424638394656,-0.00657177814126817,325.440799760064
0.8,-0.00762852299815486,379.817043424533,-0.00762604595298601,379.841979303569
0.805,-0.00868647583856894,434.853443123448,-0.00868713064881225,434.889491169753
0.81,-0.00974382251322071,490.227541799453,-0.00974906700981153,490.277142271702
0.815,-0.0107943789452064,545.622721753291,-0.0108057776843974,545.688372703005
0.82,-0.0118318837955829,600.714128490297,-0.01185107981526,600.798335706474
0.825,-0.0128500100675359,655.170846259589,-0.0128786941411582,655.276069431813
0.83,-0.0138423836123984,708.658148783525,-0.013882259306679,708.786744623424
0.835,-0.0148026076777388,760.839807944682,-0.014855353580769,760.99397171393
0.84,-0.0157242958539112,811.380443465554,-0.0157915260265234,811.562150322949
0.845,-0.016601112775942,859.947895640755,-0.0166843358262817,860.158843237501
0.85,-0.0174268235661033,906.215603434473,-0.0175274018128765,906.45715735617
0.855,-0.0181953503010355,949.864969721391,-0.0183144597238807,950.138113156899
0.86,-0.0189008332260524,990.587695173657,-0.0190394256358691,990.892984443882
0.865,-0.0195376950838481,1028.08806294814,-0.0196964632507623,1028.42559010967
0.87,-0.0201007055717197,1062.08515594064,-0.0202800523709641,1062.45451982704
0.875,-0.0205850431585079,1092.3149891819,-0.0207850560044465,1092.71527595223
0.88,-0.0209863521035922,1118.53254024481,-0.0212067833322629,1118.96231437674
0.885,-0.0213007922760568,1140.51366136289,-0.0215410460949189,1140.97096772325
0.89,-0.0215250797611384,1158.05685763497,-0.021784206710734,1158.53923514373
0.895,-0.0216565182890564,1170.9849170083,-0.0219332170192515,1171.48942395997
0.9,-0.0216930194979519,1179.14637840972,-0.0219856474166329,1179.66962953076
0.905,-0.0216331133055892,1182.41682605376,-0.0219397050671405,1182.95504071351
0.91,-0.0214759493931759,1180.69999925765,-0.021794242581532,1181.24906000851
0.915,-0.0212212895018469,1173.92870817147,-0.0215487584609646,1174.48422883581
0.92,-0.020869493675301,1162.06554793882,-0.021203391150845,1162.62294998268
0.925,-0.0204215019924475,1145.10340510678,-0.0207589060099822,1145.65800038299
0.93,-0.0198788119559023,1123.06575139939,-0.0202166782690922,1123.61282973532
0.935,-0.0192434552290786,1096.00672233964,-0.019578673904307,1096.54164194019
0.94,-0.0185179744165375,1064.0109793481,-0.0188474300533868,1064.52925803175
0.945,-0.0177053992990806,1027.1933553346,-0.0180260330070984,1027.69076035532
0.95,-0.016809226211356,985.69828640671,-0.0171180965686026,986.170920417811
0.955,-0.0158333982884788,939.699032792672,-0.0161277415185899,940.143414148974
0.96,-0.0147822865270621,889.396694111834,-0.0150595759550275,889.809829822692
0.965,-0.0136606741010203,835.019026308019,-0.0139186729801929,835.398474879805
0.97,-0.0124737376905868,776.819067203473,-0.0127105480576484,777.162990612154
0.975,-0.0112270316037952,715.073581633547,-0.0114411350891522,715.380784492882
0.98,-0.00992646676126974,650.081335589744,-0.0101167603714946,650.351291360064
0.985,-0.00857829038038532,582.161212963249,-0.00874411111611197,582.394075433555
0.99,-0.00718905838435513,511.650186745523,-0.00733020030890165,511.846787391906
0.995,-0.00576560807799442,438.901160902053,-0.00588232737872128,439.062991309794
1,-0.00431502174961108,364.280696504346,-0.00440803414728048,364.409877395161
1.005,-0.00284428354581216,288.238386954083,-0.00291475132550386,288.337636125328
1.01,-0.00136108901300239,211.156074681683,-0.00141059750582799,211.228634713636
1.015,0.000126160270922728,133.310461283763,9.56344193757182e-05,133.360012244131
1.02,0.00160925622216332,54.9813041387461,0.00159538980220366,55.0118948928621
1.025,0.0030805362114894,-23.5496693542445,0.00308070141017659,-23.5336881697523
1.03,0.00453312620333491,-101.999842965433,0.00454445102629164,-101.993890166935
1.035,0.00596110451763198,-180.086791917503,0.00598053176516075,-180.086127368794
1.04,0.00735955848272469,-257.529350907811,0.00738390777176039,-257.529148928132
1.045,0.00872454699497308,-334.048666486255,0.00875057742936316,-334.044090508192
1.05,0.0100529804724885,-409.369228878008,0.0100774515138247,-409.355506405343
1.055,0.0113424374915009,-483.219879652006,0.0113621663817644,-483.192376400179
1.06,0.0125909406077558,-555.334792428355,0.012602854852056,-555.289084193841
1.065,0.0137967152634433,-625.454424235064,0.0137978994543274,-625.386365228987
1.07,0.0149579562110249,-693.326436412219,0.0149456925057559,-693.232222549609
1.075,0.0160726226307246,-758.706584097043,0.0160444249817428,-758.582809966828
1.08,0.017138280083148,-821.359573794161,0.0170919219985689,-821.203282199772
1.085,0.0181520003330208,-881.05988852707,0.0180855373577512,-880.868611824096
1.09,0.0191103266923814,-937.592580188852,0.019022113550092,-937.364372797942
1.095,0.0200093035190117,-990.754028049956,0.0198980073228741,-990.487490024315
1.1,0.020844565602455,-1040.35266243867,0.0207091752708534,-1040.04695400932
1.105,0.0216114758797634,-1086.20965161037,0.0214513089402539,-1085.86449912625
1.11,0.022305298710745,-1128.15954983337,0.0221200052897338,-1127.77524342186
1.115,0.0229213911677924,-1166.05090367939,0.0227109561906193,-1165.62828735774
1.12,0.0234553974222039,-1199.74681373249,0.0232201402133697,-1199.28726846418
1.125,0.0239034283852516,-1229.12544801027,0.0236440006891649,-1228.63086849531
1.13,0.0242622147075097,-1254.080503871,0.0239795956270638,-1253.55326944764
1.135,0.0245292218100234,-1274.52161484641,0.0242247093817488,-1273.96455503861
1.14,0.0247027199293931,-1290.37469912212,0.0243779194588137,-1289.79105433301
1.145,0.0247818082808129,-1301.58224702192,0.0244386166008289,-1300.97562471415
1.15,0.0247663933927966,-1308.1035449518,0.0244069788189051,-1307.47787158451
1.155,0.0246571274592316,-1309.91483412098,0.024283904771541,-1309.27430309302
1.16,0.0244553161755028,-1307.009403115,0.0240709159337995,-1306.35841898475
1.165,0.0241628041446508,-1299.39761362907,0.0237700381854498,-1298.74073328453
1.17,0.0237818507196856,-1287.10685978966,0.0233836738878266,-1286.4487310453
1.175,0.0233150079715821,-1270.18146198767,0.0229144743960613,-1269.52675985734
1.18,0.0227650084046214,-1248.68249618803,0.0223652255863001,-1248.0358579874
1.185,0.0221346742339141,-1222.68756094751,0.0217387546934155,-1222.05352098932
1.19,0.0214268516659017,-1192.29048384754,0.0210378644772391,-1191.67340890566
1.195,0.020644373657913,-1157.60096955323,0.0202652958146261,-1157.0049959001
1.2,0.0197900538005909,-1118.74419221816,0.0194237214995545,-1118.17316515949
1.205,0.018866704512969,-1075.86033376446,0.0185157684899536,-1075.31775126666
1.21,0.0178771805610956,-1029.10407121596,0.017544064153299,-1028.59303226898
1.215,0.0168244356945542,-978.644014211492,0.0165112979937148,-978.167172996075
1.22,0.0157115903563819,-924.662095607571,0.0154202928368789,-924.221621870998
1.225,0.0145419981201839,-867.352916289783,0.0142740777810663,-866.950463005083
1.23,0.0133193074522813,-806.923046712367,0.0130759551822206,-806.559725229428
1.235,0.012047508675153,-743.590286353352,0.0118295550098064,-743.266649702748
1.24,0.010730965387725,-677.58288373203,0.0105388703901363,-677.298917614136
1.245,0.00937442199376925,-609.138718039823,0.00920827258823809,-608.893840215462
1.25,0.00798299296546695,-538.504445913306,0.00784250383940412,-538.297513204725
1.255,0.00656212711569129,-465.934614350073,0.00644664863656239,-465.763937821171
1.26,0.00511755538870487,-391.690743726216,0.00502608600467727,-391.554111356554
1.265,0.00365522445302629,-316.040383685871,0.0035864267020948,-315.935090094829
1.27,0.00218121852577967,-239.256144770789,0.00213343996932536,-239.179027958856
1.275,0.000701677995706148,-161.614710133454,0.000672975785307341,-161.562194618617
1.28,-0.000777281136489043,-83.3958309857408,-0.000789112074716185,-83.3639769108687
1.285,-0.0022496354009914,-4.88131160038029,-0.00224703706429555,-4.8658676901403
1.29,-0.00370953174978465,73.6460184107127,-0.00369514097413466,73.6495537070214
1.295,-0.00515132432793545,151.903328223088,-0.0051279420012755,151.899645078514
1.3,-0.00656961496139282,229.608813736664,-0.00654016809956466,229.602724790316
1.305,-0.007959273669698,306.482719045453,-0.00792677521978284,306.47909082058
1.31,-0.00931544404607753,382.248348382349,-0.00928295200225282,382.252031476808
1.315,-0.0106335360749588,456.633064662292,-0.0106041114119701,456.648823550008
1.32,-0.0119092102351017,529.369271172651,-0.0118858742392499,529.401714638331
1.325,-0.0131383554073683,600.195372701557,-0.0131240468882802,600.248885914164
1.33,-0.01431706391623,668.856712584718,-0.0143145972796387,668.935392091338
1.335,-0.0154416082261329,735.106483109259,-0.0154536324828898,735.214075520587
1.34,-0.0165084214605838,798.706605938645,-0.0165373811769147,798.846451496458
1.345,-0.0175140845931134,859.42858014987,-0.0175621833507554,859.603562002515
1.35,-0.018455321835552,917.054295191785,-0.0185244888079248,917.266795237451
1.355,-0.0193290046713819,971.376806321507,-0.0194208651057784,971.628668353342
1.36,-0.0201321647729745,1022.20107019752,-0.0202480146373708,1022.49357090608
1.365,-0.0208620139090235,1069.3446381846,-0.0210027998477327,1069.67846659554
1.37,-0.0215159704536261,1112.63830532237,-0.0216822746539031,1113.01355086654
1.375,-0.0220916883939157,1151.92671244016,-0.0222837195666855,1152.34286200155
1.38,-0.0225870887087579,1187.06889965861,-0.022804678176657,1187.5248434657
1.385,-0.0230003883305762,1217.93880884384,-0.0232429923646819,1218.43285530528
1.39,-0.0233301260885899,1244.42573332913,-0.0235968340308076,1244.95563257033
1.395,-0.0235751834002088,1266.43471309597,-0.0238647314437753,1266.99768883654
1.4,-0.0237347971190016,1283.88687350931,-0.0240455877553457,1284.47966290948
1.405,-0.0238085662490723,1296.71970670407,-0.0241386917669562,1297.33860736966
1.41,-0.0237964497581477,1304.88729392487,-0.0241437206685745,1305.52821764929
1.415,-0.0236987575320468,1308.36046818734,-0.0240607355999621,1309.01900071923
1.42,-0.0235161360037387,1307.12691677401,-0.0238901701565934,1307.79838245195
1.425,-0.0232495473823371,1301.19122265185,-0.0236328128333907,1301.87075318102
1.43,-0.0229002474858357,1290.57484545002,-0.0232897862937182,1291.25745153338
1.435,-0.0224697614697344,1275.31604168718,-0.0228625251925733,1275.99668667997
1.44,-0.0219598595047084,1255.46972473482,-0.0223527541642425,1256.14339937384
1.445,-0.0213725361716642,1231.10726575405,-0.0217624656458374,1231.76906209181
1.45,-0.0207099905940223,1202.31623556661,-0.0210939009388868,1202.96141963942
1.455,-0.0199746128123644,1169.20008962187,-0.0203495350940207,1169.82417130087
1.46,-0.0191689730772105,1131.87779653952,-0.0195320662257905,1132.4765958984
1.465,-0.0182958156423081,1090.48341199474,-0.0186444069059736,1091.05312077548
1.47,-0.0173580573886503,1045.1655997629,-0.0176896793289322,1045.70283683631
1.475,-0.0163587873648124,996.087100861852,-0.0166712133798493,996.588961416422
1.48,-0.0153012711926433,943.424153821117,-0.0155925468350791,943.888250995632
1.485,-0.0141889528396234,887.36586652798,-0.014457425019943,887.790365477925
1.49,-0.0130254597265198,828.11354341948,-0.0132697992936074,828.497186399428
1.495,-0.0118146025101049,765.879968445301,-0.0120338242593794,766.222091601273
1.5,-0.0105603759810549,700.888647884352,-0.0107538522568163,701.189188736731
1.505,-0.00926695396455434,633.373013974044,-0.00943442475523956,633.632510298071
1.51,-0.00793868199061417,563.575592990728,-0.00808025942335787,563.795172719105
1.515,-0.0065800669601347,491.747140361465,-0.00669623320673271,491.928502570817
1.52,-0.00519576087291973,418.145745056809,-0.00528736220154667,418.291133007652
1.525,-0.00379054374734519,343.035907404494,-0.00385877846846802,343.148073577433
1.53,-0.00236930363167901,266.687592900638,-0.00241570447816049,266.769756711541
1.535,-0.000937013661379771,189.375265197992,-0.000963426024971326,189.431064331512
1.54,0.000501290953806939,111.376902184616,0.000492735490221537,111.410338112341
1.545,0.00194053679656958,32.9729983541438,0.00194745054828123,32.9883770231319
1.55,0.00337562830578269,-45.5544411941773,0.00339540794131693,-45.5525741577613
1.555,0.00480148520189113,-123.922917913686,0.00483133949302818,-123.929841621026
1.56,0.00621304463545838,-201.850452058548,0.00625004262829073,-201.861340848986
1.565,0.00760528902755194,-279.056599900923,0.00764640052117391,-279.066592727391
1.57,0.00897326009746721,-355.263463286778,0.0090153996179427,-355.267733674873
1.575,0.0103120737798669,-430.196691152418,0.0103521453901312,-430.190516287903
1.58,0.0116169333027382,-503.58646866697,0.0116518755476154,-503.565296589349
1.585,0.012883141715131,-575.168490565768,0.012909971766712,-575.128004477601
1.59,0.0141061140175444,-644.68491511522,0.0141219704625324,-644.6210939047
1.595,0.0152813889869302,-711.885295134583,0.0152835729478051,-711.794469360108
1.6,0.0164046418011652,-776.527482873069,0.0163906554791502,-776.40638538075
1.605,0.0174716972966075,-838.378505382367,0.0174392795843012,-838.224315909578
1.61,0.0184785444845266,-897.215407254655,0.0184257030435431,-897.02579045063
1.615,0.0194213519857044,-952.826057662896,0.0193463915847059,-952.599194060519
1.62,0.0202964849077279,-1005.00991879815,0.0201980312913513,-1004.74452834845
1.625,0.0211005223783988,-1053.57877286819,0.020977541629035,-1053.27413079478
1.63,0.0218302758455217,-1098.35740500223,0.0216820888424047,-1098.01334982933
1.635,0.0224828078002186,-1139.18423958342,0.0223090993973551,-1138.80117325757
1.64,0.0230554496622716,-1175.91192750521,0.0228562733117025,-1175.49080782002
1.645,0.0235458199807161,-1208.40788238745,0.0233215966153357,-1207.95020770242
1.65,0.0239518401988155,-1236.55476341615,0.0237033523108976,-1236.06255004857
1.655,0.0242717498150259,-1260.25090326466,0.024000129928779,-1259.72665580259
1.66,0.0245041191337347,-1279.41067928,0.0242108332677529,-1278.85735430634
1.665,0.0246478592857229,-1293.96482647329,0.0243346865544249,-1293.38579038739
1.67,0.024702230925308,-1303.86069132857,0.0243712379882127,-1303.25967258461
1.675,0.0246668491592062,-1309.06242511273,0.0243203606785329,-1308.44346162105
1.68,0.0245416865597818,-1309.55111616243,0.0241822518365372,-1308.91849855441
1.685,0.0243270742722497,-1305.32486063084,0.0239574303187291,-1304.68307212449
1.69,0.0240236996158111,-1296.39877113951,0.0236467329614957,-1295.75242507298
1.695,0.0236326030275083,-1282.80492366025,0.0232513081003176,-1282.15869905179
1.7,0.0231551727341477,-1264.59224256889,0.0227726083897598,-1263.95081871558
1.705,0.0225931372598453,-1241.82632424848,0.0222123831074636,-1241.19431541291
1.71,0.0219485582959936,-1214.58920026521,0.0215726706037954,-1213.97109122589
1.715,0.0212238206161663,-1182.97904047428,0.020855788789048,-1182.37912374744
1.72,0.0204216221968412,-1147.10979760722,0.0200643254428257,-1146.53211306427
1.725,0.0195449635370821,-1107.11079453364,0.0192011287697352,-1106.55907229507
1.73,0.0185971346838376,-1063.12625544733,0.0182692984382444,-1062.60386324249
1.735,0.0175817038617965,-1015.31478338109,0.0172721752970802,-1014.82467844604
1.74,0.0165025020534019,-963.84878503429,0.0162133302483433,-963.39347166719
1.745,0.0153636098855851,-908.91384611895,0.0150965532495613,-908.495339065814
1.75,0.0141693400861027,-850.708058381068,0.0139258418761461,-850.327853209117
1.755,0.0129242221438685,-789.441301932038,0.0127053893621781,-789.100352295293
1.76,0.0116329821536638,-725.334484275587,0.0114395705390338,-725.033186818381
1.765,0.0103005254361161,-658.61874021696,0.0101329272826999,-658.356926741579
1.77,0.00893191375702973,-589.534594025044,0.00879015312216809,-589.311531933732
1.775,0.00753234506273821,-518.331088449526,0.00741607682133461,-518.145488796538
1.78,0.00610713048252159,-445.26488271467,0.00601564508414843,-445.11491619678
1.785,0.00466166989516329,-370.599323016999,0.00459390428015316,-370.482643851214
1.79,0.0032014285403285,-294.603489427183,0.00315598115515607,-294.517266444465
1.795,0.00173191287588878,-217.551222277783,0.00170706324219803,-217.492176999794
1.8,0.000258645416441077,-139.720131484773,0.000252378941666663,-139.68458293373
1.805,-0.00121285809621576,-61.3905931971494,-0.00120282261163565,-61.3745083259931
1.81,-0.00267711686046667,17.155264574787,-0.00265329166965943,17.1562139849912
1.815,-0.00412870288582023,95.6345795276611,-0.00409379776810593,95.6249568321338
1.82,-0.00556226668123798,173.764777054817,-0.00551914932844172,173.749316028759
1.825,-0.00697255759735685,251.264589330549,-0.00692421278968824,251.248126867496
1.83,-0.00835444444382584,327.855069348388,-0.00830393110364626,327.842476122944
1.835,-0.00970293472193759,403.260595805968,-0.00965334228606139,403.256706056134
1.84,-0.0110131921556677,477.209865095858,-0.0109675960552547,477.219406403067
1.845,-0.012280553267769,549.436866993106,-0.0122419708539912,549.464391252758
1.85,-0.0135005431102965,619.681840653244,-0.0134718900491381,619.731657033102
1.855,-0.014668889038788,687.692207026794,-0.0146529374883571,687.768318200216
1.86,-0.0157815339208432,753.223474881128,-0.0157808725079731,753.32951728322
1.865,-0.016834647920765,816.040116865635,-0.0168516444064912,816.179306015591
1.87,-0.0178246393398636,875.916412678122,-0.0178614063859919,876.091494390021
1.875,-0.0187481643849059,932.637256333768,-0.0188065289502255,932.85046458966
1.88,-0.0196021358968827,985.998924686108,-0.0196836127313086,986.251946875389
1.885,-0.0203837312615068,1035.8098045842,-0.0204895007514239,1036.10375465683
1.89,-0.0210903989082077,1081.89107602886,-0.0212212901644294,1082.22647611806
1.895,-0.0217198645717856,1124.07734916931,-0.0218763430299373,1124.45411985459
