time_s,accelerationUp,hubForceDifference,linearAccelerationDelta,linearForceDifferenceDelta
0,1.67301117947155e-15,0,0,0
0.005,1.67301117947155e-15,0,0,0
0.01,1.67301117947155e-15,0,0,0
0.015,1.67301117947155e-15,0,0,0
0.02,1.67301117947155e-15,0,0,0
0.025,1.67301117947155e-15,0,0,0
0.03,1.67301117947155e-15,0,0,0
0.035,1.67301117947155e-15,0,0,0
0.04,1.67301117947155e-15,0,0,0
0.045,1.67301117947155e-15,0,0,0
0.05,1.67301117947155e-15,0,0,0
0.055,1.67301117947155e-15,0,0,0
0.06,1.67301117947155e-15,0,0,0
0.065,1.67301117947155e-15,0,0,0
0.07,2.92802758554027e-15,-3.63797880709171e-12,0,0
0.075,-4.43796919909172e-17,-3.63797880709171e-12,0,0
0.08,-1.29939609805964e-15,0,0,0
0.085,-1.29939609805964e-15,0,0,0
0.09,-1.29939609805964e-15,0,0,0
0.095,-1.29939609805964e-15,0,0,0
0.1,-1.06820886536277e-15,3.63797880709171e-12,0,0
0.105,1.90419841216842e-15,3.63797880709171e-12,0,0
0.11,1.90419841216842e-15,3.63797880709171e-12,0,0
0.115,3.15921481823714e-15,0,0,0
0.12,3.15921481823714e-15,0,0,0
0.125,3.15921481823714e-15,0,0,0
0.13,3.15921481823714e-15,0,0,0
0.135,3.15921481823714e-15,0,0,0
0.14,3.15921481823714e-15,0,0,0
0.145,4.41423122430586e-15,-3.63797880709171e-12,0,0
0.15,4.41423122430586e-15,0,0,0
0.155,2.92802758554027e-15,0,0,0
0.16,2.92802758554027e-15,0,0,0
0.165,-4.43796919909172e-17,0,0,0
0.17,-1.29939609805964e-15,0,0,0
0.175,-1.29939609805964e-15,0,0,0
0.18,-1.29939609805964e-15,0,0,0
0.185,-1.29939609805964e-15,0,0,0
0.19,-1.29939609805964e-15,0,0,0
0.195,-1.06820886536277e-15,3.63797880709171e-12,0,0
0.2,-1.06820886536277e-15,3.63797880709171e-12,0,0
0.205,3.39040205093401e-15,0,0,0
0.21,1.90419841216842e-15,3.63797880709171e-12,0,0
0.215,3.15921481823714e-15,0,0,0
0.22,3.15921481823714e-15,0,0,0
0.225,3.15921481823714e-15,0,0,0
0.23,3.15921481823714e-15,0,0,0
0.235,3.15921481823714e-15,0,0,0
0.24,3.15921481823714e-15,0,0,0
0.245,4.41423122430586e-15,-3.63797880709171e-12,0,0
0.25,4.41423122430586e-15,0,0,0
0.255,2.92802758554027e-15,0,0,0
0.26,2.92802758554027e-15,0,0,0
0.265,-4.43796919909172e-17,-3.63797880709171e-12,0,0
0.27,-1.29939609805964e-15,0,0,0
0.275,-1.29939609805964e-15,0,0,0
0.28,-1.29939609805964e-15,0,0,0
0.285,-1.29939609805964e-15,0,0,0
0.29,-1.29939609805964e-15,0,0,0
0.295,-1.06820886536277e-15,3.63797880709171e-12,0,0
0.3,4.17994773402823e-16,0,0,0
0.305,1.67301117947155e-15,0,0,0
0.31,1.67301117947155e-15,0,0,0
0.315,1.67301117947155e-15,0,0,0
0.32,1.67301117947155e-15,0,0,0
0.325,1.67301117947155e-15,0,0,0
0.33,1.67301117947155e-15,0,0,0
0.335,1.67301117947155e-15,0,0,0
0.34,1.67301117947155e-15,0,0,0
0.345,1.67301117947155e-15,0,0,0
0.35,1.67301117947155e-15,0,0,0
0.355,1.67301117947155e-15,0,0,0
0.36,1.67301117947155e-15,0,0,0
0.365,1.67301117947155e-15,0,0,0
0.37,1.67301117947155e-15,0,0,0
0.375,1.67301117947155e-15,0,0,0
0.38,1.67301117947155e-15,0,0,0
0.385,1.67301117947155e-15,0,0,0
0.39,1.67301117947155e-15,0,0,0
0.395,1.67301117947155e-15,0,0,0
0.4,1.67301117947155e-15,0,0,0
0.405,1.67301117947155e-15,0,0,0
0.41,1.67301117947155e-15,0,0,0
0.415,1.67301117947155e-15,0,0,0
0.42,1.67301117947155e-15,0,0,0
0.425,1.67301117947155e-15,0,0,0
0.43,1.67301117947155e-15,0,0,0
0.435,2.92802758554027e-15,-3.63797880709171e-12,0,0
0.44,2.92802758554027e-15,-3.63797880709171e-12,0,0
0.445,-4.43796919909172e-17,-3.63797880709171e-12,0,0
0.45,-1.29939609805964e-15,0,0,0
0.455,-1.29939609805964e-15,0,0,0
0.46,-1.29939609805964e-15,0,0,0
0.465,-1.29939609805964e-15,0,0,0
0.47,-2.55441250412836e-15,3.63797880709171e-12,0,0
0.475,1.90419841216842e-15,3.63797880709171e-12,0,0
0.48,1.90419841216842e-15,3.63797880709171e-12,0,0
0.485,3.15921481823714e-15,0,0,0
0.49,3.15921481823714e-15,0,0,0
0.495,3.15921481823714e-15,0,0,0
0.5,-7.92907589254554e-11,-3.00831743516028e-07,1.02587539793783e-09,-2.82713886738335e-07
0.505,-9.16724830264701e-08,-0.00074450778629398,-9.2358026515306e-08,-0.000745128634423
0.51,-6.2317349765337e-07,-0.00582562947602128,-6.24303896162159e-07,-0.00582614348957635
0.515,-1.55855269218279e-06,-0.0192706438319874,-1.56006311080314e-06,-0.0192709825709422
0.52,-2.05782113571099e-06,-0.0448604398552561,-2.06042920899334e-06,-0.0448605867216016
0.525,-2.71998715457663e-07,-0.0862169456013362,-2.74146392786173e-07,-0.0862169159058882
0.53,6.7398337209186e-06,-0.146876367412915,6.73785660031167e-06,-0.146876110164699
0.535,2.29736667804121e-05,-0.230345483611018,2.29717523545894e-05,-0.230345027159072
0.54,5.33434511194501e-05,-0.340140585398331,5.33428299826906e-05,-0.340139720096242
0.545,0.000103458272347199,-0.479809360182117,0.000103458541985005,-0.479807800852249
0.55,0.000179344670840608,-0.652936000231421,0.000179345499819443,-0.652933196703281
0.555,0.000287141296206743,-0.863131450401852,0.000287142517345397,-0.863126520022736
0.56,0.000432795410883613,-1.11401131719322,0.000432796882398282,-1.11400293638704
0.565,0.00062178745707289,-1.40916457858111,0.000621788958752517,-1.40915084138441
0.57,0.00085890566772611,-1.75211661181675,0.000858906987861533,-1.75209486805719
0.575,0.00114808730409304,-2.14629018312189,0.00114808818358114,-2.14625683701405
0.58,0.00149233514243473,-2.59496779884284,0.00149233530348952,-2.59491808188817
0.585,0.00189371162927747,-3.101258458948,0.00189371063977427,-3.10118614561948
0.59,0.00235340507627985,-3.66807108233479,0.00235340247819822,-3.66796819781861
0.595,0.00287185806549301,-4.29809629904412,0.0028718531103791,-4.29795273768119
0.6,0.00344894097874,-4.99379712271548,0.00344893289919653,-4.99360029554265
0.605,0.00408415440697464,-5.75740866016349,0.00408414198014513,-5.75714300417813
0.61,0.0047768381226445,-6.59094557587377,0.00477682006192532,-6.59059214740816
0.615,0.00552637109885224,-7.49621629549438,0.00552634541263482,-7.49575216102352
0.62,0.00633234196273212,-8.47484134540355,0.00633230633466791,-8.47423911049461
0.625,0.00719468118168843,-9.52827437819724,0.007194632205578,-9.5275014807438
0.63,0.008113741504035,-10.6578227667887,0.00811367516939399,-10.6568409963781
0.635,0.00909032768672879,-11.8646666475834,0.00909023864368218,-11.8634313985878
0.64,0.0101256717286874,-13.1498736754074,0.0101255536899408,-13.148333443406
0.645,0.0112213636339408,-14.5144092196315,0.0112212087160352,-14.5125048485916
0.65,0.0123792425684616,-15.9591402924016,0.0123790416150294,-15.9568044528405
0.655,0.0136012641861531,-17.484834004139,0.0136010059347039,-17.4819903884106
0.66,0.0148893534304833,-19.0921500033,0.0148890247119249,-19.0887127842508
0.665,0.0162452601124776,-20.7816286967391,0.0162448451374165,-20.7775017850586
0.67,0.0176704256176664,-22.5536755401627,0.0176699063662378,-22.5487520964458
0.675,0.0191658754521545,-24.4085438296279,0.0191652309921736,-24.4027055536025
0.68,0.0207321409332666,-26.3463166075708,0.0207313478166092,-26.3394332600734
0.685,0.0223692188263522,-28.3668901055826,0.0223682501220238,-28.3588187653889
0.69,0.0240765661044581,-30.469959272581,0.0240753914470748,-30.4605438363093
0.695,0.025853130886505,-32.6550070828744,0.0258517161850607,-32.6440777290633
0.7,0.0276974124132042,-34.9212979278309,0.0276957198388571,-34.9086706691643
0.705,0.0296075438291474,-37.2678755823435,0.029605531883912,-37.2533518886028
0.71,0.0315813894490791,-39.6935657693575,0.031579012287237,-39.6769320786206
0.715,0.033616645839491,-42.1969825825363,0.0336138531927922,-42.1780100202154
0.72,0.0357109401194738,-44.7765385608036,0.0357076768548264,-44.7549826542211
0.725,0.0378619145046687,-47.4304568352673,0.0378581210281633,-47.4060575039108
0.73,0.040067293977676,-50.1567850094252,0.0400629058285511,-50.1292664702075
0.735,0.0423249297297538,-52.9534090104426,0.0423198776505671,-52.9224798942889
0.74,0.044632818735588,-55.8180664771317,0.0446270281374944,-55.7834198990647
0.745,0.0469890985425153,-58.7483585176305,0.0469824892769068,-58.709672347135
0.75,0.0493920192283098,-61.7417591696794,0.0493845060397551,-61.698696547474
0.755,0.0518398991000935,-64.7956226750539,0.0518313909607892,-64.7478323913975
0.76,0.0543310652185263,-67.9071875094814,0.054321466198283,-67.854304831551
0.765,0.0568637907018555,-71.0735786344339,0.0568529992041486,-71.0152258457655
0.77,0.0594362290711735,-74.2918069383704,0.0594241382223859,-74.2275942464162
0.775,0.0620463562854504,-77.5587675702009,0.0620328539872685,-77.4882940162539
0.78,0.0646919235252476,-80.8712373333583,0.064676892190055,-80.7940917251276
0.785,0.0673704228922056,-84.2258715534736,0.0673537404456843,-84.1416337629463
0.79,0.0700790723818043,-87.6192020542658,0.0700606120836806,-87.5274441203701
0.795,0.0728148168316285,-91.0476359620661,0.0727944474060108,-90.9479233495736
0.8,0.07557434492673,-94.5074560911671,0.0755519315177585,-94.3993492099992
0.805,0.0783541221838016,-97.9948237242279,0.078329526481499,-97.8778793409625
0.81,0.0811504340399212,-101.505783375414,0.0811235144775288,-101.379556120692
0.815,0.0839594357020291,-105.036269665001,0.083930047942337,-104.900313686925
0.82,0.0867772047226487,-108.582116181537,0.0867452023435132,-108.435986923559
0.825,0.0895997923684473,-112.139066070442,0.089565027330306,-111.982322074761
0.83,0.0924232692175815,-115.702783731773,0.0923855924380021,-115.534988542296
0.835,0.0952437631956247,-119.268867430877,0.095203024253126,-119.089591357923
0.84,0.0980574829781687,-122.832861199779,0.0980135329478846,-122.641683820274
0.845,0.100860738281675,-126.390268273259,0.100813427111377,-126.186779807101
0.85,0.103649937781275,-129.936561472037,0.103599116927637,-129.720365346531
0.855,0.106421584547345,-133.467194383495,0.106367106748666,-133.237909133338
0.86,0.109172258977678,-136.977610393667,0.109113978878041,-136.734871782162
0.865,0.111898596578676,-140.463250669352,0.111836372151405,-140.206713962537
0.87,0.114597262295743,-143.919560845945,0.114530955090825,-143.648902799919
0.875,0.117264924626223,-147.341996656851,0.117194400359934,-147.056917533506
0.88,0.119898232038851,-150.726028679179,0.119823361297733,-150.426254225646
0.885,0.122493794145896,-154.067146507085,0.122414453230638,-153.752429899806
0.89,0.125048169753419,-157.360862756952,0.124964241423727,-157.030986451454
0.895,0.127557862507604,-160.602717168498,0.127469236786049,-160.257494661257
0.9,0.130019324751869,-163.788281108657,0.129925899689046,-163.427558603985
0.905,0.13242896910496,-166.913162708403,0.132330651526281,-166.536820687656
0.91,0.134783186652448,-169.973012789644,0.134679892994286,-169.580967481717
0.915,0.137078370688696,-172.963531704328,0.136970027557887,-172.55573640784
0.92,0.139310943155172,-175.880476937276,0.139197488214274,-175.456923280174
0.925,0.141477383187847,-178.71967161354,0.141358765507252,-178.280390601127
0.93,0.143574253894892,-181.477013431318,0.14345043476801,-181.022076450685
0.935,0.145598227655681,-184.148484181733,0.145469180755664,-183.678003757022
0.94,0.147546106233902,-186.730159220941,0.147411818289151,-186.244289730108
0.945,0.149414836754713,-189.218217011119,0.149275307880045,-188.717155199409
0.95,0.15120152133432,-191.608948212561,0.151056765423918,-191.092933547511
0.955,0.152903421208548,-193.898764248381,0.152753466253994,-193.368079109142
0.96,0.154517956061743,-196.084205269734,0.154362843972011,-195.539174862362
0.965,0.156042697924264,-198.161947100773,0.155882484951404,-197.602939324031
0.97,0.157475363243427,-200.128807603862,0.157310120057525,-199.556232686212
0.975,0.158813801845177,-201.981751978674,0.158643613895051,-201.396061961163
0.98,0.160055985935944,-203.717897376522,0.159880953466131,-203.119585350566
0.985,0.161200000441532,-205.334516964351,0.161020237877366,-204.72411599468
0.99,0.162244034160281,-206.829043227262,0.162059670515381,-206.20712532023
0.995,0.163186374899875,-208.199071113948,0.162997554124202,-207.566245999664
1,0.164025407441101,-209.442362667476,0.163832287932439,-208.799276197208
1.005,0.164752137408543,-210.619587283571,0.164554891593388,-209.966741259017
1.01,0.165364879111215,-211.786215707587,0.165163693329908,-211.123914573463
1.015,0.165880897230776,-212.934559306545,0.165675968121775,-212.263070874847
1.02,0.166325475949163,-214.059659907194,0.166117009272525,-213.379228446886
1.025,0.166728629881159,-215.158940057172,0.166516832764475,-214.469796911285
1.03,0.167121754611987,-216.231804410698,0.166906828569264,-215.534176462118
1.035,0.167534486797831,-217.279199939916,0.167316624296627,-216.573315891959
1.04,0.167992011660152,-218.303152967404,0.167771388119881,-217.589246225744
1.045,0.168512991082139,-219.306304889833,0.168289760920003,-218.584614285214
1.05,0.169108247210067,-220.291474812904,0.16888254113177,-219.562243003321
1.055,0.169780245242852,-221.261272649561,0.169552170758391,-220.52474333154
1.06,0.170523360814471,-222.217785583765,0.170293004005933,-221.474199480162
1.065,0.171324847703564,-223.162352365034,0.171092276733515,-222.411943100682
1.07,0.172166368640449,-224.095435135685,0.171931639167179,-223.338425187042
1.075,0.173025918235684,-225.016588222694,0.172789078228791,-224.253185759154
1.08,0.173879932830414,-225.924517965406,0.173641032233308,-225.154914714876
1.085,0.174705411455273,-226.817218813943,0.174464501014893,-226.041589590038
1.09,0.175481828942973,-227.692168416284,0.175238968065523,-226.910671506345
1.095,0.176192722993243,-228.546557903701,0.175947980347986,-227.759337004221
1.1,0.176826818235041,-229.377534993309,0.176580272018822,-228.584722176341
1.105,0.177378629475196,-230.182437079024,0.177130366088223,-229.384156494383
1.11,0.177848525656755,-230.958994032135,0.17759863676374,-230.155366124817
1.115,0.178242285463327,-231.70548513814,0.177990864221683,-230.896630795414
1.12,0.178570218848689,-232.420839132628,0.178317355095945,-231.606883559023
1.125,0.178845957245105,-233.104672525096,0.178591734139325,-232.285748502204
1.13,0.179085043968501,-233.757266930923,0.178829533766644,-232.933517201789
1.135,0.179303453924139,-234.379491199037,0.179046716564921,-233.551069959226
1.14,0.179516181401388,-234.972679027735,0.179258263179728,-234.13975229916
1.145,0.179736008680461,-235.538475353384,0.179476942966012,-234.701220400671
1.15,0.179972551177388,-236.078666951784,0.17971236071355,-235.237270869033
1.155,0.180231641634929,-236.595012773032,0.179970342494947,-235.749670537361
1.16,0.180515084706657,-237.089089046473,0.180252690323593,-236.240000953436
1.165,0.180820774772182,-237.56216074152,0.180557301200135,-236.709529918145
1.17,0.181143144460838,-238.015089257999,0.180878615175588,-237.159119160581
1.175,0.181473881160372,-238.448281597695,0.181208330459088,-237.589174066673
1.18,0.181802831028414,-238.861682608444,0.181536307527007,-237.999635642584
1.185,0.182119000789923,-239.254807533416,0.181851570062428,-238.390014503212
1.19,0.182411562171383,-239.626810196674,0.182143306234637,-238.759459335655
1.195,0.182670773642527,-239.976577498841,0.182401789903044,-239.10685200807
1.2,0.182888745529828,-240.302840885906,0.182619143425831,-239.43091957172
1.205,0.183059992019075,-240.604293727542,0.182789889173483,-239.730352089052
1.21,0.183181738405009,-240.879704168507,0.182911255793707,-240.003915761527
1.215,0.183253973001199,-241.128013979589,0.182983230023611,-240.250551911493
1.22,0.183279257726829,-241.34841583985,0.18300836705681,-240.469454245414
1.225,0.183262328805438,-241.54040386972,0.182991392491853,-240.660119226029
1.23,0.183209538393229,-241.703794897265,0.182938644702253,-240.822367071503
1.235,0.183128195141981,-241.83872067714,0.182857416404098,-240.95633356892
1.24,0.183025866894869,-241.945593579818,0.182755259568399,-241.062435437965
1.245,0.182909710234855,-242.025050740373,0.182639316169769,-241.141314072214
1.25,0.182785881509568,-242.077882863567,0.182515730462485,-241.193763969222
1.255,0.182659074195436,-242.104954743758,0.182389188109237,-241.220653103543
1.26,0.182532215686182,-242.107124977305,0.182262613150428,-241.222842670069
1.265,0.182406343049823,-242.08517524158,0.18213703807941,-241.20111319528
1.27,0.182280627434987,-242.039740983844,0.182011645930389,-241.156102776523
1.275,0.182152595398454,-241.971274905118,0.181883969851142,-241.088262255601
1.28,0.182018445718486,-241.88001685694,0.18175022120458,-240.997829777219
1.285,0.181873473516514,-241.765989539308,0.181605709311177,-240.884825708631
1.29,0.18171253998585,-241.629012395195,0.181445310046564,-240.749066903631
1.295,0.181530547893563,-241.46873254242,0.181263939942322,-240.59019776399
1.3,0.181322880789391,-241.284668533404,0.181056994200442,-240.407734221866
1.305,0.181085770822794,-241.076262447285,0.18082071343751,-240.201116010235
1.31,0.180816567884754,-240.842935214459,0.180552452261295,-239.969762161761
1.315,0.180513894171008,-240.584140223058,0.180250833380008,-239.713124643672
1.32,0.180177678427487,-240.299410625077,0.179915781827172,-239.430735672658
1.325,0.179809074836331,-239.988396684879,0.179548444600929,-239.122245057666
1.33,0.17941028251644,-239.650890749326,0.179151010552843,-238.787445033708
1.335,0.178984287099513,-239.286838422868,0.178726452984925,-238.426281310612
1.34,0.178534551994545,-238.896335909147,0.178278222392714,-238.038850320106
1.345,0.178064690346005,-238.479614813979,0.177809919376958,-237.625383858108
1.35,0.1775781469042,-238.037016559821,0.177324977374616,-237.186223323699
1.355,0.177077916083794,-237.568959234766,0.176826381815077,-236.721786481439
1.36,0.176566318550896,-237.075900326385,0.176316447470272,-236.232530137439
1.365,0.176044851664269,-236.558298863132,0.175796669195752,-235.718912229668
1.37,0.175514121399901,-236.016580239011,0.175267653888666,-235.181356644257
1.375,0.174973856058306,-235.451106575194,0.174729133941053,-234.620223606825
1.38,0.17442299496253,-234.862154799586,0.174180055408728,-234.035787820922
1.385,0.173859839322668,-234.249903805103,0.173618728123295,-233.428225706325
1.39,0.173282247951124,-233.614431166538,0.173043020492901,-232.797612208189
1.395,0.17268785784644,-232.955719041911,0.172450579144418,-232.143926795877
1.4,0.172074308954936,-232.273668141261,0.171839052731332,-231.467067483405
1.405,0.171439453339484,-231.568117951771,0.171206300273214,-230.766871118197
1.41,0.170781531785207,-230.838871062839,0.170550567175827,-230.043137766664
1.415,0.170099304787455,-230.08571921874,0.169870615913744,-229.295656796145
1.42,0.169392129911296,-229.308468748444,0.169165803229753,-228.524232290615
1.425,0.168659982618783,-228.506963212771,0.168436100893294,-227.728705649706
1.43,0.16790342210142,-227.681101423812,0.167682062113906,-226.908973610407
1.435,0.167123509348148,-226.830849687616,0.166904740217832,-226.065000449145
1.44,0.166321687880945,-225.956247620616,0.166105569948422,-225.196823723839
1.445,0.16549963990672,-225.057407453987,0.165286224189787,-224.304553495745
1.45,0.164659131503343,-224.134507254312,0.164448460165543,-223.388365547883
1.455,0.163801861623599,-223.187779169857,0.163593969117727,-222.4484896
1.46,0.162929327486754,-222.21749403076,0.16272424219794,-221.485193880775
1.465,0.1620427167873,-221.223943872461,0.161840463027534,-220.498767639327
1.47,0.161142834222088,-220.207424042088,0.160943434367663,-219.489503250898
1.475,0.16023006620016,-219.168216432103,0.160033542859621,-218.457679484185
1.48,0.159304384257602,-218.106575228703,0.159110762235524,-217.4035472853
1.485,0.158365384244776,-217.022716243253,0.158174692098348,-216.327319140868
1.49,0.157412355388454,-215.916810488245,0.157224626467825,-215.229162687713
1.495,0.156444371209015,-214.788982258971,0.156259644126326,-214.109198827471
1.5,0.155460392937105,-213.639311575531,0.155278711463376,-212.967504198087
1.505,0.154459375673594,-212.467840483449,0.154280788076266,-211.80411748763
1.51,0.153440367963213,-211.274582404523,0.15326492581786,-210.619048779072
1.515,0.152402596494093,-210.059533473814,0.152230353193153,-209.412290908833
1.52,0.151345529741234,-208.822684794945,0.151176538832293,-208.183831718552
1.525,0.15026891650229,-207.564034479281,0.1501032300071,-206.933666080154
1.53,0.14917279776107,-206.2835984513,0.149010464592717,-205.661806671466
1.535,0.148057492779208,-204.981419184278,0.147898557296927,-204.368292663236
1.54,0.146923562037023,-203.657571679669,0.146768063043607,-203.053195701927
1.545,0.145771752073852,-202.31216642744,0.145619722296433,-201.716622855185
1.55,0.144602928273628,-200.945349294107,0.144454394286288,-200.358716484846
1.555,0.143418002166936,-199.557298551274,0.143272984726259,-198.979651263646
1.56,0.142217859956102,-198.148219509854,0.142076374632857,-197.579628788473
1.565,0.141003298175936,-196.718337344289,0.140865356319654,-196.158870419564
1.57,0.139774971627443,-195.267888870439,0.139640581592724,-194.71760908473
1.575,0.138533357341177,-193.797114077137,0.138402525777836,-193.256080826239
1.58,0.137278736496934,-192.306248143552,0.137151469592421,-191.774516836668
1.585,0.136011194621221,-190.795514596066,0.135887499195016,-190.273136636453
1.59,0.134730638786814,-189.265120115688,0.134610523151154,-188.752142902209
1.595,0.133436829174878,-187.71525133407,0.133320303703741,-187.211718285423
1.6,0.132129421286284,-186.146073757176,0.132016498631049,-185.652024345439
1.605,0.130808014356194,-184.55773273954,0.130698709311962,-184.073202526155
1.61,0.129472201441334,-182.950356307629,0.129366530508198,-182.475376979302
1.615,0.128121616716211,-181.324059453615,0.128019597415867,-180.858658853095
1.62,0.126755976081812,-179.678949424,0.12665762610516,-179.223151572357
1.625,0.125375108043317,-178.015131476888,0.125280444309834,-177.568956584086
1.63,0.123978972883926,-176.332714584758,0.123888010572876,-175.896179038547
1.635,0.122567669301682,-174.631816590274,0.122480420899093,-174.204932918284
1.64,0.121141428651922,-172.91256837629,0.121057903204342,-172.495345209058
1.645,0.119700598284564,-171.175116792187,0.119620800931218,-170.767558826916
1.65,0.118245616149844,-169.419626159273,0.118169547912637,-169.021734127656
1.655,0.116776979449648,-167.646278319102,0.116704637227085,-167.258048938491
1.66,0.115295210447304,-165.855271319011,0.11522658723989,-165.47669724462
1.665,0.113800822593266,-164.04681694449,0.113735907911573,-163.677886724134
1.67,0.112294289865069,-162.221137385313,0.112233070262893,-161.861835419777
1.675,0.11077602167264,-160.378461366821,0.110718481415432,-160.028767892965
1.68,0.109246345209915,-158.519020137865,0.109192466978111,-158.178911226496
1.685,0.107705496233688,-156.643043662723,0.107655261792226,-156.312491230299
1.69,0.10615361847473,-154.750757328562,0.106107009283108,-154.429729171049
1.695,0.104590771136048,-152.842379415612,0.104547768885103,-152.530839280151
1.7,0.103016943272736,-150.918119493752,0.102977530163354,-150.616027133694
1.705,0.101432073336749,-148.978177819175,0.101396232149546,-148.685489042208
1.71,0.0998360718424321,-147.022745711987,0.0998037858290342,-146.73941242648
1.715,0.0982288449891352,-145.052006816346,0.0982000975973785,-144.777977070349
1.72,0.0966103171273089,-143.066139068087,0.0965850915877255,-142.801357079768
1.725,0.0949804501826898,-141.065317143792,0.0949587290141458,-140.809723327677
1.73,0.0933392586031881,-139.049715155157,0.0933210231219865,-138.803246149141
1.735,0.0916868188353261,-137.0195093334,0.0916720487584381,-136.782098048094
1.74,0.0900232728863047,-134.97488047064,0.0900119458819546,-134.746456096259
1.745,0.0883488260706324,-132.916015922219,0.0883409173826052,-132.696503919247
1.75,0.0866637395353166,-130.843111025577,0.0866592217185949,-130.632433111674
1.755,0.0849683185671151,-128.756369851275,0.0849671613428399,-128.554443986203
1.76,0.0832628979800614,-126.656005265686,0.0832650682117086,-126.462745635684
1.765,0.0815478260444597,-124.542238344904,0.0815532878646682,-124.357555355571
1.77,0.0798234484482007,-122.415297235006,0.0798321636594567,-122.239097560522
1.775,0.0780900936604971,-120.275415589138,0.0781020221039103,-120.107602210856
1.78,0.0763480608638546,-118.122830745557,0.0763631607615878,-117.963302974311
1.785,0.0745976113307998,-115.957781821922,0.0746158396217041,-115.806435326766
1.79,0.0728389637435684,-113.780507892414,0.0728602763864334,-113.637234734781
1.795,0.0710722935867811,-111.59124639754,0.0710966458129897,-111.455935070333
1.8,0.0692977363836105,-109.390231905727,0.0693250829919496,-109.262767410878
1.805,0.0675153942293532,-107.17769530752,0.0675456899065473,-107.057959290523
1.81,0.0657253448297112,-104.953863480339,0.0657585441534479,-104.841734294979
1.815,0.0639276520892376,-102.718959417816,0.0639637094062296,-102.614312172424
1.82,0.0621223772274661,-100.473202779205,0.0621612464528667,-100.375909376487
1.825,0.0603095894251556,-98.2168107799444,0.0603512237744918,-98.126739950519
1.83,0.0584893751123503,-95.9499993211793,0.0585337269475762,-95.8670166972289
1.835,0.0566618451885246,-93.6729842422246,0.0567088659652591,-93.5969524803853
1.84,0.0548271396923777,-91.3859825772342,0.0548767796631021,-91.316761385255
1.845,0.0529854296924127,-89.0892137052542,0.0530376376115859,-89.0266598493798
1.85,0.0511369164250522,-86.7829002995204,0.051191639280839,-86.7268676056295
1.855,0.0492818279428214,-84.4672690060834,0.0493390107835845,-84.4176083673929
1.86,0.0474204137319495,-82.1425508092507,0.0474799999268737,-82.0991103070684
1.865,0.0455529379024196,-79.808981072114,0.045614869244694,-79.7716060448096
1.87,0.0436796716351785,-77.4667992688846,0.0437438883274399,-77.4353323169996
1.875,0.0418008855880317,-75.116248451086,0.0418673262398212,-75.0905294386065
1.88,0.0399168429170541,-72.7575745100512,0.0399854446123252,-72.7374405748944
1.885,0.0380277934717787,-70.3910253113972,0.0380984923248472,-70.3763110275677
1.89,0.036133969582724,-68.0168497825543,0.0362067010552327,-68.0073872800777
1.895,0.0342355836933394,-65.6352970336156,0.0343102826014405,-65.6309160173636
1.9,0.0323328279119639,-63.2466155827242,0.0324094283766248,-63.2471433395078
1.905,0.030425875388423,-60.851052743601,0.0305043109442015,-60.856314200963
1.91,0.0285148832688932,-58.4488542148247,0.028595087404655,-58.458672186519
1.915,0.0265999968635639,-56.0402638903033,0.0266819029497349,-56.0544591441259
1.92,0.0246813545818356,-53.6255238898302,0.0247648955914199,-53.6439151393089
1.925,0.0227590931543183,-51.204874789848,0.0228442014094434,-51.227278693286
1.93,0.0208333526692736,-48.7785560184457,0.020919960210237,-48.8047874041923
1.935,0.0189042809993331,-46.3468063671062,0.0189923195898366,-46.3766783682001
1.94,0.0169720372765726,-43.9098645642189,0.0170614379801116,-43.9431885756911
1.945,0.015036794185229,-41.4679698562359,0.0151274869682944,-41.5045554924068
1.95,0.0130987389597886,-39.0213625458091,0.0131906530980927,-39.0610178603005
