time_s,accelerationUp,hubForceDifference,linearAccelerationDelta,linearForceDifferenceDelta
0,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.005,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.01,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.015,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.02,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.025,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.03,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.035,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.04,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.045,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.05,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.055,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.06,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.065,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.07,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.075,4.17994773402823e-16,-1.09139364212751e-11,0,0
0.08,1.86807540705953e-16,-1.45519152283669e-11,0,0
0.085,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.09,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.095,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.1,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.105,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.11,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.115,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.12,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.125,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.13,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.135,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.14,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.145,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.15,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.155,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.16,1.67301117947155e-15,-1.45519152283669e-11,0,0
0.165,1.44182394677468e-15,-1.09139364212751e-11,0,0
0.17,1.86807540705953e-16,-1.45519152283669e-11,0,0
0.175,-1.53058333075651e-15,-1.09139364212751e-11,0,0
0.18,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.185,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.19,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.195,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.2,-1.06820886536277e-15,-7.27595761418343e-12,0,0
0.205,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.21,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.215,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.22,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.225,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.23,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.235,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.24,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.245,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.25,1.67301117947155e-15,-1.45519152283669e-11,0,0
0.255,1.44182394677468e-15,-1.09139364212751e-11,0,0
0.26,1.67301117947155e-15,-1.45519152283669e-11,0,0
0.265,-1.53058333075651e-15,-1.09139364212751e-11,0,0
0.27,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.275,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.28,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.285,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.29,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.295,-2.55441250412836e-15,-7.27595761418343e-12,0,0
0.3,-1.06820886536277e-15,-1.09139364212751e-11,0,0
0.305,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.31,1.90419841216842e-15,-7.27595761418343e-12,0,0
0.315,1.90419841216842e-15,-1.09139364212751e-11,0,0
