scenario,amplitude_deg,heaveReductionRMS,heaveReductionPeak,forceDifferenceReductionRMS,forceDifferenceReductionPeak,fullSeconds,reducedSeconds
1,0.2,7.08319139732152e-05,0.000128355443046242,107.752389764206,169.675784529838,0.446941,0.093545
1,0.1,1.77068814336871e-05,3.20878519905157e-05,53.8745677294524,84.836461089053,0.322327,0.089079
2,0.2,5.55675594505739e-06,1.08506700569749e-05,0.724176303051979,1.58740017065429,0.17331,0.095529
2,0.1,2.78015065183241e-06,5.46635899271314e-06,0.362330960780694,0.799054492115829,0.15488,0.084919
3,0.2,4.86721923745746e-05,9.58438926427774e-05,2.93974974344531,6.45379763562596,0.16924,0.092531
3,0.1,2.43590928587783e-05,4.84075348912844e-05,1.47091966791934,3.24793509243318,0.149456,0.08124
4,0.2,0.00149148982257745,0.00242231404197159,106.843511236609,168.434130460177,0.315006,0.115438
4,0.1,0.000745006609305035,0.00120523865373574,53.4197119571424,84.1635996563309,0.274436,0.101514
