epsilonA,commonToHeaveError,commonToDifferentialForceError,differentialToHeaveError
0.005,0.000152108297911628,411.04862563197,0.0413873608150435
0.01,0.000608439958340737,822.094545155315,0.0827739558354351
0.02,0.00243386810454964,1644.1674390983,0.165541784934193
