scenario,epsilonA,omega_rad_s,amplitude_deg,mode,states,heaveSignalRMS,diffForceSignalRMS,heaveLinearErrorRMS,diffForceLinearErrorRMS,heaveErrorOverFixedScale,diffForceErrorOverFixedScale,heaveRelativeLinearError,diffForceRelativeLinearError,elapsed_s,rhsCalls
1,0,12,0.2,1,7,0.000167000438387034,906.179944672772,0.000167000438387034,0.00785878595678926,0.000515908886237097,4.04631423855558e-06,1,8.67243421462734e-06,0.446941,9553
1,0,12,0.2,2,4,0.000184465677207518,826.50552985915,0.000184465677207518,0.00885877588853278,0.000569863666205149,4.56118683102394e-06,1,1.07183504144763e-05,0.093545,3205
1,0,12,0.1,1,7,4.17486041206169e-05,453.091934770836,4.17486041206172e-05,0.000982396643051817,0.000257945141484052,1.01162839821478e-06,1.00000000000001,2.1682059813064e-06,0.322327,8377
1,0,12,0.1,2,4,4.61143250200499e-05,413.255899497463,4.61143250200499e-05,0.00110727888905498,0.000284918893512516,1.14022658448014e-06,1,2.67940249710041e-06,0.089079,2593
2,0.07,2,0.2,1,7,0.135782839282018,38.7653250136357,0.000178138811568885,0.169178534194493,0.00055031829113593,8.7106267498958e-05,0.00131193906763796,0.00436417169558063,0.17331,5101
2,0.07,2,0.2,2,4,0.13578263571957,38.604378712303,0.00017813338276929,0.169053109089186,0.000550301520126345,8.70416888996341e-05,0.00131190105292393,0.00437911746615702,0.095529,5101
2,0.07,2,0.1,1,7,0.0679001698590978,19.3917075626303,4.44654113687265e-05,0.0422233468273412,0.000274731025581488,4.34797258523993e-05,0.000654864508601353,0.00217739189243498,0.15488,4501
2,0.07,2,0.1,2,4,0.0679000663109616,19.3111244339298,4.44640600726143e-05,0.0421933740011693,0.000274722676553438,4.34488611682163e-05,0.000654845606026104,0.00218492579992055,0.084919,4489
3,0.15,2,0.2,1,7,0.123134726928923,157.067216613393,0.00015746904258257,0.526901345517889,0.000486463862970931,0.000271289793157081,0.00127883535790407,0.00335462330636958,0.16924,5017
3,0.15,2,0.2,2,4,0.123130287802783,156.429803255888,0.00015749668467677,0.528043039419609,0.000486549256770911,0.000271877625974516,0.00127910595749627,0.00337559102184534,0.092531,5023
3,0.15,2,0.1,1,7,0.061574803469392,78.5539793726078,3.93101349546849e-05,0.131540424751111,0.000242878978500646,0.000135454482802462,0.000638412674337246,0.00167452273967142,0.149456,4411
3,0.15,2,0.1,2,4,0.06157256844475,78.234835172822,3.93173438290527e-05,0.131829212132486,0.000242923518771103,0.000135751863212005,0.000638552927418201,0.00168504492712578,0.08124,4393
4,0.15,12,0.2,1,7,0.0159983335081881,901.793770936222,0.000170493241783564,0.35925579533481,0.00052669908731413,0.000184972825057161,0.0106569375926751,0.000398379104971903,0.315006,9589
4,0.15,12,0.2,2,4,0.015281655786303,822.733893091485,0.000187470239783737,0.344132537442484,0.000579145561194755,0.000177186195661789,0.0122676653894905,0.00041827927636405,0.115438,6313
4,0.15,12,0.1,1,7,0.00799810608132789,450.897025598741,4.26240747406866e-05,0.0898339899145752,0.000263354265877923,9.25070499428928e-05,0.0053292709933162,0.000199233937716235,0.274436,8389
4,0.15,12,0.1,2,4,0.00763984211612277,411.368826727066,4.68677016135536e-05,0.0860447478881447,0.000289573655895484,8.86050569253495e-05,0.00613464269302715,0.000209166913722496,0.101514,5557
