law,epsilonA,input,output,bandLow_rad_s,bandHigh_rad_s,budgetFraction,selectedStates,qualified,boundOverFixedGainScale,actualErrorOverFixedGainScale,maxKappa,enclosureCalls,maxDepthUsed
pp_mean,0.1,common,hubForceRightMinusLeft,3,10,0.05,4,1,0.0245412775691478,0.0046890636823161,0.001971004199908,12,0
pp_mean,0.1,common,accelerationUp,10,30,0.05,4,1,0.0097167138416676,0.00132756342095807,0.00397765864101804,12,0
pp_mean,0.1,common,hubForceRightMinusLeft,10,30,0.05,4,1,0.0491047760879897,0.0367112635193088,0.003040006228958,21,2
pp_mean,0.1,mixed,accelerationUp,0.3,3,0.05,4,1,0.0491813046230721,0.000172903983424264,0.00163955759266626,144,3
pp_mean,0.1,mixed,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0424979077743616,0.00260951525651546,0.00321922377787936,12,0
pp_mean,0.1,mixed,accelerationUp,3,10,0.05,4,1,0.0285304618539531,0.000606429484162847,0.001971004199908,12,0
pp_mean,0.1,mixed,hubForceRightMinusLeft,3,10,0.05,4,1,0.0307493025985289,0.0104231787446565,0.001971004199908,12,0
pp_mean,0.1,mixed,accelerationUp,10,30,0.05,4,1,0.0144167177672331,0.00270776730127532,0.00397765864101804,12,0
pp_mean,0.1,mixed,hubForceRightMinusLeft,10,30,0.05,7,0,0.114662930183122,0.0738127556804344,0.00397765864101804,59,5
pp_mean,0.1,differential,accelerationUp,0.3,3,0.05,4,1,0.0494285431425163,0.0011434757944942,0.00321922377787936,42,1
pp_mean,0.1,differential,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0339641932594683,0.0172568841633682,0.00321922377787936,12,0
pp_mean,0.1,differential,accelerationUp,3,10,0.05,4,1,0.028573620508407,0.00396336695878758,0.001971004199908,12,0
pp_mean,0.1,differential,hubForceRightMinusLeft,3,10,0.05,7,0,0.0929326008593704,0.0678331143173372,0.001971004199908,81,7
pp_mean,0.1,differential,accelerationUp,10,30,0.05,4,1,0.046408744470838,0.0165290539700268,0.003040006228958,18,1
pp_mean,0.1,differential,hubForceRightMinusLeft,10,30,0.05,7,0,0.559064713296583,0.445141662310568,0.00397765864101804,24,0
pp_mean,0.2,common,accelerationUp,0.3,3,0.05,4,1,0.0499553363775439,0.000306123631883387,0.00309902830535793,636,5
pp_mean,0.2,common,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0491057353928571,0.00228630194067138,0.00655502294556829,105,2
pp_mean,0.2,common,accelerationUp,3,10,0.05,4,1,0.0485935577329291,0.00109210495958688,0.00788293499673101,51,2
pp_mean,0.2,common,hubForceRightMinusLeft,3,10,0.05,4,1,0.0493381974466202,0.00935480608149067,0.00751212848269856,18,1
pp_mean,0.2,common,accelerationUp,10,30,0.05,4,1,0.0390694446686541,0.00532599509326818,0.0158926622399107,12,0
pp_mean,0.2,common,hubForceRightMinusLeft,10,30,0.05,7,0,0.144356530621852,0.0733721677685297,0.0158926622399107,92,5
pp_mean,0.2,mixed,accelerationUp,0.3,3,0.05,4,1,0.0498217185768879,0.000484936958507065,0.00309902830535793,597,5
pp_mean,0.2,mixed,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0486978321382345,0.00362295507338415,0.00655502294556829,99,2
pp_mean,0.2,mixed,accelerationUp,3,10,0.05,4,1,0.0496173774249486,0.00170897626605659,0.00788293499673101,45,2
pp_mean,0.2,mixed,hubForceRightMinusLeft,3,10,0.05,4,1,0.0494644599578866,0.01458878043091,0.00722874237832902,24,1
pp_mean,0.2,mixed,accelerationUp,10,30,0.05,4,1,0.0469412650904705,0.0078330457408878,0.0158926622399107,12,0
pp_mean,0.2,mixed,hubForceRightMinusLeft,10,30,0.05,7,0,0.183506578800118,0.106885519055289,0.0158926622399107,100,6
pp_mean,0.2,differential,accelerationUp,0.3,3,0.05,4,1,0.0483524937533068,0.00227821907775386,0.00345802003772952,162,3
pp_mean,0.2,differential,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0458920160753374,0.0170209065486157,0.0127579660299864,15,1
pp_mean,0.2,differential,accelerationUp,3,10,0.05,4,1,0.0355790474904764,0.00789636678439964,0.00458549176992013,48,1
pp_mean,0.2,differential,hubForceRightMinusLeft,3,10,0.05,7,0,0.10037533318281,0.0670212546627023,0.00788293499673101,51,4
pp_mean,0.2,differential,accelerationUp,10,30,0.05,4,1,0.0497327133079745,0.0329542220533558,0.00610826059612591,126,5
pp_mean,0.2,differential,hubForceRightMinusLeft,10,30,0.05,7,0,0.575780016814412,0.44242860098468,0.0158926622399107,24,0
