law,epsilonA,input,output,bandLow_rad_s,bandHigh_rad_s,fixedScaleQualified,relativeQualified,actualErrorOverFixedScale,actualMaxRelativeError,relativeEnclosure,selectedStatesForRelativeBudget,nearZeroIntervals,enclosureCalls,maxDepthUsed
pp_mean,0.1,common,hubForceRightMinusLeft,10,30,1,0,0.0367112635193088,0.398197274706998,Inf,7,0,24,0
pp_mean,0.1,mixed,accelerationUp,0.3,3,1,1,0.000172903983424264,0.000280731812457377,0.0493557176280766,4,0,1287,6
pp_mean,0.1,mixed,hubForceRightMinusLeft,0.3,3,1,1,0.00260951525651546,0.0252419039820543,0.0499214253994772,4,0,702,5
pp_mean,0.1,mixed,accelerationUp,3,10,1,1,0.000606429484162847,0.000928607509154238,0.0488122475448403,4,0,93,2
pp_mean,0.1,mixed,hubForceRightMinusLeft,3,10,1,0,0.0104231787446565,0.0939809427306598,0.666987237959822,7,0,832,10
pp_mean,0.1,mixed,accelerationUp,10,30,1,1,0.00270776730127532,0.0026912145422558,0.0419656834599881,4,0,18,1
pp_mean,0.1,mixed,hubForceRightMinusLeft,10,30,0,0,0.0738127556804344,0.398275771699651,Inf,7,0,24,0
pp_mean,0.1,differential,accelerationUp,0.3,3,1,1,0.0011434757944942,0.0249319575511227,0.0499861038928872,4,0,4353,8
pp_mean,0.1,differential,hubForceRightMinusLeft,0.3,3,1,1,0.0172568841633682,0.025391771206395,0.0456323164819545,4,0,15,1
pp_mean,0.1,differential,accelerationUp,3,10,1,0,0.00396336695878758,0.079087588483594,Inf,7,0,2639,12
pp_mean,0.1,differential,hubForceRightMinusLeft,3,10,0,0,0.0678331143173372,0.0942457331329294,0.159987553370251,7,0,64,5
pp_mean,0.1,differential,accelerationUp,10,30,1,0,0.0165290539700268,0.181103261604849,Inf,7,0,24,0
pp_mean,0.1,differential,hubForceRightMinusLeft,10,30,0,0,0.445141662310568,0.398104799990468,4.79688575716791,7,0,24,0
pp_mean,0.2,common,accelerationUp,0.3,3,1,1,0.000306123631883387,0.000457913478073137,0.0497152081882284,4,0,2151,7
pp_mean,0.2,common,hubForceRightMinusLeft,0.3,3,1,1,0.00228630194067138,0.0248460691899768,0.049989431509966,4,0,2490,7
pp_mean,0.2,common,accelerationUp,3,10,1,1,0.00109210495958688,0.00154077601408134,0.0463028886454105,4,0,180,3
pp_mean,0.2,common,hubForceRightMinusLeft,3,10,1,0,0.00935480608149067,0.0930072745303254,Inf,7,0,1393,9
pp_mean,0.2,common,accelerationUp,10,30,1,1,0.00532599509326818,0.00487348201488186,0.0497530022810955,4,0,42,1
pp_mean,0.2,common,hubForceRightMinusLeft,10,30,0,0,0.0733721677685297,0.397604881182382,Inf,7,0,24,0
pp_mean,0.2,mixed,accelerationUp,0.3,3,1,1,0.000484936958507065,0.000787098627070256,0.0499868770513498,4,0,2175,7
pp_mean,0.2,mixed,hubForceRightMinusLeft,0.3,3,1,1,0.00362295507338415,0.0250061540886018,0.0497737250015177,4,0,1395,6
pp_mean,0.2,mixed,accelerationUp,3,10,1,1,0.00170897626605659,0.00261519649957874,0.0474562897250069,4,0,186,3
