name,passed,value
reduced gain lower bound agrees with independent samples,1,-0.307379899082443
relative error below interval enclosure,1,8.29206413244063e-16
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,8.29206413244063e-16
reduced gain lower bound agrees with independent samples,1,-2.70366978063372e-16
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.335793133154016
relative error below interval enclosure,1,8.75383443521029e-16
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,8.75383443521029e-16
reduced gain lower bound agrees with independent samples,1,-3.86996121322868e-17
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.204819205613627
relative error below interval enclosure,1,8.51974274601235e-16
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,8.51974274601235e-16
reduced gain lower bound agrees with independent samples,1,-1.40682540776634e-17
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.27943627189313
relative error below interval enclosure,1,9.11321552291531e-16
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,9.1212705456847e-16
reduced gain lower bound agrees with independent samples,1,-2.48459308093379e-16
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.0254500800611347
reduced gain lower bound agrees with independent samples,1,-0.305266484685469
relative error below interval enclosure,1,9.57775294270774e-16
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,9.62335176921417e-16
reduced gain lower bound agrees with independent samples,1,0
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.18619927783057
relative error below interval enclosure,1,8.05743585863235e-16
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,8.20300376241415e-16
reduced gain lower bound agrees with independent samples,1,-1.30768056891252e-17
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,1.25182014748393e-17
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,0
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.0254500800611349
reduced gain lower bound agrees with independent samples,1,4.23206867929993e-18
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,0
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,4.61754243396683e-18
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,0
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.307347571242794
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,4.50099354312207e-06
reduced gain lower bound agrees with independent samples,1,-0.000453679586325171
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.0250629703935719
reduced gain lower bound agrees with independent samples,1,-0.325390551715757
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,1.51597554848617e-05
reduced gain lower bound agrees with independent samples,1,-4.37913280343045e-06
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.204783023623061
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,4.82649441459608e-05
reduced gain lower bound agrees with independent samples,1,-0.00191803560369334
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.279798700275349
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,3.83887438710388e-05
reduced gain lower bound agrees with independent samples,1,-0.00340592701723597
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.0254038483271954
reduced gain lower bound agrees with independent samples,1,-0.296224418223018
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.000125953362337453
reduced gain lower bound agrees with independent samples,1,-6.59405847077934e-05
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.186427129787197
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.000348627997611384
reduced gain lower bound agrees with independent samples,1,-0.00174115437845008
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.000187329943108592
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.0249872347281888
reduced gain lower bound agrees with independent samples,1,-0.000548750126247942
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.0254477500714355
reduced gain lower bound agrees with independent samples,1,-9.33317975537978e-05
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-2.0350057440854e-06
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.00286866719012067
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-2.68516669346691e-05
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.260129829600788
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.000112993471465191
reduced gain lower bound agrees with independent samples,1,-0.0022611877329579
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.0250105648598789
reduced gain lower bound agrees with independent samples,1,-0.265534304192768
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.000380482311139912
reduced gain lower bound agrees with independent samples,1,-9.01869884977999e-05
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.203915614114738
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.00120945589006816
reduced gain lower bound agrees with independent samples,1,-0.00954995463946536
relative error below interval enclosure,1,0
reduced gain lower bound agrees with independent samples,1,-0.233003696419088
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.000280731812457377
reduced gain lower bound agrees with independent samples,1,-0.00579064884385631
relative error below interval enclosure,1,0
relative pass cannot hide low-gain response,1,151
qualified band respects relative budget,1,0.0252419039820543
