speed_kts,speed_mps,credible,status,residualNorm,theta_deg,stick_in,cyclic_deg,elevator_deg,thrust_lb,theta_error_deg,stick_error_in,cyclic_error_deg,elevator_error_deg,thrust_error_pct
40,20.57776,1,CREDIBLE,1.894027285945e-10,0.994783211174615,5.60927646205045,1.73416790248039,3.37468284675036,6618.14454232669,3.51478321117461,0.539276462050446,2.30416790248039,2.10468284675036,8.54417432172338
60,30.86664,1,CREDIBLE,0.00184588557651492,-0.597629687703427,6.07808455417736,2.73875902048931,5.32961259091959,6362.90950975306,5.09237031229657,0.788084554177359,3.77875902048931,2.98961259091959,7.19385820412879
80,41.15552,1,CREDIBLE,1.33500609581295e-10,-2.71836752423785,6.3517875160124,3.32526673878564,6.47095394177169,6233.04399079949,6.63163247576215,0.551787516012396,5.41526673878564,1.76095394177169,0.845099441650633
100,51.4444,1,CREDIBLE,0.000901860791150647,-4.73214764256638,6.42222325361329,3.47620081516484,6.76467096756744,6433.99491873566,7.87785235743362,-0.517776746386706,7.96620081516484,-3.36532903243256,-6.7628854151235
