law,reduction,omega_rad_s,fullReal,fullImag,reducedReal,reducedImag
pp_mean,algebraic_coning,0.1,-8.94895165253699,-26.2923580178607,-8.93589075754855,-26.2855388346888
pp_mean,algebraic_coning,0.10174193661806,-9.22922517269273,-26.6524723763757,-9.21554242948301,-26.6453864205775
pp_mean,algebraic_coning,0.103514216667934,-9.51717598509287,-27.0144274041331,-9.50284078871354,-27.0070677832265
pp_mean,algebraic_coning,0.105317368712972,-9.81294505568745,-27.378079550883,-9.79792535918432,-27.3704395148363
pp_mean,algebraic_coning,0.107151930523761,-10.1166715325853,-27.7432777788579,-10.1009337913955,-27.7353507580196
pp_mean,algebraic_coning,0.109018449238513,-10.4284924075336,-28.1098634468093,-10.4120015230732,-28.1016430930923
pp_mean,algebraic_coning,0.11091748152624,-10.7485421619381,-28.4776702069134,-10.7312614245063,-28.4691504383899
pp_mean,algebraic_coning,0.112849593752776,-11.0769523976221,-28.8465239158579,-11.0588434287661,-28.837698964922
pp_mean,algebraic_coning,0.114815362149688,-11.4138514526161,-29.2162425614626,-11.3948741471136,-29.2071070267115
pp_mean,algebraic_coning,0.116815372986132,-11.75936400237,-29.5866362062145,-11.7394764700044,-29.5771851082006
pp_mean,algebraic_coning,0.118850222743702,-12.113610646885,-29.9575069491298,-12.0927691542053,-29.9477357901245
pp_mean,algebraic_coning,0.120920518294321,-12.476707484378,-30.3286489073691,-12.454866396651,-30.3185537352778
pp_mean,algebraic_coning,0.123026877081238,-12.8487656722072,-30.6998482190487,-12.8258773957892,-30.6894256956048
pp_mean,algebraic_coning,0.125169927303173,-13.2298909759147,-31.0708830686904,-13.2059059012869,-31.0601305420465
pp_mean,algebraic_coning,0.127350308101666,-13.6201833073735,-31.4415237367479,-13.5950497531017,-31.430439318571
pp_mean,algebraic_coning,0.129568669751702,-14.0197362531567,-31.8115326746285,-13.9934004110566,-31.8001153217925
pp_mean,algebraic_coning,0.131825673855641,-14.4286365943924,-32.1806646066035,-14.4010424761954,-32.1689142075543
pp_mean,algebraic_coning,0.134121993540537,-14.8469638195038,-32.548666659957,-14.8180532053388,-32.5365841258103
pp_mean,algebraic_coning,0.136458313658892,-15.2747896313836,-32.9152785246721,-15.2445020204028,-32.9028658850812
pp_mean,algebraic_coning,0.138835330992905,-15.7121774506937,-33.2802326438833,-15.6804500141895,-33.2674931476939
pp_mean,algebraic_coning,0.141253754462275,-16.1591819171303,-33.6432544362442,-16.1259494545013,-33.6301926569278
pp_mean,algebraic_coning,0.143714305335639,-16.6158483906364,-34.0040625512638,-16.5810432885746,-33.9906844970941
pp_mean,algebraic_coning,0.146217717445672,-17.0822124546865,-34.3623691585476,-17.0457646499699,-34.3486823874571
pp_mean,algebraic_coning,0.14876473740795,-17.5582994239058,-34.7178802717586,-17.5201363701869,-34.7038940107788
pp_mean,algebraic_coning,0.151356124843621,-18.0441238584167,-35.0702961079619,-18.0041704974078,-35.0560213771213
pp_mean,algebraic_coning,0.153992652605949,-18.5396890874298,-35.4193114828629,-18.4978678248878,-35.4047612233781
pp_mean,algebraic_coning,0.156675107010815,-19.0449867447108,-35.7646162422661,-19.0012174316266,-35.7498054488279
pp_mean,algebraic_coning,0.159404288071222,-19.5599963186549,-36.1058957298965,-19.5141962380525,-36.0908415868127
pp_mean,algebraic_coning,0.162181009735893,-20.0846847197953,-36.4428312915116,-20.0367685795387,-36.4275533124296
pp_mean,algebraic_coning,0.165006100132023,-20.6190058686382,-36.7751008150163,-20.568885800637,-36.7596209859068
pp_mean,algebraic_coning,0.167880401812256,-21.162900306781,-37.1023793060531,-21.1104858729749,-37.0867222310979
pp_mean,algebraic_coning,0.170804772005971,-21.7162948343031,-37.424339498298,-21.6614930397867,-37.408532548278
pp_mean,algebraic_coning,0.173780082874938,-22.279102176438,-37.7406524974305,-22.2218174900685,-37.7247259601739
pp_mean,algebraic_coning,0.176807221773432,-22.8512206825275,-38.0509884574824,-22.7913550653337,-38.0349756898871
pp_mean,algebraic_coning,0.179887091512879,-23.4325340602297,-38.3550172879954,-23.3699870019094,-38.3389548691017
pp_mean,algebraic_coning,0.183020610631106,-24.0229111478962,-38.6524093901418,-23.9575797116579,-38.6363372746906
pp_mean,algebraic_coning,0.186208713666287,-24.6222057279508,-38.9428364196784,-24.5539846039152,-38.9267980915546
pp_mean,algebraic_coning,0.189452351435659,-25.2302563839913,-39.2259720743303,-25.159037951326,-39.2100146992527
pp_mean,algebraic_coning,0.192752491319094,-25.8468864041968,-39.5014929029194,-25.7725608021107,-39.4856674797099
pp_mean,algebraic_coning,0.196110117547605,-26.4719037334556,-39.7690791332877,-26.3943589411261,-39.75344064302
pp_mean,algebraic_coning,0.199526231496888,-27.1051009764284,-40.0284155158023,-27.0242229018818,-40.0130230681085
