law,linearPeakUp_ft_s2,peakTime_s,initialOppositePeak_ft_s2,resonance_rad_s,publishedCalculatedPeak_approx_ft_s2,publishedMeasuredPeak_approx_ft_s2,publishedMeasuredResonance_approx_rad_s,role
pp_mean,9.7749494679417,0.132,1.89824991817215,17.7827941003892,9.9,11,17,SOURCE_THEORY_RECONSTRUCTION_AND_APPROX_FLIGHT_FEATURES_NOT_VALIDATION
cf_mean,9.84047141478393,0.132,1.89824991817215,17.4783326241822,9.9,11,17,SOURCE_THEORY_RECONSTRUCTION_AND_APPROX_FLIGHT_FEATURES_NOT_VALIDATION
