time_s,wDown,accelerationDown,aeroThrust1,aeroThrust2,hubThrust1,hubThrust2,vi1,vi2,beta1,beta2,betaRate1,betaRate2
0,0,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.005,-6.06329801181952e-18,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.01,-1.2126596023639e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.015,-1.81898940354586e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.02,-2.42531920472781e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.025,-3.03164900590976e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.03,-3.63797880709171e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.035,-4.24430860827366e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.04,-4.85063840945562e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.045,-5.45696821063757e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.05,-6.06329801181952e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.055,-6.66962781300147e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.06,-7.27595761418343e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.065,-7.88228741536538e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.07,-8.48861721654733e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.075,-9.09494701772928e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.08,-9.70127681891123e-17,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.085,-1.03076066200932e-16,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.09,-1.09139364212751e-16,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.095,-1.15202662224571e-16,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.1,-1.2126596023639e-16,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.105,-1.2732925824821e-16,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.11,-1.33392556260029e-16,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.115,-1.39455854271849e-16,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.12,-1.45519152283669e-16,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.125,-1.51582450295488e-16,-1.2126596023639e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
