theta0_deg,memory,time_s,V4_CT,OFF_CT,V4_non_eq_CT,OFF_non_eq_CT
7,PP,0.218,0.0104428097405508,0.010439803625479,5.63042459532405e-05,5.32981308813858e-05
7,PP,0.22,0.0104376924994333,0.0104350651472479,5.11870048357614e-05,4.8559652650354e-05
7,PP,0.222,0.0104330398615226,0.0104307476702301,4.65343669250017e-05,4.42421756324876e-05
7,PP,0.224,0.0104288096511434,0.0104268134946648,4.23041565458249e-05,4.03080000672615e-05
7,PP,0.226,0.0104249638938213,0.0104232290793781,3.84583992237147e-05,3.67235847805666e-05
7,PP,0.228,0.0104214675368369,0.0104199631775085,3.49620422393088e-05,3.34576829109055e-05
7,PP,0.23,0.0104182873103427,0.0104169876983649,3.1781815745098e-05,3.04822037672861e-05
7,PP,0.232,0.0104153920490504,0.0104142718995015,2.88865544527776e-05,2.77664049039041e-05
7,PP,0.234,0.0104127608404249,0.0104117979500354,2.62553458272724e-05,2.52924554378191e-05
7,PP,0.236,0.0104103698099786,0.010409544795387,2.38643153810114e-05,2.30393007894097e-05
7,PP,0.238,0.0104081964422325,0.0104074925086036,2.16909476348885e-05,2.09870140060082e-05
7,PP,0.24,0.0104062200702199,0.0104056226048282,1.971457562229e-05,1.9117110230657e-05
7,PP,0.242,0.0104044234905874,0.0104039186861348,1.79179959898142e-05,1.74131915371828e-05
7,PP,0.244,0.0104027895965933,0.0104023662523279,1.62841019957297e-05,1.58607577303502e-05
7,PP,0.246,0.0104013043887801,0.0104009515248824,1.47988941824988e-05,1.44460302848211e-05
7,PP,0.248,0.010399954742018,0.0103996628301375,1.34492474204266e-05,1.31573355399428e-05
7,PP,0.25,0.0103987281420193,0.0103984890717438,1.22226474217613e-05,1.19835771462025e-05
7,PP,0.252,0.0103976133357636,0.0103974199587471,1.11078411660533e-05,1.09144641495286e-05
7,PP,0.254,0.0103966001809112,0.0103964461767782,1.00946863136261e-05,9.94068218062444e-06
7,PP,0.256,0.0103956794143178,0.0103955592608913,9.17391972017623e-06,9.05376629374219e-06
7,PP,0.258,0.010394842590205,0.010394751446547,8.3370956073768e-06,8.24595194944336e-06
7,PP,0.26,0.0103940820790173,0.0103940156696738,7.57658441969539e-06,7.51017507624741e-06
7,PP,0.262,0.0103933909373438,0.0103933455409202,6.88544274617467e-06,6.84004632259608e-06
7,PP,0.264,0.0103927628179977,0.0103927351986504,6.25732340009399e-06,6.2297040528507e-06
7,PP,0.266,0.0103921919761534,0.0103921792858338,5.68648155581733e-06,5.67379123626172e-06
7,PP,0.268,0.0103916732214945,0.0103916729766769,5.16772689689027e-06,5.16748207932127e-06
7,PP,0.27,0.0103912017807558,0.0103912118557612,4.69628615821366e-06,4.70636116366163e-06
7,PP,0.272,0.0103907733207759,0.0103907918645154,4.26782617836755e-06,4.28636991781431e-06
7,PP,0.274,0.0103903839597668,0.0103904093334567,3.87846516925958e-06,3.90383885908591e-06
7,PP,0.276,0.0103900301393652,0.0103900609562907,3.52464476763639e-06,3.55546169314783e-06
7,PP,0.278,0.0103897085869308,0.0103897436786621,3.20309233319341e-06,3.23818406451279e-06
7,PP,0.28,0.0103894163526028,0.0103894546975596,2.9108580052381e-06,2.94920296202775e-06
7,PP,0.282,0.0103891507885099,0.0103891914973533,2.64529391234142e-06,2.68600275573835e-06
7,PP,0.284,0.0103889094628874,0.0103889517961528,2.40396828984565e-06,2.44630155521799e-06
7,PP,0.286,0.0103886901421817,0.0103887334923576,2.18464758414832e-06,2.22799775999316e-06
7,PP,0.288,0.0103884908044937,0.0103885346555982,1.98530989616377e-06,2.0291610006648e-06
7,PP,0.29,0.0103883096536274,0.0103883535458776,1.80415902985981e-06,1.84805128002757e-06
7,PP,0.292,0.0103881450428984,0.0103881886012575,1.63954830083302e-06,1.68310665993668e-06
7,PP,0.294,0.0103879954451112,0.0103880383868021,1.48995051362996e-06,1.53289220455877e-06
7,PP,0.296,0.0103878594894527,0.0103879015717191,1.35399485511403e-06,1.39607712149742e-06
7,PP,0.298,0.0103877359425251,0.0103877769639262,1.23044792755059e-06,1.27146932860089e-06
7,PP,0.3,0.00997073799143801,0.00998027213160194,-0.000133262008561993,-0.000123727868398061
7,PP,0.302,0.00998291371917554,0.00999133154018883,-0.000121086280824457,-0.000112668459811175
7,PP,0.304,0.00999396779716955,0.0100013937367135,-0.000110032202830452,-0.000102606263286516
7,PP,0.306,0.0100040010915703,0.0100105468668063,-9.99989084296948e-05,-9.34531331936699e-05
7,PP,0.308,0.010013115190965,0.0100188798985337,-9.08848090349548e-05,-8.51201014663312e-05
