origin_s,horizon_s,target_s,input_shift_s,forcing_lower_g,forcing_upper_g,MSE_difference_lower_g2,MSE_difference_upper_g2
18.06806297038096,0.5,18.611397830351837,-0.03,-0.002423346042214366,0.0028269006759810327,-0.00011453097938222322,8.743173482051936e-05
18.06806297038096,0.5,18.611397830351837,0.0,-0.002533435880059273,0.002733375190456697,-0.00011817571749351671,8.335177886014837e-05
18.06806297038096,0.5,18.611397830351837,0.03,-0.0025720883909720518,0.0026609210956313268,-0.00011944963474770076,8.020306718840483e-05
18.06806297038096,2.0,20.070373433772417,-0.03,-0.02235850780821217,-0.012855284098599533,-0.0008356436724497749,-0.00011036837234892823
18.06806297038096,2.0,20.070373433772417,0.0,-0.020998273137857296,-0.011434239806095405,-0.0008218251068358013,-0.00013364551694046333
18.06806297038096,2.0,20.070373433772417,0.03,-0.019599785870244232,-0.010577612956227271,-0.0008037598972235379,-0.00015371922521942912
18.06806297038096,5.0,23.074146734932437,-0.03,-0.05325972856963146,-0.04761458282825358,-0.003635206683473328,-0.0020779123327234234
18.06806297038096,5.0,23.074146734932437,0.0,-0.053492498448527916,-0.04782954246165488,-0.0036359460475877525,-0.002073799728725789
18.06806297038096,5.0,23.074146734932437,0.03,-0.05369685176522901,-0.04801602934213359,-0.00363650582250741,-0.002070099864121089
18.1593194386531,0.5,18.7051151472066,-0.03,-0.0021149664553450215,0.003289620916982705,-7.563734641185122e-05,8.335010696858158e-05
18.1593194386531,0.5,18.7051151472066,0.0,-0.002224058566366328,0.00308897735424143,-7.824502437120227e-05,7.640361122305682e-05
18.1593194386531,0.5,18.7051151472066,0.03,-0.002308281653794993,0.0029234103841401697,-8.024196523420229e-05,7.07321371749528e-05
18.1593194386531,2.0,20.161834972759777,-0.03,-0.02587279797372501,-0.017135527168249717,-0.0008540558814672731,1.2529848720065312e-05
18.1593194386531,2.0,20.161834972759777,0.0,-0.025067508429772435,-0.01584197664050953,-0.0008518440745716425,-8.664036264045285e-06
18.1593194386531,2.0,20.161834972759777,0.03,-0.023747689379388925,-0.014386837226488987,-0.0008454143029993643,-4.059472554994036e-05
18.1593194386531,5.0,23.164582920343705,-0.03,-0.052585677615992255,-0.04694399363407443,-0.0038905112805061003,-0.002238166826308679
18.1593194386531,5.0,23.164582920343705,0.0,-0.05281632632028338,-0.047156843014605376,-0.003892675249671457,-0.002235109130794771
18.1593194386531,5.0,23.164582920343705,0.03,-0.05304770271350137,-0.04737036392779367,-0.003894739144386321,-0.0022319348866534235
18.24944801799154,0.5,18.796781756909184,-0.03,-0.0019601667324628744,0.003610801558577667,-4.2329411600425436e-05,7.173751463301171e-05
18.24944801799154,0.5,18.796781756909184,0.0,-0.0019725088981142613,0.003622101055359768,-4.25132102914977e-05,7.203195138567394e-05
18.24944801799154,0.5,18.796781756909184,0.03,-0.002005343460943533,0.0034955690279581918,-4.300069700883217e-05,6.874942239666563e-05
18.24944801799154,2.0,20.25319397638953,-0.03,-0.027906886136614607,-0.020752819605760132,-0.0006352697459126015,0.00013759737567088664
18.24944801799154,2.0,20.25319397638953,0.0,-0.027354300320504198,-0.019934529022052574,-0.0006352697459126015,0.00011955632919000001
18.24944801799154,2.0,20.25319397638953,0.03,-0.02658940851299217,-0.01854829618937951,-0.0006352697459126015,9.559155819024474e-05
