origin_s,requested_horizon_s,target_s,initial_g,target_g,source_known,prefix_known,hold,static_increment,unknown_command_hold
18.06806297038096,0.5,18.611397830351837,0.0088310285663504,-0.0030767442973254,0.008441288451858093,0.008512642814448253,0.0088310285663504,0.008919858863983356,0.008341318796659425
18.06806297038096,2.0,20.070373433772417,0.0088310285663504,-0.0127834248176579,-0.009059700221922064,-0.012421179051348347,0.0088310285663504,-0.00798937032771683,0.007156556250054335
18.06806297038096,5.0,23.074146734932437,0.0088310285663504,-0.0445324729477549,-0.04544031416172376,-0.05771974528720223,0.0088310285663504,-0.05756252911767454,0.0052207062933676265
18.1593194386531,0.5,18.7051151472066,0.0083785058547687,0.001851788558421,0.008344304762724894,0.00848656513963122,0.0083785058547687,0.008820358420634647,0.00791184536878728
18.1593194386531,2.0,20.161834972759777,0.0083785058547687,-0.0127875262319623,-0.013665051289849142,-0.017951305542961607,0.0083785058547687,-0.01279501580527635,0.006789691245291811
18.1593194386531,5.0,23.164582920343705,0.0083785058547687,-0.0467786808484458,-0.04503297303096607,-0.057218095390341485,0.0083785058547687,-0.057685992850368815,0.004953611636478267
18.24944801799154,0.5,18.796781756909184,0.0054596660081618,0.0022961084413941,0.005979540691630546,0.00619075145757691,0.0054596660081618,0.006313669911904764,0.005154744613007798
18.24944801799154,2.0,20.25319397638953,0.0054596660081618,-0.0130158382949054,-0.01922063574468008,-0.024260779217962103,0.0054596660081618,-0.01906916107971504,0.004423778926598352
18.24944801799154,5.0,23.25563431790063,0.0054596660081618,-0.047679624857305,-0.046234386660308074,-0.05844478254818967,0.0054596660081618,-0.06045653734311413,0.0032275975106718763
18.339986738760416,0.5,18.88701287160523,0.0034376687561092,-0.0003985207565742,0.004026089048350487,0.004215566432952379,0.0034376687561092,0.004244177953887487,0.003245780387720574
18.339986738760416,2.0,20.3413743839334,0.0034376687561092,-0.0201946804656474,-0.02274925484942097,-0.028262316969487007,0.0034376687561092,-0.02324671024907759,0.0027861141625147544
18.339986738760416,5.0,23.348326281179297,0.0034376687561092,-0.0449931984879452,-0.04722630360365595,-0.059517440151099436,0.0034376687561092,-0.06283405053662346,0.00203179147223777
