pole,loss,kappa
0.02,0.00015107094324749108,0.008052289962625596
0.020495029992028162,0.00014954600663929038,0.00808572472776688
0.021002312718706707,0.00014799475039161634,0.008119912231642006
0.021522151453592424,0.00014641715256775986,0.008154865947594597
0.02205485697671747,0.00014481322452815013,0.008190599337561263
0.022600747760385804,0.00014318301341769498,0.008227125830251763
0.023160150159568516,0.00014152660477548574,0.008264458797637549
0.02373339860701164,0.0001398441252694459,0.00830261152966938
0.024320835813173146,0.0001381357455581487,0.008341597207144811
0.024922812971108824,0.0001364016832816083,0.008381428872647013
0.025539689966429194,0.0001346422061823605,0.008422119399477635
0.02617183559245335,0.00013285763535757962,0.00846368145850869
0.026819627770688092,0.00013104834864232907,0.008506127482881072
0.02748345377676419,0.0001292147841232983,0.008549469630481537
0.0281637104719651,0.0001273574437815395,0.0085937197441346
0.028860804540486115,0.0001254768972617726,0.008638889309452138
0.029575152732566272,0.00012357378576476682,0.008684989410290854
0.030307182113637986,0.000121648826058132,0.008732030681776562
0.031057330319643497,0.00011970281459954893,0.00878002326086474
0.03182604581867097,0.00011773663176503205,0.008828976734418946
0.0326137881790662,0.0001157512461732469,0.008878900084802561
0.03342102834418076,0.00011374771909518626,0.008929801632995346
0.034248248913920414,0.0001117272089366502,0.008981688979264333
0.03509594443326224,0.00010969097577896264,0.009034568941438791
0.03596462168791319,0.00010764038596119738,0.009088447490861762
0.036854800007286366,0.00010557691668487884,0.009143329686115673
0.03776701157497669,0.00010350216061966848,0.009199219604647191
0.038701801746921116,0.00010141783048595534,0.009256120272446882
0.039659729377433804,9.932576358754664e-05,0.009314033591972035
0.04064136715331133,9.722792626481403e-05,0.009372960268536769
0.04164730193620719,9.51264182357098e-05,0.009432899735431793
0.042678135113480946,9.302347678904513e-05,0.009493850078077024
0.04373448295773113,9.09214807913458e-05,0.009555807957553593
0.0448169769952272,8.882295446549873e-05,0.009618768533907482
0.0459262643834609,8.673057089631178e-05,0.009682725389664398
0.047063008298042296,8.46471552150729e-05,0.009747670454045038
0.04822788832917235,8.257568741225704e-05,0.00981359392842035
0.04942160088792864,8.051930472474857e-05,0.009880484213597667
0.050644859622607154,7.848130354138065e-05,0.009948327839580344
0.05189839584536951,7.646514076830703e-05,0.010017109398494269
0.05318295896944989,7.447443459379417e-05,0.010086811481424521
0.05449931695718393,7.251296459051925e-05,0.010157414619952823
0.055848256779126706,7.05846710924776e-05,0.01022889723323058
0.0572305848845346,6.869365378321707e-05,0.010301235581462278
0.058647127683492534,6.684416943242191e-05,0.010374403726708241
0.060098732040974226,6.504062871895091e-05,0.010448373501942994
0.06158626578313153,6.328759208038502e-05,0.0105231144893249
0.06311061821611495,6.158976453204239e-05,0.010598594008641942
0.06467270065773574,5.995198940235488e-05,0.010674777116896983
0.06627344698228771,5.837924093654126e-05,0.010751626619981658
0.06791381417885374,5.6876615726720196e-05,0.010829103097359656
0.06959478292343173,5.5449322934025485e-05,0.010907164940636845
0.07131735816522114,5.4102673276947314e-05,0.010985768406835414
0.07308256972742112,5.2842066770032333e-05,0.0110648676871116
0.0748914729228993,5.167297920821597e-05,0.01114441499156051
0.0767451491850993,5.060094740438711e-05,0.011224360650636445
0.07864470671456429,4.963155320122272e-05,0.011304653233582762
0.08059128114146268,4.877040629277031e-05,0.011385239684112184
0.0825860362045126,4.802312590655319e-05,0.01146606547340642
0.08463016444671051,4.739532141295357e-05,0.01154707477031489
0.08672488792828036,4.689257194506986e-05,0.011628210628427227
0.08887145895726935,4.6520405128904364e-05,0.011709415189475372
0.09107116083822675,4.628427504032867e-05,0.011790629902291164
0.09332530863941393,4.618953952148943e-05,0.011871795756307589
0.09563524997900373,4.6241437004821104e-05,0.011952853528349587
0.0980023658307396,4.644506300727372e-05,0.01203374404121874
0.10042807134953621,4.6805346470383196e-05,0.012114408432338408
0.10291381671751444,4.73270261330466e-05,0.012194788430498536
0.10546108801097741,4.801462713296585e-05,0.012274826638526295
0.1080714080888452,4.887243803935852e-05,0.012354466819516272
0.1107463375030799,4.99044885234066e-05,0.012433654184086712
0.11348747543164481,5.1114527873765795e-05,0.012512335675992
0.11629646063455597,5.250600456209017e-05,0.012590460253320784
0.11917497243359738,5.4082047057800055e-05,0.01266797916244821
0.1221247317162854,5.584544608217334e-05,0.012744846201893473
0.12514750196468316,5.779863847928686e-05,0.012821017973263397
0.12824509030967926,5.994369286547611e-05,0.012896454116540603
0.1314193486113618,6.228229720000881e-05,0.012971117527102288
