horizon_s,input_shift_s,MSE_difference_lower_g2,MSE_difference_upper_g2
0.5,-0.03,-0.0003470223524483195,0.00011311021775240117
0.5,0.0,-0.00034996699779584335,0.00010796151613743572
0.5,0.03,-0.0003522196240004159,0.00010468984390575215
2.0,-0.03,-0.001800140481898086,-0.0005957305346193057
2.0,0.0,-0.0018017450121284564,-0.0006031788368285237
2.0,0.03,-0.0018022977742367422,-0.0006090617675417189
5.0,-0.03,-0.003546229889096665,-0.001900714183393312
5.0,0.0,-0.00354847007859583,-0.0019037944185619979
5.0,0.03,-0.0035495820147032416,-0.001905919981204401
