speed_kt,componentCode,X_lbf,Z_lbf,M_lbfft,refX_lbf,refZ_lbf,refM_lbfft,dX_lbf,dZ_lbf,dM_lbfft
40,1,26.6371235687601,436.719398203794,-496.254978316766,-350.07,-719.31,451.96,376.70712356876,1156.02939820379,-948.214978316766
40,2,-9.85180714585659,-26.4428910281385,-600.488680574003,-15.85,-26.14,-598.52,5.99819285414341,-0.302891028138525,-1.96868057400297
60,1,-337.959272049886,649.462063181277,-353.204769255206,-743.88,-1035.99,478.28,405.920727950114,1685.45206318128,-831.484769255206
60,2,-21.969598784102,-23.4444134298043,-2110.82963057152,-42.62,-21.25,-2107.49,20.650401215898,-2.19441342980427,-3.33963057152278
80,1,-573.5674619461,1776.02654943226,-1150.98047572254,-1154.73,-676.32,-322.31,581.1625380539,2452.34654943226,-828.670475722538
80,2,-29.9414029523777,31.7214593841778,-5308.23857963026,-104,44.09,-5308.99,74.0585970476223,-12.3685406158222,0.751420369736479
100,1,-591.278064331633,4078.14667724379,-3203.50309208066,-1523.96,368.16,-2026.3,932.681935668367,3709.98667724379,-1177.20309208066
100,2,-22.0583584084586,149.76814865887,-10472.8569342982,-229.31,196.52,-10466.28,207.251641591541,-46.7518513411297,-6.57693429817664
