method,cases,pass_count,worst_relative_RMSE,median_relative_RMSE
DIRECT,72,72,0.0,0.0
LTI_EXACT,72,3,1.68016732910137,0.0810414867509735
LUT,72,72,0.001114118767567,0.00046932716616375004
QS,72,0,1.0,1.0
SCHEDULED_EXACT,72,72,0.0027071362819698,0.00123718061390625
