check,error,tolerance,passed
MAT_CSV_19_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_19_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_19_LTI_EXACT,7.979727989493313e-17,1e-13,True
MAT_CSV_19_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_19_QS,2.0816681711721685e-17,1e-13,True
MAT_CSV_20_DIRECT,5.898059818321144e-17,1e-13,True
MAT_CSV_20_LUT,8.847089727481716e-17,1e-13,True
MAT_CSV_20_LTI_EXACT,7.28583859910259e-17,1e-13,True
MAT_CSV_20_SCHEDULED_EXACT,8.153200337090993e-17,1e-13,True
MAT_CSV_20_QS,2.0816681711721685e-17,1e-13,True
MAT_CSV_21_DIRECT,6.071532165918825e-17,1e-13,True
MAT_CSV_21_LUT,6.938893903907228e-17,1e-13,True
MAT_CSV_21_LTI_EXACT,7.112366251504909e-17,1e-13,True
MAT_CSV_21_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_21_QS,2.0816681711721685e-17,1e-13,True
MAT_CSV_22_DIRECT,7.45931094670027e-17,1e-13,True
MAT_CSV_22_LUT,6.418476861114186e-17,1e-13,True
MAT_CSV_22_LTI_EXACT,7.45931094670027e-17,1e-13,True
MAT_CSV_22_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_22_QS,2.0816681711721685e-17,1e-13,True
MAT_CSV_23_DIRECT,5.377642775528102e-17,1e-13,True
MAT_CSV_23_LUT,7.979727989493313e-17,1e-13,True
MAT_CSV_23_LTI_EXACT,9.194034422677078e-17,1e-13,True
MAT_CSV_23_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_23_QS,2.0816681711721685e-17,1e-13,True
MAT_CSV_24_DIRECT,7.28583859910259e-17,1e-13,True
MAT_CSV_24_LUT,9.367506770274758e-17,1e-13,True
MAT_CSV_24_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_24_SCHEDULED_EXACT,8.326672684688674e-17,1e-13,True
MAT_CSV_24_QS,2.0816681711721685e-17,1e-13,True
MAT_CSV_25_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_25_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_25_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_25_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_25_QS,4.336808689942018e-17,1e-13,True
MAT_CSV_26_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_26_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_26_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_26_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_26_QS,4.336808689942018e-17,1e-13,True
MAT_CSV_27_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_27_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_27_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_27_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_27_QS,4.336808689942018e-17,1e-13,True
MAT_CSV_28_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_28_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_28_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_28_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_28_QS,4.336808689942018e-17,1e-13,True
MAT_CSV_29_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_29_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_29_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_29_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_29_QS,4.336808689942018e-17,1e-13,True
MAT_CSV_30_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_30_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_30_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_30_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_30_QS,4.336808689942018e-17,1e-13,True
MAT_CSV_31_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_31_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_31_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_31_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_31_QS,4.336808689942018e-17,1e-13,True
MAT_CSV_32_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_32_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_32_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_32_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_32_QS,4.336808689942018e-17,1e-13,True
MAT_CSV_33_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_33_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_33_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_33_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_33_QS,4.336808689942018e-17,1e-13,True
MAT_CSV_34_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_34_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_34_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_34_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_34_QS,4.336808689942018e-17,1e-13,True
MAT_CSV_35_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_35_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_35_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_35_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_35_QS,4.336808689942018e-17,1e-13,True
MAT_CSV_36_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_36_LUT,5.0306980803327406e-17,1e-13,True
