time_s,fullAccelerationDown,reducedAccelerationDown,fullRotor1AeroThrust,reducedRotor1AeroThrust
0.805,-0.17757743542474,-0.177577435424747,30033.130331477,30033.130331477
0.81,-0.175634029248403,-0.175634029248411,30026.2666062684,30026.2666062684
0.815,-0.176281511385256,-0.176281511385269,30020.3319996321,30020.3319996321
0.82,-0.179238996676653,-0.179238996676665,30015.7181369141,30015.7181369141
0.825,-0.184046592941899,-0.184046592941908,30012.6702170665,30012.6702170665
0.83,-0.190119830354129,-0.190119830354136,30011.2773358736,30011.2773358736
0.835,-0.196810601488117,-0.196810601488118,30011.4771944137,30011.4771944137
0.84,-0.203468785596704,-0.203468785596703,30013.0736329258,30013.0736329258
0.845,-0.209499116515305,-0.209499116515304,30015.764435729,30015.764435729
0.85,-0.214408719699592,-0.21440871969959,30019.176162369,30019.176162369
0.855,-0.217841917111978,-0.217841917111974,30022.9024093111,30022.9024093111
0.86,-0.219600280083824,-0.219600280083822,30026.5418899344,30026.5418899344
0.865,-0.219647361867154,-0.219647361867156,30029.733026912,30029.733026912
0.87,-0.218098921914026,-0.218098921914025,30032.1823173901,30032.18231739
0.875,-0.215200654466749,-0.215200654466747,30033.6844931895,30033.6844931895
0.88,-0.211296365942792,-0.211296365942789,30034.1333716287,30034.1333716287
0.885,-0.206790136265175,-0.206790136265174,30033.5231946699,30033.5231946699
0.89,-0.202106252744137,-0.202106252744139,30031.9410994901,30031.9410994901
0.895,-0.197650581059749,-0.197650581059749,30029.5520850081,30029.5520850081
0.9,-0.193776638045111,-0.193776638045113,30026.5783908191,30026.5783908191
0.905,-0.190758939779425,-0.190758939779427,30023.2755303983,30023.2755303983
0.91,-0.188775374837937,-0.188775374837941,30019.9073415399,30019.90734154
0.915,-0.187899414447276,-0.187899414447276,30016.7223058825,30016.7223058825
0.92,-0.188102054835802,-0.188102054835804,30013.9331036224,30013.9331036224
0.925,-0.189262541973028,-0.189262541973027,30011.7009273278,30011.7009273278
0.93,-0.191186243567652,-0.191186243567651,30010.1255400853,30010.1255400853
0.935,-0.193627533404995,-0.193627533404995,30009.2414876943,30009.2414876943
0.94,-0.196315297981169,-0.196315297981169,30009.0203009443,30009.0203009443
0.945,-0.198978621475743,-0.198978621475743,30009.3780174103,30009.3780174103
0.95,-0.201370405047927,-0.201370405047923,30010.1869429256,30010.1869429256
0.955,-0.203287014084081,-0.203287014084078,30011.2902850553,30011.2902850553
0.96,-0.204582566645396,-0.204582566645388,30012.5181563719,30012.5181563719
0.965,-0.205177039592835,-0.205177039592828,30013.703440024,30013.703440024
0.97,-0.205057981640903,-0.205057981640897,30014.6961451646,30014.6961451646
0.975,-0.204276194916549,-0.204276194916543,30015.3751217277,30015.3751217276
0.98,-0.202936244722053,-0.20293624472205,30015.6563215677,30015.6563215677
0.985,-0.201183037377057,-0.201183037377055,30015.497163525,30015.497163525
0.99,-0.199185955295489,-0.199185955295489,30014.8969317101,30014.8969317101
0.995,-0.197122119237078,-0.197122119237082,30013.8934888007,30013.8934888007
1,-0.195160324817129,-0.195160324817137,30012.5568886954,30012.5568886954
1.005,-0.193446979572033,-0.193446979572038,30010.9806894252,30010.9806894252
1.01,-0.192095124359448,-0.19209512435945,30009.2719126565,30009.2719126565
1.015,-0.191177240977208,-0.19117724097721,30007.5406312177,30007.5406312177
1.02,-0.190722173282279,-0.190722173282283,30005.8901234709,30005.8901234709
1.025,-0.190716101392639,-0.190716101392641,30004.4084077697,30004.4084077697
1.03,-0.191107159630664,-0.191107159630664,30003.1617856845,30003.1617856845
1.035,-0.191813003851797,-0.191813003851797,30002.1907957401,30002.1907957401
1.04,-0.192730433335361,-0.19273043333536,30001.5087382456,30001.5087382456
1.045,-0.19374605515406,-0.193746055154058,30001.1026920871,30001.1026920871
1.05,-0.194747003919832,-0.194747003919829,30000.9367417005,30000.9367417005
