figure,initial_collective_deg,draws,prob_dynamic_lower_rmse,rmse_diff_median_dynamic_minus_qs,rmse_diff_p05,rmse_diff_p95
8,2.0,10000,1.0,-7.049437457373915e-05,-7.085576532318884e-05,-7.012208079795207e-05
9,4.0,10000,1.0,-3.909271768210657e-05,-3.9305083167030016e-05,-3.887762269979616e-05
