figure,initial_collective_deg,method,points,RMSE_CT,MAE_CT,max_abs_CT,mean_digitization_scale_CT
8,2.0,CT_model_appendix,30,0.0035069917206372162,0.0034365297833243253,0.006027323068952777,5.076142131979697e-05
8,2.0,CT_model_quasisteady,30,0.0035774851489580083,0.0034965695211914348,0.006387294315387875,5.076142131979697e-05
9,4.0,CT_model_appendix,27,0.004537113145908306,0.004510131407244981,0.006695652758792714,5.025125628140703e-05
9,4.0,CT_model_quasisteady,27,0.004576205813042469,0.004547535221175531,0.006695652758792714,5.025125628140703e-05
