origin_index,origin_time_s,requested_horizon_s,target_time_s,initial_observed_g,target_observed_g,source_known_g,hold_current_g,source_future_command_held_g,prefix_fit_known_g
0,18.06806297038096,0.5,18.611397830351837,0.0088310285663504,-0.0030767442973254,0.008441288451858087,0.0088310285663504,0.008341318796659425,0.008512621730199222
0,18.06806297038096,2.0,20.070373433772417,0.0088310285663504,-0.0127834248176579,-0.009059700221922038,0.0088310285663504,0.007156556250054335,-0.012421301468218283
0,18.06806297038096,5.0,23.074146734932437,0.0088310285663504,-0.0445324729477549,-0.045440314161723755,0.0088310285663504,0.0052207062933676265,-0.057719360077675134
1,18.1593194386531,0.5,18.7051151472066,0.0083785058547687,0.001851788558421,0.008344304762724896,0.0083785058547687,0.007911845368787286,0.00848654570261357
1,18.1593194386531,2.0,20.161834972759777,0.0083785058547687,-0.0127875262319623,-0.013665051289849132,0.0083785058547687,0.006789691245291811,-0.017951439862135116
1,18.1593194386531,5.0,23.164582920343705,0.0083785058547687,-0.0467786808484458,-0.04503297303096606,0.0083785058547687,0.004953611636478267,-0.0572176849933742
2,18.24944801799154,0.5,18.796781756909184,0.0054596660081618,0.0022961084413941,0.005979540691630544,0.0054596660081618,0.005154744613007798,0.00619074030683867
2,18.24944801799154,2.0,20.25319397638953,0.0054596660081618,-0.0130158382949054,-0.019220635744680088,0.0054596660081618,0.004423778926598352,-0.02426089737971417
2,18.24944801799154,5.0,23.25563431790063,0.0054596660081618,-0.047679624857305,-0.04623438666030807,0.0054596660081618,0.0032275975106718763,-0.05844430894864919
3,18.339986738760416,0.5,18.88701287160523,0.0034376687561092,-0.0003985207565742,0.004026089048350482,0.0034376687561092,0.003245780387720574,0.004215560341059364
3,18.339986738760416,2.0,20.3413743839334,0.0034376687561092,-0.0201946804656474,-0.02274925484942099,0.0034376687561092,0.0027861141625147544,-0.02826241437852306
3,18.339986738760416,5.0,23.348326281179297,0.0034376687561092,-0.0449931984879452,-0.04722630360365592,0.0034376687561092,0.00203179147223777,-0.059516910690028325
